,Approaches_from_75-100_yards_RANK THIS WEEK,Approaches_from_75-100_yards_RANK LAST WEEK,Approaches_from_75-100_yards_PLAYER NAME,Approaches_from_75-100_yards_ROUNDS,Approaches_from_75-100_yards_AVG,Approaches_from_75-100_yards_TOTAL DISTANCE (FEET),Approaches_from_75-100_yards_# OF ATTEMPTS,Approaches_from_75-100_yards_RELATIVE TO PAR
0,1,1,Ryo Ishikawa,75,"12' 0""",407.667,34,-15
1,2,2,Jason Day,54,"13' 0""",363.75,28,-6
2,3,3,Webb Simpson,87,"13' 10""",858.75,62,-15
3,T4,T4,Kevin Chappell,100,"14' 1""",1281.5,91,-12
4,T4,T4,Tim Clark,75,"14' 1""",942.5830000000001,67,-11
5,T4,T4,Erik Compton,88,"14' 1""",870.75,62,-14
6,T4,T4,Jason Dufner,57,"14' 1""",421.667,30,-12
7,T4,T4,Zach Johnson,97,"14' 1""",997.1669999999999,71,-19
8,9,9,Bud Cauley,56,"14' 2""",538.9169999999999,38,-5
9,T10,T10,Troy Merritt,62,"14' 5""",779.4169999999999,54,-9
10,T10,T10,Michael Putnam,106,"14' 5""",805.0,56,-9
11,12,12,Martin Laird,66,"14' 8""",675.0,46,-12
12,T13,T13,Spencer Levin,59,"14' 9""",546.5,37,-6
13,T13,T13,Chris Stroud,88,"14' 9""",647.4169999999999,44,-2
14,T15,T15,Justin Leonard,75,"14' 10""",844.6669999999999,57,-21
15,T15,T15,Justin Rose,70,"14' 10""",639.4169999999999,43,-7
16,T15,T15,Tim Wilkinson,86,"14' 10""",1067.333,72,-21
17,T18,T18,Keegan Bradley,89,"15' 0""",630.0,42,-7
18,T18,T18,Scott Stallings,77,"15' 0""",749.3330000000001,50,-8
19,20,20,Jonathan Byrd,76,"15' 2""",684.1669999999999,45,-11
20,21,21,Nick Watney,80,"15' 3""",702.1669999999999,46,-7
21,T22,T22,Briny Baird,50,"15' 5""",646.9169999999999,42,-7
22,T22,T22,David Lingmerth,80,"15' 5""",1046.0,68,-13
23,T24,T24,K.J. Choi,80,"15' 6""",1131.167,73,-13
24,T24,T24,Harris English,95,"15' 6""",804.9169999999999,52,-7
25,T24,T24,Hideki Matsuyama,82,"15' 6""",698.0830000000001,45,-4
26,T24,T24,D.A. Points,75,"15' 6""",884.25,57,-2
27,T28,T28,Steven Bowditch,93,"15' 7""",840.0830000000001,54,-14
28,T28,T28,Brandt Snedeker,89,"15' 7""",968.3330000000001,62,-5
29,T30,T30,Jim Furyk,84,"15' 9""",1163.917,74,-15
30,T30,T30,Bryce Molder,77,"15' 9""",1023.0830000000001,65,-5
31,32,32,Billy Hurley III,86,"15' 10""",1238.167,78,-24
32,T33,T33,Marc Leishman,81,"15' 11""",780.4169999999999,49,-12
33,T33,T33,Charl Schwartzel,64,"15' 11""",730.5830000000001,46,-12
34,T35,T35,Rickie Fowler,91,"16' 0""",721.5,45,-13
35,T35,T35,Luke Guthrie,85,"16' 0""",1039.167,65,-16
36,T35,T35,Dustin Johnson,58,"16' 0""",384.833,24,-6
37,T35,T35,Jordan Spieth,102,"16' 0""",1185.75,74,-18
38,39,39,Kevin Na,94,"16' 2""",889.8330000000001,55,-11
39,T40,T40,Chad Collins,78,"16' 3""",697.5830000000001,43,-10
40,T40,T40,Jeff Overton,80,"16' 3""",731.9169999999999,45,-10
41,T40,T40,John Rollins,84,"16' 3""",813.9169999999999,50,-8
42,T40,T40,Cameron Tringale,111,"16' 3""",1426.4170000000001,88,-14
43,T44,T44,Chesson Hadley,84,"16' 4""",864.0,53,-7
44,T44,T44,Charles Howell III,106,"16' 4""",1274.75,78,-20
45,T44,T44,Danny Lee,84,"16' 4""",733.4169999999999,45,-5
46,T47,T47,Stewart Cink,91,"16' 5""",1135.0,69,-3
47,T47,T47,Brian Harman,111,"16' 5""",1655.5,101,-31
48,T47,T47,Russell Henley,92,"16' 5""",1248.25,76,-14
49,T47,T47,Vijay Singh,83,"16' 5""",1264.583,77,-9
50,T51,T51,Stuart Appleby,92,"16' 6""",1585.25,96,-16
51,T51,T51,Brad Fritsch,50,"16' 6""",445.333,27,-9
52,T51,T51,Trevor Immelman,84,"16' 6""",825.1669999999999,50,-5
