,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Charley Hoffman,93,69.0,49,71,-10.00
1,2,2,Harris English,95,66.7,42,63,-9.00
2,3,3,K.J. Choi,80,64.3,36,56,-2.00
3,4,4,Stuart Appleby,92,62.5,45,72,-11.00
4,5,5,Ryan Palmer,85,61.5,32,52,-7.00
5,6,6,Ryo Ishikawa,75,61.2,41,67,-7.00
6,T7,T7,Ángel Cabrera,69,60.0,24,40,-5.00
7,T7,T7,Rory Sabbatini,82,60.0,45,75,-8.00
8,9,9,John Rollins,84,59.6,34,57,-10.00
9,10,10,Stewart Cink,91,59.0,36,61,-4.00
10,11,11,George McNeill,79,57.8,37,64,-8.00
11,T12,T12,Robert Allenby,83,57.4,35,61,-6.00
12,T12,T12,Hunter Mahan,88,57.4,35,61,-4.00
13,14,14,Troy Matteson,62,56.9,29,51,-6.00
14,15,15,Davis Love III,74,56.7,34,60,-6.00
15,16,16,Sergio Garcia,61,56.4,22,39,-4.00
16,17,17,John Huh,87,56.1,23,41,-3.00
17,18,18,Jason Kokrak,65,56.0,28,50,-4.00
18,19,19,Michael Thompson,74,55.6,30,54,-10.00
19,20,20,Aaron Baddeley,74,55.2,32,58,-9.00
20,T21,T21,Bud Cauley,56,55.0,33,60,-7.00
21,T21,T21,Martin Laird,66,55.0,22,40,-5.00
22,T23,T23,Charles Howell III,106,54.7,52,95,-9.00
23,T23,T23,Matt Jones,83,54.7,35,64,-12.00
24,25,25,Freddie Jacobson,91,54.5,42,77,-11.00
25,26,26,Jonathan Byrd,76,54.0,27,50,-7.00
26,T27,T27,Brandt Snedeker,89,53.8,35,65,-12.00
27,T27,T27,Kyle Stanley,87,53.8,35,65,-5.00
28,29,29,Camilo Villegas,95,53.5,38,71,-2.00
29,30,30,Kevin Tway,64,53.3,24,45,+1.00
30,T31,T31,Chad Campbell,57,52.6,20,38,-6.00
31,T31,T31,Retief Goosen,94,52.6,41,78,-8.00
32,T33,T33,Andrew Svoboda,77,52.5,31,59,-9.00
33,T33,T33,Johnson Wagner,69,52.5,31,59,-5.00
34,T35,T35,Chad Collins,78,52.3,23,44,E
35,T35,T35,Daniel Summerhays,98,52.3,34,65,-6.00
36,37,37,Carl Pettersson,91,52.1,38,73,-7.00
37,38,38,Morgan Hoffmann,103,51.8,44,85,-6.00
38,T39,T39,Brad Fritsch,50,51.7,15,29,-3.00
39,T39,T39,John Merrick,87,51.7,31,60,E
40,T39,T39,Bryce Molder,77,51.7,30,58,-5.00
41,T42,T42,Graham DeLaet,80,51.6,33,64,-7.00
42,T42,T42,Marc Leishman,81,51.6,32,62,-8.00
43,T42,T42,William McGirt,96,51.6,33,64,-6.00
44,T42,T42,Geoff Ogilvy,84,51.6,33,64,-5.00
45,T42,T42,"Ted Potter, Jr.",68,51.6,16,31,-1.00
46,T47,T47,Seung-Yul Noh,92,51.5,34,66,-9.00
47,T47,T47,Andres Romero,81,51.5,34,66,-2.00
48,T49,T49,Steven Bowditch,93,51.4,37,72,-6.00
49,T49,T49,Jim Herman,62,51.4,18,35,-1.00
50,T49,T49,Brendan Steele,89,51.4,37,72,-10.00
51,52,52,Brooks Koepka,56,51.3,20,39,-8.00
52,T53,T53,David Hearn,97,51.2,43,84,-6.00
53,T53,T53,Shawn Stefani,60,51.2,21,41,-4.00
54,T55,T55,Hideki Matsuyama,82,50.9,28,55,-1.00
55,T55,T55,John Peterson,62,50.9,28,55,-3.00
56,T55,T55,Scott Stallings,77,50.9,28,55,E
57,T55,T55,Hudson Swafford,75,50.9,28,55,-7.00
58,T59,T59,Keegan Bradley,89,50.8,32,63,-10.00
59,T59,T59,Nicholas Thompson,85,50.8,30,59,-3.00
60,61,61,Brendon Todd,108,50.7,38,75,-10.00
61,62,62,Luke Guthrie,85,50.6,39,77,-12.00
62,T63,T63,Erik Compton,88,50.0,31,62,-6.00
63,T63,T63,Brian Harman,111,50.0,45,90,-7.00
64,T63,T63,Troy Merritt,62,50.0,26,52,-4.00
65,T63,T63,Justin Rose,70,50.0,27,54,-3.00
66,T63,T63,Vijay Singh,83,50.0,35,70,-5.00
67,T63,T63,Kevin Stadler,90,50.0,30,60,-6.00
68,69,69,Bill Haas,107,49.4,43,87,-6.00
69,T70,T70,James Driscoll,71,49.2,29,59,-14.00
70,T70,T70,Tim Wilkinson,86,49.2,32,65,-4.00
71,T72,T72,Sangmoon Bae,76,49.1,26,53,-7.00
72,T72,T72,Boo Weekley,73,49.1,27,55,-3.00
73,74,74,Jim Furyk,84,48.9,23,47,-3.00
74,75,75,Graeme McDowell,66,48.8,20,41,-3.00
75,76,76,Ben Martin,80,48.3,29,60,-6.00
76,T77,T77,Jason Dufner,57,47.7,21,44,-2.00
77,T77,T77,Matt Every,85,47.7,31,65,-4.00
78,T77,T77,Lee Westwood,57,47.7,21,44,-6.00
79,80,80,Mike Weir,69,47.5,28,59,-10.00
80,81,81,J.J. Henry,91,47.4,36,76,-1.00
81,82,82,Billy Hurley III,86,47.2,25,53,-3.00
82,T83,T83,Gonzalo Fernandez-Castaño,83,47.1,32,68,-3.00
83,T83,T83,Spencer Levin,59,47.1,16,34,-6.00
84,85,85,Trevor Immelman,84,47.0,31,66,-6.00
85,86,86,Chris Kirk,105,46.9,45,96,-12.00
86,87,87,Ricky Barnes,92,46.8,44,94,-11.00
87,88,88,Derek Ernst,80,46.6,27,58,-3.00
88,89,89,Andrew Loupe,65,46.5,20,43,-6.00
89,T90,T90,Charlie Beljan,76,46.3,25,54,-3.00
90,T90,T90,Greg Chalmers,85,46.3,38,82,-5.00
91,92,92,Danny Lee,84,46.0,29,63,-4.00
92,93,93,David Lingmerth,80,45.9,28,61,-9.00
93,T94,T94,Rickie Fowler,91,45.8,22,48,-5.00
94,T94,T94,Robert Garrigus,80,45.8,27,59,-7.00
95,96,96,Charl Schwartzel,64,45.7,21,46,-2.00
96,T97,T97,Paul Casey,56,45.5,25,55,-5.00
97,T97,T97,J.B. Holmes,86,45.5,30,66,-2.00
98,T97,T97,Gary Woodland,93,45.5,30,66,-3.00
99,100,100,Webb Simpson,87,45.3,24,53,-2.00
100,T101,T101,Ken Duke,80,45.2,19,42,E
101,T101,T101,David Toms,64,45.2,14,31,-6.00
102,103,103,Kevin Na,94,45.1,23,51,-5.00
103,T104,T104,Scott Brown,100,44.7,34,76,-7.00
104,T104,T104,Lucas Glover,68,44.7,17,38,-1.00
105,106,106,Chris Stroud,88,44.6,33,74,-8.00
106,T107,T107,Tommy Gainey,73,44.4,24,54,-1.00
107,T107,T107,Brian Gay,81,44.4,20,45,-4.00
108,T107,T107,Dustin Johnson,58,44.4,12,27,-2.00
109,110,110,James Hahn,82,44.3,27,61,-1.00
110,111,111,Bo Van Pelt,83,44.2,19,43,-2.00
111,112,112,Jason Bohn,81,44.1,26,59,-9.00
112,113,113,Jimmy Walker,98,44.0,37,84,-11.00
113,114,114,Brian Davis,93,43.8,21,48,-7.00
114,115,115,Ernie Els,85,43.7,31,71,-5.00
115,T116,T116,Scott Langley,95,43.6,24,55,-3.00
116,T116,T116,Rory McIlroy,66,43.6,17,39,-3.00
117,T118,T118,Jonas Blixt,64,43.5,20,46,-3.00
118,T118,T118,Jeff Overton,80,43.5,30,69,-8.00
119,T120,T120,Martin Flores,85,43.3,26,60,-3.00
120,T120,T120,Charlie Wi,72,43.3,26,60,-5.00
121,122,122,Will MacKenzie,82,43.1,22,51,-6.00
122,123,123,Cameron Tringale,111,43.0,40,93,-13.00
123,124,124,Briny Baird,50,42.9,15,35,-1.00
124,T125,T125,Woody Austin,63,42.6,20,47,-1.00
125,T125,T125,Tyrone Van Aswegen,79,42.6,29,68,-3.00
126,127,127,Jeff Maggert,54,42.4,14,33,-6.00
127,T128,T128,Phil Mickelson,71,42.2,19,45,-4.00
128,T128,T128,Adam Scott,68,42.2,19,45,-7.00
129,T128,T128,Brian Stuard,91,42.2,27,64,-6.00
130,131,131,Bubba Watson,76,42.1,16,38,-5.00
131,132,132,Matt Kuchar,91,42.0,29,69,-7.00
132,133,133,Nick Watney,80,41.7,25,60,-4.00
133,134,134,Jerry Kelly,80,41.5,22,53,-7.00
134,T135,T135,Ben Crane,81,41.4,24,58,-6.00
135,T135,T135,Willy Wilcox,51,41.4,12,29,-2.00
136,137,137,Mark Wilson,69,41.3,19,46,-3.00
137,T138,T138,Jordan Spieth,102,41.2,35,85,-7.00
138,T138,T138,Jhonattan Vegas,77,41.2,21,51,-3.00
139,T140,T140,Kevin Chappell,100,41.0,34,83,-7.00
140,T140,T140,Luke Donald,57,41.0,16,39,-3.00
141,142,142,Jason Day,54,40.9,9,22,-4.00
142,143,143,Roberto Castro,76,40.8,20,49,-6.00
143,T144,T144,Tim Clark,75,40.6,13,32,-4.00
144,T144,T144,Brendon de Jonge,109,40.6,26,64,-5.00
145,146,146,Ben Curtis,77,40.4,19,47,-3.00
146,T147,T147,Russell Knox,92,40.0,26,65,-2.00
147,T147,T147,Jim Renner,61,40.0,28,70,-3.00
148,T147,T147,John Senden,99,40.0,28,70,-11.00
149,T147,T147,Henrik Stenson,56,40.0,10,25,-3.00
150,T147,T147,Josh Teater,90,40.0,26,65,-3.00
151,152,152,Wes Roach,67,39.5,17,43,-3.00
152,153,153,Billy Horschel,92,39.4,26,66,-5.00
153,154,154,Louis Oosthuizen,50,39.3,11,28,-2.00
154,155,155,Y.E. Yang,79,39.2,20,51,-6.00
155,156,156,Kevin Kisner,85,38.8,26,67,-7.00
156,157,157,Chesson Hadley,84,38.6,22,57,-4.00
157,158,158,Martin Kaymer,65,38.5,15,39,-1.00
158,159,159,Brice Garnett,92,38.4,33,86,-2.00
159,T160,T160,Sean O'Hair,77,38.2,26,68,-2.00
160,T160,T160,Patrick Reed,92,38.2,26,68,-6.00
161,162,162,Justin Hicks,103,38.1,16,42,-4.00
162,163,163,Zach Johnson,97,37.9,22,58,-5.00
163,T164,T164,Justin Leonard,75,37.5,18,48,E
164,T164,T164,Kevin Streelman,79,37.5,15,40,-3.00
165,T166,T166,Pat Perez,84,37.3,22,59,-3.00
166,T166,T166,D.A. Points,75,37.3,19,51,-5.00
167,168,168,Ian Poulter,57,37.1,13,35,E
168,169,169,D.H. Lee,54,37.0,10,27,-1.00
169,170,170,Russell Henley,92,36.8,21,57,-5.00
170,171,171,Ryan Moore,86,36.7,18,49,-4.00
171,172,172,Robert Streb,75,36.5,19,52,-7.00
172,173,173,Bronson La'Cassie,51,33.3,9,27,-3.00
173,174,174,Heath Slocum,71,32.3,10,31,-3.00
174,175,175,Richard Lee,80,30.8,16,52,-2.00
175,176,176,Michael Putnam,106,30.6,19,62,-2.00
176,177,177,Jamie Lovemark,64,30.3,10,33,-1.00
