,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Trevor Immelman,84,246,Travelers Championship,1,13
1,2,2,Peter Hanson,37,223,Quicken Loans National,3,2
2,T3,3,George McNeill,79,219,The Greenbrier Classic,4,8
3,T3,4,Scottie Scheffler,6,219,HP Byron Nelson Championship,3,2
4,5,5,Andrew Svoboda,77,216,FedEx St. Jude Classic,2,5
5,6,6,Graeme McDowell,66,213,RBC Canadian Open,1,11
6,7,7,David Toms,64,200,Wyndham Championship,3,7
7,8,8,Shawn Stefani,60,199,The Barclays,2,12
8,T9,10,Brian Davis,93,197,Wells Fargo Championship,4,10
9,T9,9,Cameron Tringale,111,197,Zurich Classic of New Orleans,2,12
10,11,11,Kevin Foley,38,195,Wyndham Championship,3,12
11,12,12,Chad Campbell,57,194,John Deere Classic,3,9
12,13,13,James Hahn,82,193,Sony Open in Hawaii,2,9
13,14,14,Dawie van der Walt,6,185,World Golf Championships-Cadillac Championship,4,7
14,T15,15,Josh Teater,90,184,Zurich Classic of New Orleans,2,17
15,T15,16,Gonzalo Fernandez-Castaño,83,184,RBC Canadian Open,1,1
16,T17,2,Peter Hanson,37,183,Zurich Classic of New Orleans,1,6
17,T17,18,Charlie Beljan,76,183,Wells Fargo Championship,2,3
18,19,19,Chad Collins,78,182,Sony Open in Hawaii,2,1
19,20,20,Aaron Goldberg,2,181,Northern Trust Open,2,18
20,T21,21,Charlie Wi,72,179,RBC Canadian Open,3,9
21,T21,22,Luke Guthrie,85,179,John Deere Classic,2,18
22,23,23,Jonas Blixt,64,178,PGA Championship,2,15
23,T24,24,Bud Cauley,56,176,The Greenbrier Classic,4,18
24,T24,25,Ángel Cabrera,69,176,The Greenbrier Classic,4,13
25,T24,26,Ben Martin,80,176,FedEx St. Jude Classic,1,18
26,27,27,Scott Brown,100,171,Deutsche Bank Championship,2,8
27,T28,28,Kevin Kisner,85,170,Zurich Classic of New Orleans,1,12
28,T28,29,Charles Howell III,106,170,Waste Management Phoenix Open,1,11
29,30,30,Johnson Wagner,69,167,Wyndham Championship,2,9
30,31,31,Brian Harman,111,166,The Honda Classic,3,12
31,T32,9,Cameron Tringale,111,165,Northern Trust Open,3,9
32,T32,33,Thomas Aiken,8,165,RBC Canadian Open,4,15
33,34,34,Roberto Castro,76,164,Wells Fargo Championship,2,12
34,35,35,Geoff Ogilvy,84,162,Waste Management Phoenix Open,3,9
35,36,36,William McGirt,96,159,Shriners Hospitals for Children Open,3,7
36,T37,38,Stuart Appleby,92,157,FedEx St. Jude Classic,1,8
37,T37,37,Matt Jones,83,157,Shriners Hospitals for Children Open,2,6
38,39,39,D.H. Lee,54,156,John Deere Classic,2,8
39,40,27,Scott Brown,100,155,Crowne Plaza Invitational at Colonial,1,13
40,T41,30,Johnson Wagner,69,154,RBC Canadian Open,4,14
41,T41,42,Jonathan Byrd,76,154,Travelers Championship,2,11
42,T43,43,Kyle Stanley,87,152,The Greenbrier Classic,1,2
43,T43,44,Justin Hicks,103,152,Shell Houston Open,1,6
44,T43,45,Max Homa,25,152,Shriners Hospitals for Children Open,4,10
45,46,46,Jim Furyk,84,151,Northern Trust Open,1,2
46,T47,21,Charlie Wi,72,150,THE PLAYERS Championship,2,7
47,T47,48,Russell Henley,92,150,The Honda Classic,3,14
48,T47,49,Y.E. Yang,79,150,Frys.com Open,2,7
49,T50,50,Justin Leonard,75,147,THE PLAYERS Championship,1,1
50,T50,51,Daniel Summerhays,98,147,John Deere Classic,3,5
51,52,46,Jim Furyk,84,146,Deutsche Bank Championship,2,15
52,53,53,Kevin Chappell,100,145,The McGladrey Classic,4,9
53,54,54,Steve Marino,40,144,HP Byron Nelson Championship,3,9
54,T55,55,John Rollins,84,142,Valero Texas Open,2,6
55,T55,56,Ben Curtis,77,142,The McGladrey Classic,1,8
56,T57,57,Stephen Ames,48,139,Zurich Classic of New Orleans,1,1
57,T57,58,Stewart Cink,91,139,THE PLAYERS Championship,3,7
58,T59,59,Charley Hoffman,93,138,Farmers Insurance Open,4,3
59,T59,60,Hideki Matsuyama,82,138,Northern Trust Open,3,5
60,T59,18,Charlie Beljan,76,138,The Greenbrier Classic,2,11
61,62,62,Brice Garnett,92,137,Travelers Championship,2,3
62,T63,63,Keegan Bradley,89,134,Shell Houston Open,4,3
63,T63,64,Justin Thomas,21,134,the Memorial Tournament presented by Nationwide Insurance,2,3
64,65,65,Gary Woodland,93,133,Hyundai Tournament of Champions,2,7
65,66,29,Charles Howell III,106,132,John Deere Classic,2,3
66,T67,67,Seung-Yul Noh,92,131,Shriners Hospitals for Children Open,4,9
67,T67,38,Stuart Appleby,92,131,Arnold Palmer Invitational presented by MasterCard,1,11
68,T69,69,David Hearn,97,130,The Honda Classic,3,10
69,T69,70,Jason Kokrak,65,130,Frys.com Open,3,1
70,T71,71,Brendan Steele,89,129,Travelers Championship,1,1
71,T71,72,Danny Lee,84,129,The McGladrey Classic,1,2
72,T73,22,Luke Guthrie,85,128,The Greenbrier Classic,1,12
73,T73,74,Jeff Overton,80,128,Shriners Hospitals for Children Open,1,1
74,75,75,Marc Leishman,81,127,Quicken Loans National,2,9
75,T76,76,Bryce Molder,77,126,Shriners Hospitals for Children Open,1,16
76,T76,77,Sergio Garcia,61,126,BMW Championship,2,7
77,T76,43,Kyle Stanley,87,126,Shell Houston Open,4,11
78,T79,5,Andrew Svoboda,77,125,the Memorial Tournament presented by Nationwide Insurance,2,14
79,T79,80,Jordan Spieth,102,125,Northern Trust Open,1,7
80,T81,69,David Hearn,97,123,Farmers Insurance Open,2,14
81,T81,82,Paul Casey,56,123,FedEx St. Jude Classic,1,2
82,T81,83,Jason Bohn,81,123,The Greenbrier Classic,2,10
83,84,84,Erik Compton,88,122,The McGladrey Classic,4,8
84,T85,85,Patrick Rodgers,23,118,The Greenbrier Classic,1,1
85,T85,86,Harris English,95,118,Humana Challenge in partnership with the Clinton Foundation,3,1
86,T85,87,David Lingmerth,80,118,the Memorial Tournament presented by Nationwide Insurance,3,6
87,T85,31,Brian Harman,111,118,Humana Challenge in partnership with the Clinton Foundation,4,16
88,T85,29,Charles Howell III,106,118,the Memorial Tournament presented by Nationwide Insurance,1,3
89,T90,29,Charles Howell III,106,116,HP Byron Nelson Championship,4,16
90,T90,91,Spencer Levin,59,116,RBC Heritage,4,5
91,T90,92,Will MacKenzie,82,116,Zurich Classic of New Orleans,1,8
92,93,93,Morgan Hoffmann,103,114,Shriners Hospitals for Children Open,3,7
93,94,94,Scott Gardiner,46,112,AT&T Pebble Beach National Pro-Am,4,4
94,T95,95,John Senden,99,111,John Deere Classic,1,6
95,T95,96,Russell Knox,92,111,Crowne Plaza Invitational at Colonial,3,18
96,T95,97,Harrison Frazar,38,111,Valero Texas Open,2,18
97,T95,98,Chesson Hadley,84,111,Valero Texas Open,1,18
98,99,99,Ken Duke,80,110,Humana Challenge in partnership with the Clinton Foundation,4,17
99,100,100,Joe Ogilvie,35,109,Waste Management Phoenix Open,4,1
100,T101,101,Henrik Stenson,56,108,World Golf Championships-Bridgestone Invitational,2,10
101,T101,59,Charley Hoffman,93,108,Travelers Championship,1,2
102,103,103,Scott Langley,95,107,John Deere Classic,2,6
103,T104,104,Ernie Els,85,105,THE PLAYERS Championship,1,4
104,T104,31,Brian Harman,111,105,RBC Heritage,2,13
105,T104,106,Martin Flores,85,105,Wells Fargo Championship,2,11
106,T107,9,Cameron Tringale,111,104,Northern Trust Open,1,17
107,T107,108,Patrick Reed,92,104,World Golf Championships-Bridgestone Invitational,4,17
108,T109,109,Pat Perez,84,103,Wells Fargo Championship,2,11
109,T109,110,Jason Dufner,57,103,the Memorial Tournament presented by Nationwide Insurance,1,11
110,111,111,D.J. Trahan,13,102,Humana Challenge in partnership with the Clinton Foundation,2,16
111,112,112,Brendon Todd,108,100,Frys.com Open,2,9
112,T113,113,Ryo Ishikawa,75,99,Frys.com Open,3,10
113,T113,114,Jim Renner,61,99,Frys.com Open,2,12
114,T115,115,David Lynn,33,98,Farmers Insurance Open,3,18
115,T115,29,Charles Howell III,106,98,Frys.com Open,4,15
116,T115,117,Alex Prugh,40,98,John Deere Classic,3,13
117,T115,98,Chesson Hadley,84,98,Shriners Hospitals for Children Open,3,16
118,T119,119,Kevin Streelman,79,97,Hyundai Tournament of Champions,1,3
119,T119,21,Charlie Wi,72,97,Farmers Insurance Open,2,18
120,T121,121,Billy Horschel,92,95,Farmers Insurance Open,4,18
121,T121,83,Jason Bohn,81,95,Wells Fargo Championship,4,10
122,T123,123,Steve Stricker,41,94,the Memorial Tournament presented by Nationwide Insurance,3,5
123,T123,65,Gary Woodland,93,94,the Memorial Tournament presented by Nationwide Insurance,1,17
124,T125,125,Glen Day,12,93,RBC Heritage,2,5
125,T125,92,Will MacKenzie,82,93,AT&T Pebble Beach National Pro-Am,4,4
126,T127,127,Phil Mickelson,71,92,World Golf Championships-Bridgestone Invitational,4,13
127,T127,51,Daniel Summerhays,98,92,Zurich Classic of New Orleans,2,11
128,129,26,Ben Martin,80,91,Quicken Loans National,3,1
129,130,130,Marc Warren,8,90,PGA Championship,2,10
130,T131,131,Fabrizio Zanotti,8,89,PGA Championship,4,4
131,T131,132,Brandt Snedeker,89,89,World Golf Championships-Cadillac Championship,2,1
132,T133,106,Martin Flores,85,88,Shell Houston Open,4,8
133,T133,38,Stuart Appleby,92,88,Farmers Insurance Open,1,15
134,T135,135,Andres Romero,81,86,Travelers Championship,1,13
135,T135,136,Billy Hurley III,86,86,Crowne Plaza Invitational at Colonial,2,9
136,137,74,Jeff Overton,80,85,Humana Challenge in partnership with the Clinton Foundation,4,14
137,138,109,Pat Perez,84,84,RBC Canadian Open,1,6
138,139,139,Steven Bowditch,93,83,Valero Texas Open,2,12
139,140,140,Thongchai Jaidee,27,82,World Golf Championships-Bridgestone Invitational,4,2
140,T141,19,Chad Collins,78,81,HP Byron Nelson Championship,1,11
141,T141,142,James Driscoll,71,81,Shriners Hospitals for Children Open,1,9
142,143,143,Brad Fritsch,50,76,Wyndham Championship,3,8
143,144,13,James Hahn,82,74,AT&T Pebble Beach National Pro-Am,1,6
144,T145,11,Kevin Foley,38,71,The Greenbrier Classic,1,4
145,T145,146,D.A. Points,75,71,Zurich Classic of New Orleans,4,11
146,147,147,Ben Crane,81,68,Frys.com Open,3,17
147,148,148,Martin Kaymer,65,67,Wells Fargo Championship,1,8
148,149,149,Brian Gay,81,61,Sony Open in Hawaii,3,10
149,150,150,Graham DeLaet,80,60,Shell Houston Open,2,8
150,151,92,Will MacKenzie,82,59,Wells Fargo Championship,1,14
151,152,136,Billy Hurley III,86,58,Wells Fargo Championship,1,5
152,153,153,Rory McIlroy,66,56,BMW Championship,4,7
153,T154,10,Brian Davis,93,50,Waste Management Phoenix Open,4,3
154,T154,155,Tim Clark,75,50,RBC Canadian Open,3,2
155,T154,156,Matt Every,85,50,The Barclays,2,13
156,T157,157,Jason Allred,28,49,The Honda Classic,2,10
157,T157,158,Martin Laird,66,49,Wells Fargo Championship,3,5
158,159,91,Spencer Levin,59,48,Humana Challenge in partnership with the Clinton Foundation,4,10
159,T160,160,Scott Verplank,24,47,The McGladrey Classic,1,9
160,T160,70,Jason Kokrak,65,47,The McGladrey Classic,4,5
161,T160,106,Martin Flores,85,47,The McGladrey Classic,2,13
162,163,163,Ryan Palmer,85,46,BMW Championship,2,7
163,164,6,Graeme McDowell,66,44,World Golf Championships-Bridgestone Invitational,4,2
164,165,115,David Lynn,33,43,Arnold Palmer Invitational presented by MasterCard,1,4
165,T166,166,Ben Kohles,8,41,Wells Fargo Championship,1,12
166,T166,97,Harrison Frazar,38,41,The Honda Classic,1,2
167,T166,168,Johan Kok,2,41,PGA Championship,2,6
168,T166,16,Gonzalo Fernandez-Castaño,83,41,RBC Heritage,3,5
169,T166,170,Thorbjørn Olesen,37,41,Wells Fargo Championship,2,15
170,T171,148,Martin Kaymer,65,40,World Golf Championships-Cadillac Championship,2,2
171,T171,87,David Lingmerth,80,40,The Honda Classic,4,6
172,T171,15,Josh Teater,90,40,HP Byron Nelson Championship,3,8
173,T171,174,Jimmy Walker,98,40,AT&T Pebble Beach National Pro-Am,1,10
174,T175,175,Toshinori Muto,3,39,Sony Open in Hawaii,1,12
175,T175,135,Andres Romero,81,39,AT&T Pebble Beach National Pro-Am,4,13
176,T175,31,Brian Harman,111,39,The McGladrey Classic,2,9
177,T175,84,Erik Compton,88,39,Zurich Classic of New Orleans,4,7
178,T175,44,Justin Hicks,103,39,Arnold Palmer Invitational presented by MasterCard,2,2
179,T175,180,Rafa Cabrera Bello,15,39,Wyndham Championship,1,15
180,T181,181,Chris Stroud,88,38,Deutsche Bank Championship,4,13
181,T181,182,José Coceres,17,38,Shriners Hospitals for Children Open,4,3
182,T183,183,John Peterson,62,37,Wells Fargo Championship,1,4
183,T183,184,David Duval,33,37,Arnold Palmer Invitational presented by MasterCard,2,5
184,T183,28,Kevin Kisner,85,37,Zurich Classic of New Orleans,2,9
185,T186,84,Erik Compton,88,36,Waste Management Phoenix Open,1,17
186,T186,119,Kevin Streelman,79,36,FedEx St. Jude Classic,1,5
187,T186,10,Brian Davis,93,36,Arnold Palmer Invitational presented by MasterCard,4,15
188,T189,87,David Lingmerth,80,35,Humana Challenge in partnership with the Clinton Foundation,4,10
189,T189,139,Steven Bowditch,93,35,RBC Heritage,1,6
190,T189,77,Sergio Garcia,61,35,BMW Championship,4,7
191,T189,53,Kevin Chappell,100,35,The Greenbrier Classic,2,15
192,T193,85,Patrick Rodgers,23,34,RBC Canadian Open,3,8
193,T193,194,Tiger Woods,21,34,PGA Championship,1,16
194,T193,195,John Mallinger,42,34,Waste Management Phoenix Open,1,2
195,T196,196,Bobby Gates,31,33,AT&T Pebble Beach National Pro-Am,1,9
196,T196,197,Michael Thompson,74,33,Hyundai Tournament of Champions,2,8
197,T198,181,Chris Stroud,88,32,Travelers Championship,2,2
198,T198,199,Jason Gore,24,32,Wells Fargo Championship,1,7
199,T198,119,Kevin Streelman,79,32,Wells Fargo Championship,2,10
