,Approaches_from__100_yards_Rgh_RANK THIS WEEK,Approaches_from__100_yards_Rgh_RANK LAST WEEK,Approaches_from__100_yards_Rgh_PLAYER NAME,Approaches_from__100_yards_Rgh_ROUNDS,Approaches_from__100_yards_Rgh_AVG,Approaches_from__100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__100_yards_Rgh_# OF ATTEMPTS,Approaches_from__100_yards_Rgh_RELATIVE TO PAR
0,1,1,Paul Casey,56,"38' 8""",5370.25,139,14
1,2,2,Brooks Koepka,56,"38' 11""",5793.5830000000005,149,1
2,3,3,Jamie Lovemark,64,"39' 3""",6826.9169999999995,174,12
3,4,4,Vijay Singh,83,"40' 6""",10120.25,250,31
4,5,5,Ken Duke,80,"41' 2""",7575.4169999999995,184,30
5,6,6,Sergio Garcia,61,"41' 3""",5118.333,124,-5
6,7,7,John Peterson,62,"41' 5""",6464.75,156,17
7,8,8,Ryan Palmer,85,"41' 9""",9722.25,233,-5
8,9,9,Kyle Stanley,87,"41' 11""",9814.833,234,39
9,T10,T10,Freddie Jacobson,91,"42' 1""",10639.25,253,16
10,T10,T10,Bubba Watson,76,"42' 1""",7577.0,180,-3
11,12,12,Brendan Steele,89,"42' 2""",9774.0,232,30
12,13,13,Marc Leishman,81,"42' 4""",9694.333,229,26
13,14,14,David Toms,64,"42' 5""",5382.5830000000005,127,14
14,T15,T15,Jason Bohn,81,"42' 7""",8640.167,203,19
15,T15,T15,Jim Furyk,84,"42' 7""",5919.5,139,20
16,T17,T17,Charles Howell III,106,"43' 0""",16269.667,378,22
17,T17,T17,Nick Watney,80,"43' 0""",7055.5830000000005,164,22
18,19,19,Martin Flores,85,"43' 2""",10697.75,248,26
19,20,20,Jeff Maggert,54,"43' 3""",5231.75,121,12
20,21,21,Hudson Swafford,75,"43' 6""",8350.917,192,25
21,22,22,Jason Dufner,57,"43' 7""",5835.9169999999995,134,15
22,T23,T23,Tyrone Van Aswegen,79,"43' 9""",10464.083,239,44
23,T23,T23,Boo Weekley,73,"43' 9""",6601.3330000000005,151,10
24,T25,T25,Charlie Beljan,76,"43' 11""",9972.917,227,39
25,T25,T25,Carl Pettersson,91,"43' 11""",13035.083,297,28
26,T27,T27,George McNeill,79,"44' 1""",9478.167,215,21
27,T27,T27,Josh Teater,90,"44' 1""",10846.0,246,27
28,29,29,Kevin Na,94,"44' 2""",11075.667,251,17
29,T30,T30,Retief Goosen,94,"44' 3""",12694.917,287,33
30,T30,T30,Brian Harman,111,"44' 3""",14475.167,327,40
31,T30,T30,Geoff Ogilvy,84,"44' 3""",10443.167,236,22
32,33,33,Harris English,95,"44' 4""",11046.417,249,26
33,T34,T34,Hideki Matsuyama,82,"44' 5""",9852.083,222,20
34,T34,T34,Phil Mickelson,71,"44' 5""",7157.4169999999995,161,9
35,T36,T36,Troy Matteson,62,"44' 7""",7719.8330000000005,173,36
36,T36,T36,John Merrick,87,"44' 7""",7715.9169999999995,173,11
37,T38,T38,Davis Love III,74,"44' 8""",9608.667,215,22
38,T38,T38,Justin Rose,70,"44' 8""",7904.5,177,12
39,T38,T38,Scott Stallings,77,"44' 8""",10400.5,233,37
40,T41,T41,Robert Allenby,83,"44' 9""",10510.417,235,28
41,T41,T41,Charley Hoffman,93,"44' 9""",10878.167,243,9
42,T41,T41,Kevin Tway,64,"44' 9""",7614.1669999999995,170,32
43,T41,T41,Jimmy Walker,98,"44' 9""",12252.0,274,6
44,T41,T41,Charlie Wi,72,"44' 9""",10702.583,239,8
45,T46,T46,Stewart Cink,91,"44' 10""",10802.333,241,26
46,T46,T46,Billy Hurley III,86,"44' 10""",8031.25,179,24
47,T46,T46,Seung-Yul Noh,92,"44' 10""",11785.0,263,31
48,T46,T46,Kevin Stadler,90,"44' 10""",8788.583,196,32
49,T50,T50,Chesson Hadley,84,"44' 11""",10956.833,244,38
50,T50,T50,Troy Merritt,62,"44' 11""",7811.9169999999995,174,41
51,52,52,Adam Scott,68,"45' 0""",7510.0,167,3
52,T53,T53,Ángel Cabrera,69,"45' 1""",9880.0,219,7
53,T53,T53,Hunter Mahan,88,"45' 1""",8390.667,186,21
54,T53,T53,"Ted Potter, Jr.",68,"45' 1""",7622.5,169,19
55,T56,T56,Nicholas Thompson,85,"45' 2""",8626.083,191,41
56,T56,T56,Bo Van Pelt,83,"45' 2""",8450.0,187,24
57,58,58,Y.E. Yang,79,"45' 3""",8824.667,195,30
58,59,59,Kevin Chappell,100,"45' 4""",9558.167,211,33
59,60,60,Graeme McDowell,66,"45' 5""",5089.167,112,12
60,61,61,Dustin Johnson,58,"45' 6""",6462.3330000000005,142,14
61,T62,T62,Lucas Glover,68,"45' 7""",5836.5,128,27
62,T62,T62,Morgan Hoffmann,103,"45' 7""",14778.833,324,60
63,T62,T62,Brian Stuard,91,"45' 7""",9482.0,208,21
64,65,65,William McGirt,96,"45' 8""",12153.5,266,35
65,T66,T66,Luke Guthrie,85,"45' 9""",11062.833,242,29
66,T66,T66,Russell Knox,92,"45' 9""",10347.917,226,38
67,T66,T66,Scott Langley,95,"45' 9""",12861.417,281,22
68,T66,T66,John Senden,99,"45' 9""",10847.167,237,31
69,T66,T66,Shawn Stefani,60,"45' 9""",7784.4169999999995,170,17
