,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Daniel Summerhays,98,-.038
1,2,2,Sergio Garcia,61,-.026
2,3,3,Ángel Cabrera,69,-.008
3,T4,T4,Ryan Palmer,85,E
4,T4,T4,Justin Rose,70,E
5,6,6,Adam Scott,68,+.010
6,7,7,Jimmy Walker,98,+.012
7,8,8,Chris Kirk,105,+.014
8,9,9,Graham DeLaet,80,+.019
9,10,10,"Ted Potter, Jr.",68,+.020
10,T11,T11,Billy Hurley III,86,+.022
11,T11,T11,Kevin Na,94,+.022
12,13,13,Phil Mickelson,71,+.023
13,14,14,Jason Kokrak,65,+.040
14,15,15,Brian Stuard,91,+.047
15,T16,T16,Greg Chalmers,85,+.048
16,T16,T16,Robert Streb,75,+.048
17,T18,T18,Paul Casey,56,+.051
18,T18,T18,David Toms,64,+.051
19,T20,T20,Seung-Yul Noh,92,+.053
20,T20,T20,Mike Weir,69,+.053
21,T20,T20,Gary Woodland,93,+.053
22,23,23,Jamie Lovemark,64,+.056
23,24,24,Charley Hoffman,93,+.060
24,T25,T25,Bronson La'Cassie,51,+.063
25,T25,T25,George McNeill,79,+.063
26,27,27,Vijay Singh,83,+.066
27,28,28,Nick Watney,80,+.070
28,T29,T29,Brian Davis,93,+.071
29,T29,T29,Justin Hicks,103,+.071
30,T29,T29,Brooks Koepka,56,+.071
31,32,32,Charlie Wi,72,+.072
32,33,33,Brad Fritsch,50,+.074
33,34,34,Brian Harman,111,+.075
34,35,35,Stewart Cink,91,+.076
35,T36,T36,Davis Love III,74,+.077
36,T36,T36,Henrik Stenson,56,+.077
37,T38,T38,Matt Every,85,+.079
38,T38,T38,Tommy Gainey,73,+.079
39,40,40,Harris English,95,+.080
40,41,41,Rory McIlroy,66,+.081
41,T42,T42,Jeff Maggert,54,+.082
42,T42,T42,Hunter Mahan,88,+.082
43,44,44,Scott Langley,95,+.084
44,45,45,Geoff Ogilvy,84,+.085
45,T46,T46,Martin Kaymer,65,+.087
46,T46,T46,Danny Lee,84,+.087
47,T48,T48,Sangmoon Bae,76,+.088
48,T48,T48,J.B. Holmes,86,+.088
49,T50,T50,Ricky Barnes,92,+.089
50,T50,T50,Webb Simpson,87,+.089
51,52,52,Brandt Snedeker,89,+.090
52,53,53,Russell Henley,92,+.092
53,54,54,Matt Kuchar,91,+.093
54,55,55,David Lingmerth,80,+.094
55,T56,T56,Jason Bohn,81,+.095
56,T56,T56,Luke Guthrie,85,+.095
57,T58,T58,Keegan Bradley,89,+.096
58,T58,T58,Freddie Jacobson,91,+.096
59,T60,T60,Andrew Loupe,65,+.098
60,T60,T60,Kevin Stadler,90,+.098
61,62,62,James Hahn,82,+.099
62,63,63,Bill Haas,107,+.100
