,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Dustin Johnson,58,158.8,4190899.0,733
1,2,2,Charlie Beljan,76,159.6,6890109.0,1199
2,3,3,Louis Oosthuizen,50,160.7,3101487.0,536
3,4,4,Troy Merritt,62,161.0,5726105.0,988
4,5,5,Patrick Reed,92,161.1,7689818.0,1326
5,T6,T6,Brian Gay,81,161.4,6553207.0,1128
6,T6,T6,David Toms,64,161.4,5641283.0,971
7,T8,T8,Tim Clark,75,161.5,6484286.0,1115
8,T8,T8,Andrew Loupe,65,161.5,5202540.0,895
9,10,10,Troy Matteson,62,161.7,5111234.0,878
10,11,11,Bo Van Pelt,83,161.9,6999402.0,1201
11,T12,T12,Bud Cauley,56,162.1,4813778.0,825
12,T12,T12,Tyrone Van Aswegen,79,162.1,6805077.0,1166
13,14,14,Jeff Maggert,54,162.2,4595837.0,787
14,15,15,Briny Baird,50,162.4,4735925.0,810
15,16,16,Roberto Castro,76,162.5,6184207.0,1057
16,17,17,Morgan Hoffmann,103,162.6,9434178.0,1612
17,T18,T18,Brian Harman,111,162.9,10607489.0,1809
18,T18,T18,Charles Howell III,106,162.9,9997791.0,1705
19,T18,T18,Kevin Kisner,85,162.9,7337605.0,1251
20,T18,T18,John Rollins,84,162.9,7041608.0,1201
21,T22,T22,Tommy Gainey,73,163.0,6290274.0,1072
22,T22,T22,Robert Streb,75,163.0,6730278.0,1147
23,T22,T22,Bubba Watson,76,163.0,5892894.0,1004
24,T25,T25,Retief Goosen,94,163.1,8210669.0,1398
25,T25,T25,Bryce Molder,77,163.1,6734375.0,1147
26,T27,T27,Stuart Appleby,92,163.3,8854692.0,1506
27,T27,T27,Freddie Jacobson,91,163.3,8501146.0,1446
28,T27,T27,Justin Leonard,75,163.3,6530925.0,1111
29,T27,T27,Jamie Lovemark,64,163.3,4927425.0,838
30,T27,T27,Wes Roach,67,163.3,5274773.0,897
31,T32,T32,Chad Campbell,57,163.4,4842394.0,823
32,T32,T32,J.J. Henry,91,163.4,8221303.0,1398
33,T34,T34,Woody Austin,63,163.5,6015812.0,1022
34,T34,T34,Brian Davis,93,163.5,8572296.0,1456
35,T36,T36,Ryo Ishikawa,75,163.6,6529603.0,1109
36,T36,T36,Scott Langley,95,163.6,8326289.0,1414
37,T36,T36,Jim Renner,61,163.6,5470129.0,929
38,T39,T39,Jason Day,54,163.7,3470407.0,589
39,T39,T39,Justin Hicks,103,163.7,9528917.0,1617
40,T41,T41,Brice Garnett,92,163.8,8218379.0,1394
41,T41,T41,Jim Herman,62,163.8,5054909.0,857
42,T41,T41,Michael Thompson,74,163.8,6334689.0,1074
43,T41,T41,Boo Weekley,73,163.8,5916040.0,1003
44,T45,T45,Greg Chalmers,85,163.9,7717489.0,1308
45,T45,T45,Richard Lee,80,163.9,6395137.0,1084
46,T45,T45,Sean O'Hair,77,163.9,7075148.0,1199
47,T48,T48,Heath Slocum,71,164.0,6571736.0,1113
48,T48,T48,Brendon Todd,108,164.0,9630964.0,1631
49,T48,T48,Tim Wilkinson,86,164.0,7527367.0,1275
50,T51,T51,Jonas Blixt,64,164.1,4544169.0,769
51,T51,T51,Billy Hurley III,86,164.1,7628854.0,1291
52,T51,T51,Bronson La'Cassie,51,164.1,3810554.0,645
53,T51,T51,Rory Sabbatini,82,164.1,6875598.0,1164
54,55,55,Martin Flores,85,164.2,7175414.0,1214
55,T56,T56,Luke Guthrie,85,164.3,8021693.0,1356
56,T56,T56,David Hearn,97,164.3,8719408.0,1474
57,T56,T56,Charley Hoffman,93,164.3,8032914.0,1358
58,T56,T56,Russell Knox,92,164.3,8811106.0,1490
59,T56,T56,David Lingmerth,80,164.3,7097570.0,1200
60,T61,T61,Stewart Cink,91,164.4,7613216.0,1286
61,T61,T61,Geoff Ogilvy,84,164.4,7724668.0,1305
62,T61,T61,"Ted Potter, Jr.",68,164.4,6357676.0,1074
63,T64,T64,Josh Teater,90,164.5,7946071.0,1342
64,T64,T64,Camilo Villegas,95,164.5,8910254.0,1505
65,T66,T66,Graeme McDowell,66,164.6,4877517.0,823
66,T66,T66,Pat Perez,84,164.6,7984002.0,1347
67,T66,T66,Scott Stallings,77,164.6,6690259.0,1129
68,T69,T69,Chad Collins,78,164.7,6470259.0,1091
69,T69,T69,Lucas Glover,68,164.7,4998251.0,843
70,T69,T69,Matt Kuchar,91,164.7,8081121.0,1363
71,T72,T72,Brad Fritsch,50,164.8,4140511.0,698
72,T72,T72,Davis Love III,74,164.8,6679616.0,1126
73,T74,T74,Trevor Immelman,84,164.9,7137326.0,1202
74,T74,T74,Jerry Kelly,80,164.9,6998907.0,1179
75,T74,T74,Kevin Tway,64,164.9,4993085.0,841
76,T77,T77,Jason Bohn,81,165.0,7741531.0,1303
