,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Morgan Hoffmann,103,1486,15458250.0,2.89
1,2,2,Bubba Watson,76,1496,7432100.0,1.38
2,3,3,Patrick Reed,92,1509,11356180.0,2.09
3,4,4,Louis Oosthuizen,50,1516,6111380.0,1.12
4,5,5,Ryo Ishikawa,75,1518,10547330.0,1.93
5,6,6,Jamie Lovemark,64,1524,8337610.0,1.52
6,7,7,Briny Baird,50,1530,8369590.0,1.52
7,8,8,Bud Cauley,56,1533,7670900.0,1.39
8,9,9,Dustin Johnson,58,1538,6089500.0,1.1
9,10,10,Charlie Beljan,76,1559,12574470.0,2.24
10,11,11,Roberto Castro,76,1561,11015540.0,1.96
11,12,12,Nick Watney,80,1563,8947670.0,1.59
12,13,13,Billy Horschel,92,1565,9689430.0,1.72
13,14,14,Kevin Stadler,90,1570,10566410.0,1.87
14,15,15,Willy Wilcox,51,1572,6110250.0,1.08
15,16,16,Bo Van Pelt,83,1574,10197260.0,1.8
16,17,17,Andrew Loupe,65,1578,10563730.0,1.86
17,18,18,Troy Matteson,62,1579,10628520.0,1.87
18,19,19,Brian Harman,111,1580,16093940.0,2.83
19,20,20,Kevin Streelman,79,1581,11665850.0,2.05
20,21,21,Kyle Stanley,87,1587,15084740.0,2.64
21,22,22,Charley Hoffman,93,1589,11613530.0,2.03
22,23,23,Tyrone Van Aswegen,79,1590,11848840.0,2.07
23,T24,T24,Scott Brown,100,1592,13930190.0,2.43
24,T24,T24,Brice Garnett,92,1592,13012370.0,2.27
25,T24,T24,Chris Kirk,105,1592,13471240.0,2.35
26,T24,T24,Phil Mickelson,71,1592,7678520.0,1.34
27,28,28,Jeff Maggert,54,1596,8159600.0,1.42
28,T29,T29,Jeff Overton,80,1598,11276630.0,1.96
29,T29,T29,Wes Roach,67,1598,10412350.0,1.81
30,T29,T29,Scott Stallings,77,1598,12772060.0,2.22
31,T32,T32,Kevin Chappell,100,1602,14359800.0,2.49
32,T32,T32,Rory McIlroy,66,1602,6804280.0,1.18
33,T34,T34,Rickie Fowler,91,1603,9809920.0,1.7
34,T34,T34,J.J. Henry,91,1603,12699140.0,2.2
35,36,36,J.B. Holmes,86,1604,14145560.0,2.45
36,T37,T37,Jason Bohn,81,1605,12999160.0,2.25
37,T37,T37,Jason Day,54,1605,4218120.0,0.73
38,T37,T37,Jim Herman,62,1605,9359440.0,1.62
39,T37,T37,Richard Lee,80,1605,10917330.0,1.89
40,T37,T37,John Senden,99,1605,11148210.0,1.93
41,T37,T37,Michael Thompson,74,1605,10862640.0,1.88
42,T43,T43,Sergio Garcia,61,1607,4685190.0,0.81
43,T43,T43,Martin Kaymer,65,1607,8851690.0,1.53
44,T43,T43,Pat Perez,84,1607,12904300.0,2.23
45,T43,T43,Charlie Wi,72,1607,11686270.0,2.02
46,T43,T43,Y.E. Yang,79,1607,11164020.0,1.93
47,T48,T48,Sean O'Hair,77,1608,11637010.0,2.01
48,T48,T48,Rory Sabbatini,82,1608,13259310.0,2.29
49,T48,T48,Mark Wilson,69,1608,10827690.0,1.87
50,T51,T51,Paul Casey,56,1609,7239440.0,1.25
51,T51,T51,Harris English,95,1609,11760990.0,2.03
52,T53,T53,Jonas Blixt,64,1611,7596980.0,1.31
53,T53,T53,Lucas Glover,68,1611,9918610.0,1.71
54,T53,T53,D.A. Points,75,1611,11369160.0,1.96
55,T53,T53,Jordan Spieth,102,1611,13339990.0,2.3
56,57,57,Derek Ernst,80,1614,13536240.0,2.33
57,T58,T58,Brad Fritsch,50,1615,6570850.0,1.13
58,T58,T58,Jhonattan Vegas,77,1615,10869350.0,1.87
59,60,60,Brendon de Jonge,109,1616,15071830.0,2.59
60,T61,T61,Ken Duke,80,1618,11706680.0,2.01
61,T61,T61,Brandt Snedeker,89,1618,10894690.0,1.87
62,T61,T61,Kevin Tway,64,1618,9145800.0,1.57
63,T64,T64,Brian Davis,93,1619,14458270.0,2.48
64,T64,T64,Hunter Mahan,88,1619,12415880.0,2.13
65,66,66,Andres Romero,81,1620,13643320.0,2.34
66,T67,T67,Troy Merritt,62,1621,9921760.0,1.7
67,T67,T67,Hudson Swafford,75,1621,10389710.0,1.78
68,T69,T69,Russell Knox,92,1622,12206020.0,2.09
69,T69,T69,Ben Martin,80,1622,10511090.0,1.8
70,T69,T69,John Peterson,62,1622,10332380.0,1.77
71,T72,T72,Keegan Bradley,89,1624,9411110.0,1.61
