,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Dustin Johnson,58,1546,24984180.0,4.49
1,2,2,Charlie Beljan,76,1575,41743030.0,7.36
2,3,3,Andrew Loupe,65,1592,29967120.0,5.23
3,T4,T4,Brian Gay,81,1596,42470610.0,7.39
4,T4,T4,Tyrone Van Aswegen,79,1596,42238520.0,7.35
5,6,6,Charley Hoffman,93,1598,49174580.0,8.55
6,7,7,Robert Streb,75,1600,40894690.0,7.1
7,T8,T8,Louis Oosthuizen,50,1601,18385540.0,3.19
8,T8,T8,Patrick Reed,92,1601,49176170.0,8.53
9,10,10,Lucas Glover,68,1603,30059500.0,5.21
10,T11,T11,Troy Merritt,62,1605,36332570.0,6.29
11,T11,T11,Kevin Tway,64,1605,31257000.0,5.41
12,T13,T13,Tommy Gainey,73,1607,37490840.0,6.48
13,T13,T13,Wes Roach,67,1607,31129620.0,5.38
14,15,15,Bronson La'Cassie,51,1608,24485340.0,4.23
15,T16,T16,Charles Howell III,106,1609,63601620.0,10.98
16,T16,T16,Kevin Kisner,85,1609,45989060.0,7.94
17,T18,T18,Retief Goosen,94,1611,53538770.0,9.23
18,T18,T18,Bo Van Pelt,83,1611,45745070.0,7.89
19,T20,T20,Brice Garnett,92,1612,52343610.0,9.02
20,T20,T20,Jim Renner,61,1612,31628510.0,5.45
21,T20,T20,Michael Thompson,74,1612,38412810.0,6.62
22,T20,T20,David Toms,64,1612,37024190.0,6.38
23,T20,T20,Boo Weekley,73,1612,38310800.0,6.6
24,25,25,Josh Teater,90,1614,51714830.0,8.9
25,T26,T26,Jonas Blixt,64,1615,28433060.0,4.89
26,T26,T26,J.B. Holmes,86,1615,49125950.0,8.45
27,T26,T26,Jamie Lovemark,64,1615,30414760.0,5.23
28,T26,T26,Troy Matteson,62,1615,30865110.0,5.31
29,T26,T26,Heath Slocum,71,1615,42900640.0,7.38
30,31,31,Justin Hicks,103,1616,61388930.0,10.55
31,32,32,Bubba Watson,76,1617,36896420.0,6.34
32,T33,T33,Freddie Jacobson,91,1619,54734660.0,9.39
33,T33,T33,Sean O'Hair,77,1619,45756490.0,7.85
34,35,35,Stewart Cink,91,1620,47463480.0,8.14
35,T36,T36,Briny Baird,50,1621,30235290.0,5.18
36,T36,T36,Roberto Castro,76,1621,39563860.0,6.78
37,T36,T36,Bud Cauley,56,1621,30687780.0,5.26
38,T36,T36,Brian Davis,93,1621,53801400.0,9.22
39,T36,T36,Scott Langley,95,1621,53791160.0,9.22
40,T41,T41,Steven Bowditch,93,1622,49742950.0,8.52
41,T41,T41,John Rollins,84,1622,46195060.0,7.91
42,T43,T43,Woody Austin,63,1623,36871520.0,6.31
43,T43,T43,James Hahn,82,1623,48623500.0,8.32
44,T43,T43,Martin Laird,66,1623,35635790.0,6.1
45,T46,T46,Russell Henley,92,1624,47468870.0,8.12
46,T46,T46,Morgan Hoffmann,103,1624,57863820.0,9.9
47,48,48,Luke Guthrie,85,1625,50245740.0,8.59
48,T49,T49,Kevin Chappell,100,1626,56949110.0,9.73
49,T49,T49,Jordan Spieth,102,1626,51386540.0,8.78
50,T49,T49,Brendan Steele,89,1626,45771920.0,7.82
51,T52,T52,Ricky Barnes,92,1627,53003270.0,9.05
52,T52,T52,Brian Harman,111,1627,68117990.0,11.63
53,T52,T52,Matt Kuchar,91,1627,51362090.0,8.77
54,T52,T52,Carl Pettersson,91,1627,56688100.0,9.68
55,56,56,Derek Ernst,80,1628,41083790.0,7.01
56,T57,T57,Brad Fritsch,50,1629,26618590.0,4.54
57,T57,T57,Trevor Immelman,84,1629,45163690.0,7.7
58,T57,T57,Brooks Koepka,56,1629,27679640.0,4.72
59,T57,T57,Shawn Stefani,60,1629,39000070.0,6.65
