,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Martin Laird,66,40.98,50,122,-56,56 Under
1,2,2,Charlie Beljan,76,35.48,44,124,-50,50 Under
2,3,3,Lucas Glover,68,32.32,32,99,-32,32 Under
3,4,4,Jonas Blixt,64,31.34,21,67,-22,22 Under
4,5,5,Briny Baird,50,30.88,21,68,-16,16 Under
5,6,6,Jason Dufner,57,30.67,23,75,-25,25 Under
6,7,7,Paul Casey,56,30.56,22,72,-23,23 Under
7,8,8,Will MacKenzie,82,30.53,40,131,-41,41 Under
8,9,9,Patrick Reed,92,30.23,39,129,-44,44 Under
9,10,10,Hudson Swafford,75,30.1,31,103,-32,32 Under
10,11,11,Robert Garrigus,80,29.38,52,177,-47,47 Under
11,12,12,Josh Teater,90,29.1,39,134,-37,37 Under
12,13,13,Retief Goosen,94,29.09,32,110,-25,25 Under
13,14,14,James Hahn,82,28.93,35,121,-38,38 Under
14,15,15,Henrik Stenson,56,28.42,27,95,-27,27 Under
15,16,16,Chris Kirk,105,28.39,44,155,-48,48 Under
16,17,17,Kevin Stadler,90,28.28,41,145,-41,41 Under
17,18,18,Billy Horschel,92,27.86,39,140,-44,44 Under
18,19,19,Adam Scott,68,27.82,37,133,-40,40 Under
19,20,20,Matt Kuchar,91,27.73,33,119,-38,38 Under
20,21,21,Hideki Matsuyama,82,27.56,35,127,-38,38 Under
21,22,22,Bubba Watson,76,27.54,38,138,-42,42 Under
22,23,23,Brian Harman,111,27.45,42,153,-46,46 Under
23,24,24,Bo Van Pelt,83,27.18,28,103,-33,33 Under
24,25,25,Troy Matteson,62,27.06,23,85,-19,19 Under
25,26,26,Jim Furyk,84,27.03,20,74,-19,19 Under
26,27,27,Michael Putnam,106,26.98,51,189,-47,47 Under
27,28,28,Jhonattan Vegas,77,26.95,38,141,-38,38 Under
28,29,29,Danny Lee,84,26.77,34,127,-32,32 Under
29,30,30,Dustin Johnson,58,26.42,28,106,-31,31 Under
30,31,31,Keegan Bradley,89,26.39,38,144,-35,35 Under
31,32,32,Kevin Kisner,85,26.36,29,110,-27,27 Under
32,T33,T33,Stewart Cink,91,26.27,31,118,-35,35 Under
33,T33,T33,Ryo Ishikawa,75,26.27,31,118,-30,30 Under
34,35,35,Zach Johnson,97,26.15,34,130,-34,34 Under
35,36,36,Brooks Koepka,56,26.14,23,88,-22,22 Under
36,37,37,Nicholas Thompson,85,26.13,29,111,-33,33 Under
37,38,38,Harris English,95,26.04,44,169,-45,45 Under
38,39,39,Morgan Hoffmann,103,25.86,45,174,-42,42 Under
39,40,40,Carl Pettersson,91,25.79,41,159,-44,44 Under
40,41,41,Rickie Fowler,91,25.69,37,144,-36,36 Under
41,42,42,Ryan Moore,86,25.64,30,117,-31,31 Under
42,T43,T43,Vijay Singh,83,25.58,33,129,-33,33 Under
43,T43,T43,Kevin Tway,64,25.58,22,86,-21,21 Under
44,T45,T45,Derek Ernst,80,25.37,34,134,-27,27 Under
45,T45,T45,Brad Fritsch,50,25.37,17,67,-15,15 Under
46,47,47,Brendan Steele,89,25.36,35,138,-39,39 Under
47,48,48,Bryce Molder,77,25.35,18,71,-19,19 Under
48,49,49,Andrew Svoboda,77,25.23,27,107,-26,26 Under
49,T50,T50,Robert Allenby,83,25.0,25,100,-23,23 Under
50,T50,T50,Justin Rose,70,25.0,27,108,-29,29 Under
51,T50,T50,Tyrone Van Aswegen,79,25.0,22,88,-21,21 Under
52,53,53,Graham DeLaet,80,24.81,33,133,-29,29 Under
53,54,54,Steven Bowditch,93,24.7,41,166,-46,46 Under
54,55,55,Mark Wilson,69,24.69,20,81,-18,18 Under
55,56,56,Marc Leishman,81,24.65,35,142,-41,41 Under
56,T57,T57,Russell Henley,92,24.64,34,138,-36,36 Under
57,T57,T57,Camilo Villegas,95,24.64,34,138,-35,35 Under
58,59,59,Justin Hicks,103,24.6,31,126,-28,28 Under
59,60,60,Charl Schwartzel,64,24.59,30,122,-32,32 Under
60,61,61,Sangmoon Bae,76,24.44,33,135,-34,34 Under
61,T62,T62,Woody Austin,63,24.39,20,82,-20,20 Under
62,T62,T62,Daniel Summerhays,98,24.39,40,164,-42,42 Under
63,T64,T64,Webb Simpson,87,24.24,32,132,-36,36 Under
64,T64,T64,Michael Thompson,74,24.24,24,99,-24,24 Under
65,66,66,George McNeill,79,24.14,28,116,-28,28 Under
66,T67,T67,Matt Every,85,24.07,26,108,-24,24 Under
67,T67,T67,Louis Oosthuizen,50,24.07,13,54,-11,11 Under
68,69,69,K.J. Choi,80,24.05,19,79,-20,20 Under
69,70,70,Jim Renner,61,24.0,18,75,-16,16 Under
70,71,71,Heath Slocum,71,23.94,17,71,-19,19 Under
71,72,72,Rory McIlroy,66,23.91,33,138,-36,36 Under
72,73,73,Jason Day,54,23.88,16,67,-16,16 Under
73,74,74,D.A. Points,75,23.86,21,88,-17,17 Under
74,75,75,Willy Wilcox,51,23.81,20,84,-24,24 Under
75,76,76,Nick Watney,80,23.76,24,101,-25,25 Under
76,77,77,Brandt Snedeker,89,23.64,26,110,-27,27 Under
77,78,78,Jason Kokrak,65,23.61,34,144,-35,35 Under
78,79,79,Kevin Na,94,23.45,34,145,-35,35 Under
79,80,80,James Driscoll,71,23.4,22,94,-22,22 Under
80,81,81,Davis Love III,74,23.3,24,103,-28,28 Under
81,82,82,Charlie Wi,72,23.16,22,95,-23,23 Under
82,83,83,Shawn Stefani,60,23.15,25,108,-27,27 Under
83,84,84,Johnson Wagner,69,22.99,20,87,-23,23 Under
84,85,85,Sean O'Hair,77,22.96,31,135,-31,31 Under
85,86,86,Andres Romero,81,22.92,33,144,-36,36 Under
86,87,87,Ben Martin,80,22.86,24,105,-21,21 Under
87,88,88,Robert Streb,75,22.81,26,114,-28,28 Under
88,89,89,Charles Howell III,106,22.8,44,193,-46,46 Under
89,90,90,Brian Stuard,91,22.73,25,110,-27,27 Under
90,91,91,Aaron Baddeley,74,22.32,25,112,-26,26 Under
91,92,92,Kevin Streelman,79,22.31,27,121,-29,29 Under
92,93,93,Bill Haas,107,22.22,34,153,-36,36 Under
93,94,94,Charley Hoffman,93,22.16,37,167,-38,38 Under
94,95,95,Jamie Lovemark,64,22.12,25,113,-23,23 Under
95,96,96,John Peterson,62,22.03,26,118,-25,25 Under
96,97,97,Kyle Stanley,87,22.01,35,159,-32,32 Under
97,98,98,Brian Davis,93,21.85,26,119,-28,28 Under
98,99,99,Chesson Hadley,84,21.67,26,120,-26,26 Under
99,100,100,Lee Westwood,57,21.65,21,97,-24,24 Under
100,101,101,Jimmy Walker,98,21.64,37,171,-38,38 Under
101,102,102,Brice Garnett,92,21.6,27,125,-26,26 Under
102,103,103,Cameron Tringale,111,21.38,34,159,-35,35 Under
103,104,104,Gonzalo Fernandez-Castaño,83,21.37,25,117,-26,26 Under
104,105,105,Ricky Barnes,92,21.26,27,127,-32,32 Under
105,106,106,John Huh,87,21.1,23,109,-24,24 Under
106,T107,T107,Erik Compton,88,21.01,29,138,-30,30 Under
107,T107,T107,Scott Stallings,77,21.01,25,119,-28,28 Under
108,109,109,Roberto Castro,76,20.93,18,86,-18,18 Under
109,110,110,Graeme McDowell,66,20.75,11,53,-11,11 Under
110,T111,T111,Kevin Chappell,100,20.63,33,160,-34,34 Under
111,T111,T111,Luke Guthrie,85,20.63,26,126,-25,25 Under
112,113,113,Brendon de Jonge,109,20.61,34,165,-35,35 Under
113,114,114,Ben Curtis,77,20.55,15,73,-16,16 Under
114,115,115,Boo Weekley,73,20.41,20,98,-19,19 Under
115,116,116,Phil Mickelson,71,20.35,23,113,-23,23 Under
116,117,117,Bronson La'Cassie,51,20.34,12,59,-14,14 Under
117,118,118,Ian Poulter,57,20.29,14,69,-14,14 Under
118,119,119,Jason Bohn,81,20.22,18,89,-18,18 Under
119,T120,T120,Billy Hurley III,86,20.0,16,80,-17,17 Under
120,T120,T120,Martin Kaymer,65,20.0,22,110,-22,22 Under
121,122,122,John Senden,99,19.86,29,146,-32,32 Under
122,123,123,John Rollins,84,19.59,19,97,-17,17 Under
123,124,124,Ryan Palmer,85,19.48,30,154,-32,32 Under
124,125,125,Freddie Jacobson,91,19.3,22,114,-25,25 Under
125,126,126,Rory Sabbatini,82,19.2,24,125,-23,23 Under
126,127,127,Richard Lee,80,19.19,19,99,-19,19 Under
127,128,128,Ángel Cabrera,69,19.08,25,131,-25,25 Under
128,129,129,Tommy Gainey,73,19.05,20,105,-22,22 Under
129,130,130,J.J. Henry,91,18.92,21,111,-18,18 Under
130,131,131,Jim Herman,62,18.89,17,90,-18,18 Under
131,132,132,Russell Knox,92,18.58,21,113,-27,27 Under
132,133,133,John Merrick,87,18.52,25,135,-28,28 Under
133,134,134,Stuart Appleby,92,18.48,17,92,-17,17 Under
134,135,135,Scott Brown,100,18.47,29,157,-25,25 Under
135,136,136,Brian Gay,81,18.46,12,65,-15,15 Under
136,T137,T137,Pat Perez,84,18.18,22,121,-22,22 Under
137,T137,T137,David Toms,64,18.18,10,55,-12,12 Under
138,139,139,Seung-Yul Noh,92,17.99,25,139,-27,27 Under
139,140,140,Gary Woodland,93,17.84,33,185,-32,32 Under
140,141,141,William McGirt,96,17.73,25,141,-25,25 Under
141,142,142,Martin Flores,85,17.65,21,119,-18,18 Under
142,143,143,Ken Duke,80,17.59,19,108,-18,18 Under
143,144,144,Matt Jones,83,17.27,24,139,-28,28 Under
144,145,145,Hunter Mahan,88,17.24,25,145,-25,25 Under
145,146,146,Y.E. Yang,79,17.2,16,93,-15,15 Under
146,147,147,Jordan Spieth,102,17.12,25,146,-25,25 Under
147,148,148,Bud Cauley,56,17.07,14,82,-16,16 Under
148,149,149,Wes Roach,67,17.05,15,88,-14,14 Under
149,T150,T150,Jerry Kelly,80,16.67,13,78,-14,14 Under
150,T150,T150,Troy Merritt,62,16.67,10,60,-10,10 Under
151,T152,T152,Scott Langley,95,16.5,17,103,-19,19 Under
152,T152,T152,Andrew Loupe,65,16.5,17,103,-19,19 Under
153,154,154,Spencer Levin,59,16.42,11,67,-10,10 Under
154,155,155,Geoff Ogilvy,84,16.28,21,129,-24,24 Under
155,156,156,David Lingmerth,80,16.04,17,106,-19,19 Under
