,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Rory McIlroy,66,73.65,109,39
1,2,2,Dustin Johnson,58,70.97,88,36
2,3,3,Jamie Lovemark,64,66.92,89,44
3,4,4,Bubba Watson,76,65.85,108,56
4,5,5,Willy Wilcox,51,65.14,71,38
5,6,6,Harris English,95,64.81,140,76
6,7,7,Robert Garrigus,80,64.19,147,82
7,8,8,Gary Woodland,93,64.1,150,84
8,9,9,Adam Scott,68,64.02,105,59
9,10,10,Charl Schwartzel,64,63.75,102,58
10,11,11,Martin Kaymer,65,63.57,89,51
11,12,12,Kyle Stanley,87,63.43,137,79
12,13,13,Derek Ernst,80,63.35,121,70
13,14,14,Jason Kokrak,65,63.08,123,72
14,15,15,Jhonattan Vegas,77,62.77,118,70
15,16,16,Ryan Palmer,85,62.18,120,73
16,17,17,Rickie Fowler,91,61.58,117,73
17,18,18,Matt Jones,83,61.5,115,72
18,19,19,Martin Laird,66,61.36,108,68
19,20,20,John Peterson,62,61.35,100,63
20,21,21,Henrik Stenson,56,60.83,73,47
21,22,22,Michael Putnam,106,59.85,164,110
22,23,23,Marc Leishman,81,59.5,119,81
23,24,24,Jason Day,54,59.38,57,39
24,25,25,Brad Fritsch,50,59.26,64,44
25,26,26,Steven Bowditch,93,59.11,133,92
26,27,27,Sean O'Hair,77,58.88,116,81
27,28,28,Lucas Glover,68,58.82,90,63
28,29,29,Jimmy Walker,98,58.72,128,90
29,30,30,Sangmoon Bae,76,58.62,119,84
30,31,31,Brooks Koepka,56,58.2,71,51
31,32,32,Keegan Bradley,89,58.17,121,87
32,33,33,Lee Westwood,57,57.97,80,58
33,34,34,Phil Mickelson,71,57.76,93,68
34,35,35,Ángel Cabrera,69,57.71,101,74
35,36,36,Hudson Swafford,75,57.32,94,70
36,37,37,Shawn Stefani,60,57.14,96,72
37,38,38,Kevin Stadler,90,56.63,111,85
38,39,39,Andres Romero,81,56.4,119,92
39,40,40,Charley Hoffman,93,55.79,135,107
40,41,41,Hideki Matsuyama,82,55.73,107,85
41,42,42,J.B. Holmes,86,55.6,139,111
42,43,43,Rory Sabbatini,82,54.9,112,92
43,44,44,Aaron Baddeley,74,54.7,99,82
44,45,45,Boo Weekley,73,54.66,88,73
45,46,46,Jason Dufner,57,54.62,71,59
46,47,47,Louis Oosthuizen,50,54.55,48,40
47,48,48,Graham DeLaet,80,54.21,103,87
48,49,49,Bud Cauley,56,54.2,71,60
49,50,50,Jim Herman,62,54.17,78,66
50,51,51,Ernie Els,85,54.04,107,91
51,52,52,Carl Pettersson,91,53.91,131,112
52,53,53,Charles Howell III,106,53.85,154,132
53,54,54,Andrew Loupe,65,53.79,78,67
54,55,55,Tommy Gainey,73,53.76,93,80
55,56,56,Billy Horschel,92,53.64,118,102
56,57,57,Nick Watney,80,53.61,89,77
57,58,58,Charlie Beljan,76,53.5,107,93
58,59,59,Danny Lee,84,53.27,106,93
59,60,60,Morgan Hoffmann,103,53.21,141,124
60,61,61,Jeff Overton,80,53.13,102,90
61,62,62,Wes Roach,67,53.1,77,68
62,63,63,Paul Casey,56,53.08,69,61
63,T64,T64,Ryo Ishikawa,75,53.06,104,92
64,T64,T64,Scott Stallings,77,53.06,104,92
65,66,66,Justin Rose,70,52.98,89,79
66,67,67,James Hahn,82,52.88,110,98
67,68,68,Sergio Garcia,61,52.68,59,53
68,69,69,John Senden,99,52.56,123,111
69,70,70,Troy Matteson,62,52.52,73,66
70,71,71,Josh Teater,90,52.23,117,107
71,72,72,Robert Streb,75,52.15,97,89
72,73,73,Kevin Na,94,52.08,125,115
73,74,74,Chris Kirk,105,51.95,133,123
74,75,75,Kevin Tway,64,51.82,71,66
75,76,76,Ken Duke,80,51.58,98,92
76,77,77,Patrick Reed,92,50.93,110,106
77,78,78,Russell Henley,92,50.89,114,110
78,79,79,Martin Flores,85,50.7,108,105
79,80,80,Brendon de Jonge,109,50.55,138,135
80,81,81,Gonzalo Fernandez-Castaño,83,50.5,101,99
81,82,82,Trevor Immelman,84,50.25,99,98
82,83,83,Brendan Steele,89,50.22,113,112
83,84,84,Hunter Mahan,88,50.0,111,111
84,85,85,Scott Brown,100,49.8,127,128
85,86,86,Matt Every,85,49.73,93,94
86,87,87,Daniel Summerhays,98,49.64,137,139
87,88,88,Seung-Yul Noh,92,49.56,112,114
88,89,89,George McNeill,79,49.51,102,104
89,90,90,Kevin Streelman,79,48.94,92,96
90,91,91,William McGirt,96,48.74,116,122
91,92,92,Erik Compton,88,48.73,115,121
92,93,93,John Merrick,87,48.72,114,120
93,94,94,Will MacKenzie,82,48.7,112,118
94,T95,T95,Brice Garnett,92,48.66,109,115
95,T95,T95,Geoff Ogilvy,84,48.66,109,115
96,97,97,Bill Haas,107,48.64,125,132
97,98,98,Chris Stroud,88,48.34,102,109
98,T99,T99,Kevin Chappell,100,48.18,132,142
99,T99,T99,Vijay Singh,83,48.18,106,114
100,101,101,Webb Simpson,87,48.17,105,113
101,102,102,Nicholas Thompson,85,48.13,103,111
102,103,103,Kevin Kisner,85,48.1,101,109
103,104,104,Ricky Barnes,92,47.98,107,116
104,105,105,D.A. Points,75,47.62,80,88
105,106,106,Jordan Spieth,102,47.56,117,129
106,107,107,Brandt Snedeker,89,47.52,96,106
107,T108,T108,Andrew Svoboda,77,47.4,91,101
108,T108,T108,Michael Thompson,74,47.4,91,101
109,110,110,Jonathan Byrd,76,46.91,91,103
110,111,111,Davis Love III,74,46.88,90,102
111,112,112,Luke Guthrie,85,46.72,107,122
112,113,113,David Lingmerth,80,46.57,95,109
113,114,114,Stewart Cink,91,46.26,105,122
114,115,115,Ben Martin,80,46.19,91,106
115,116,116,Ryan Moore,86,45.92,90,106
116,117,117,Bronson La'Cassie,51,45.87,50,59
117,118,118,"Ted Potter, Jr.",68,45.71,80,95
118,119,119,James Driscoll,71,45.4,79,95
119,120,120,Y.E. Yang,79,45.36,83,100
120,121,121,Cameron Tringale,111,45.21,137,166
121,122,122,Johnson Wagner,69,45.18,75,91
122,123,123,John Rollins,84,45.08,87,106
123,124,124,Woody Austin,63,44.83,78,96
124,125,125,Jim Renner,61,44.52,69,86
125,126,126,Charlie Wi,72,44.44,84,105
126,127,127,Chad Campbell,57,44.35,55,69
127,128,128,Chesson Hadley,84,44.34,94,118
128,129,129,Zach Johnson,97,44.31,109,137
129,130,130,Mark Wilson,69,44.17,72,91
130,131,131,Matt Kuchar,91,44.14,98,124
131,132,132,Roberto Castro,76,44.02,81,103
132,133,133,Camilo Villegas,95,44.0,110,140
133,134,134,Robert Allenby,83,43.84,89,114
134,135,135,Bo Van Pelt,83,43.54,91,118
135,136,136,Richard Lee,80,43.52,84,109
136,137,137,Brian Harman,111,43.45,126,164
137,138,138,J.J. Henry,91,43.42,99,129
138,139,139,Ian Poulter,57,43.18,57,75
139,140,140,Briny Baird,50,43.17,60,79
140,141,141,John Huh,87,42.79,89,119
141,142,142,Retief Goosen,94,42.49,99,134
142,143,143,Tyrone Van Aswegen,79,42.47,79,107
143,144,144,Pat Perez,84,42.39,103,140
144,145,145,Brian Stuard,91,40.27,89,132
145,146,146,Brian Davis,93,39.76,99,150
146,147,147,Jonas Blixt,64,38.85,54,85
147,148,148,Spencer Levin,59,38.19,55,89
148,149,149,Freddie Jacobson,91,38.15,95,154
149,150,150,Luke Donald,57,38.03,54,88
150,151,151,Greg Chalmers,85,38.01,84,137
151,152,152,Graeme McDowell,66,37.88,50,82
152,153,153,Justin Hicks,103,37.77,105,173
153,154,154,Russell Knox,92,36.8,92,158
