,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Rory McIlroy,66,40.77,95,233
1,2,2,Adam Scott,68,37.25,92,247
2,3,3,Jimmy Walker,98,36.72,123,335
3,4,4,Charl Schwartzel,64,35.98,86,239
4,5,5,Charley Hoffman,93,35.28,109,309
5,6,6,Jordan Spieth,102,34.91,118,338
6,7,7,Dustin Johnson,58,34.23,51,149
7,8,8,Ryan Palmer,85,34.06,94,276
8,9,9,Sangmoon Bae,76,33.82,92,272
9,10,10,Martin Kaymer,65,33.8,72,213
10,11,11,Steven Bowditch,93,33.54,108,322
11,12,12,Harris English,95,33.44,105,314
12,13,13,Phil Mickelson,71,33.18,74,223
13,14,14,Lee Westwood,57,33.0,66,200
14,15,15,Morgan Hoffmann,103,32.68,117,358
15,16,16,Jason Kokrak,65,32.58,86,264
16,17,17,Martin Laird,66,32.44,73,225
17,18,18,Andrew Loupe,65,32.26,60,186
18,19,19,Justin Rose,70,32.24,79,245
19,20,20,Louis Oosthuizen,50,32.14,36,112
20,21,21,Jamie Lovemark,64,32.11,61,190
21,22,22,Billy Horschel,92,32.08,94,293
22,23,23,Brendan Steele,89,32.07,93,290
23,T24,T24,Brad Fritsch,50,32.0,48,150
24,T24,T24,Kevin Tway,64,32.0,56,175
25,26,26,Graham DeLaet,80,31.88,88,276
26,T27,T27,Lucas Glover,68,31.58,60,190
27,T27,T27,Bubba Watson,76,31.58,78,247
28,29,29,Kevin Chappell,100,31.34,110,351
29,30,30,Robert Streb,75,31.25,75,240
30,31,31,Patrick Reed,92,31.23,94,301
31,32,32,Tyrone Van Aswegen,79,31.2,73,234
32,33,33,Josh Teater,90,31.18,87,279
33,34,34,Willy Wilcox,51,31.14,52,167
34,35,35,J.B. Holmes,86,30.95,104,336
35,36,36,Jeff Overton,80,30.88,84,272
36,37,37,Nick Watney,80,30.77,68,221
37,38,38,Matt Kuchar,91,30.67,96,313
38,39,39,Brooks Koepka,56,30.51,54,177
39,40,40,Russell Henley,92,30.49,93,305
40,41,41,Chris Kirk,105,30.48,107,351
41,42,42,Jhonattan Vegas,77,30.43,77,253
42,43,43,Kevin Kisner,85,30.42,80,263
43,44,44,Charlie Beljan,76,30.4,69,227
44,45,45,Robert Garrigus,80,30.39,93,306
45,46,46,Kevin Na,94,30.34,108,356
46,47,47,Kevin Stadler,90,30.26,82,271
47,48,48,Ernie Els,85,30.17,89,295
48,49,49,Michael Thompson,74,30.04,70,233
49,50,50,Hunter Mahan,88,30.0,90,300
50,51,51,Charles Howell III,106,29.69,106,357
51,52,52,Kevin Streelman,79,29.64,75,253
52,53,53,Matt Jones,83,29.59,79,267
53,54,54,Ryo Ishikawa,75,29.55,73,247
54,55,55,Chris Stroud,88,29.5,95,322
55,56,56,Brendon de Jonge,109,29.44,111,377
56,T57,T57,Bill Haas,107,29.39,102,347
57,T57,T57,Kyle Stanley,87,29.39,87,296
58,59,59,Rickie Fowler,91,29.35,81,276
59,60,60,James Hahn,82,29.3,80,273
60,61,61,Martin Flores,85,29.25,74,253
61,62,62,Hideki Matsuyama,82,29.21,78,267
62,63,63,Michael Putnam,106,29.19,115,394
63,64,64,Wes Roach,67,29.15,58,199
64,65,65,Jason Dufner,57,29.01,47,162
65,66,66,Seung-Yul Noh,92,28.99,89,307
66,67,67,Zach Johnson,97,28.97,104,359
67,68,68,Briny Baird,50,28.92,48,166
68,69,69,Brice Garnett,92,28.86,86,298
69,70,70,Henrik Stenson,56,28.64,61,213
70,71,71,Jonas Blixt,64,28.49,53,186
71,72,72,Ricky Barnes,92,28.48,86,302
72,73,73,Derek Ernst,80,28.46,74,260
73,74,74,Bo Van Pelt,83,28.45,66,232
74,75,75,Stewart Cink,91,28.42,79,278
75,76,76,Chesson Hadley,84,28.37,80,282
76,77,77,John Senden,99,28.27,95,336
77,78,78,Shawn Stefani,60,28.26,65,230
78,79,79,Hudson Swafford,75,28.25,63,223
79,80,80,Ángel Cabrera,69,28.2,75,266
80,81,81,Andres Romero,81,28.06,87,310
81,82,82,Jonathan Byrd,76,27.89,70,251
82,83,83,Vijay Singh,83,27.81,84,302
83,84,84,Matt Every,85,27.68,75,271
84,85,85,Bud Cauley,56,27.66,52,188
85,T86,T86,Paul Casey,56,27.54,46,167
86,T86,T86,Davis Love III,74,27.54,65,236
87,88,88,John Peterson,62,27.48,61,222
88,89,89,Keegan Bradley,89,27.3,80,293
89,T90,T90,James Driscoll,71,27.27,60,220
90,T90,T90,Scott Stallings,77,27.27,66,242
91,92,92,Luke Guthrie,85,27.15,79,291
92,93,93,Gary Woodland,93,27.12,96,354
93,T94,T94,Will MacKenzie,82,26.98,85,315
94,T94,T94,Brandt Snedeker,89,26.98,75,278
95,96,96,Erik Compton,88,26.97,89,330
96,97,97,John Merrick,87,26.95,83,308
97,98,98,Aaron Baddeley,74,26.89,64,238
98,99,99,Robert Allenby,83,26.79,71,265
99,100,100,Brian Harman,111,26.77,102,381
100,101,101,Gonzalo Fernandez-Castaño,83,26.74,77,288
101,102,102,Webb Simpson,87,26.73,85,318
102,103,103,Sergio Garcia,61,26.6,50,188
103,104,104,Brian Davis,93,26.51,92,347
104,105,105,Ben Martin,80,26.45,64,242
105,106,106,Ian Poulter,57,26.44,46,174
106,107,107,Daniel Summerhays,98,26.3,106,403
107,108,108,Camilo Villegas,95,26.28,87,331
108,109,109,Scott Brown,100,26.2,93,355
109,110,110,Rory Sabbatini,82,26.12,70,268
110,111,111,Carl Pettersson,91,26.03,82,315
111,112,112,Boo Weekley,73,25.98,53,204
112,113,113,Pat Perez,84,25.94,76,293
113,114,114,Tommy Gainey,73,25.88,59,228
114,115,115,Cameron Tringale,111,25.82,110,426
115,116,116,Sean O'Hair,77,25.75,69,268
116,117,117,Jim Renner,61,25.71,54,210
117,118,118,Brian Stuard,91,25.49,78,306
118,119,119,Trevor Immelman,84,25.48,66,259
119,120,120,Ryan Moore,86,25.45,70,275
120,121,121,Danny Lee,84,25.17,76,302
121,122,122,Troy Matteson,62,25.0,47,188
122,123,123,Retief Goosen,94,24.92,75,301
123,124,124,Nicholas Thompson,85,24.91,67,269
124,125,125,Y.E. Yang,79,24.9,61,245
125,T126,T126,Jason Bohn,81,24.83,75,302
126,T126,T126,Jason Day,54,24.83,36,145
127,128,128,Scott Langley,95,24.76,76,307
128,129,129,Jerry Kelly,80,24.62,64,260
129,130,130,Andrew Svoboda,77,24.55,68,277
130,131,131,Heath Slocum,71,24.5,61,249
131,132,132,Charlie Wi,72,24.38,59,242
132,133,133,Greg Chalmers,85,24.29,68,280
133,134,134,Freddie Jacobson,91,24.22,78,322
134,135,135,Ken Duke,80,24.15,64,265
135,136,136,Jim Furyk,84,24.06,64,266
136,137,137,Marc Leishman,81,24.05,70,291
137,138,138,David Hearn,97,24.03,74,308
138,139,139,George McNeill,79,24.01,73,304
139,140,140,William McGirt,96,23.63,82,347
140,141,141,Woody Austin,63,23.5,51,217
141,142,142,Stuart Appleby,92,23.49,74,315
142,143,143,David Lingmerth,80,23.29,58,249
143,144,144,D.A. Points,75,23.25,53,228
144,145,145,Bronson La'Cassie,51,23.23,36,155
145,146,146,Johnson Wagner,69,23.15,50,216
146,147,147,Justin Hicks,103,22.81,78,342
147,148,148,Jim Herman,62,22.78,41,180
148,149,149,Roberto Castro,76,22.73,55,242
149,T150,T150,J.J. Henry,91,22.34,61,273
150,T150,T150,Troy Merritt,62,22.34,44,197
151,152,152,Mark Wilson,69,22.33,48,215
152,153,153,Bryce Molder,77,22.04,54,245
153,154,154,Russell Knox,92,21.94,70,319
154,155,155,Graeme McDowell,66,21.72,43,198
155,156,156,John Rollins,84,21.52,51,237
156,157,157,Luke Donald,57,21.39,43,201
157,158,158,Tim Wilkinson,86,21.24,55,259
158,159,159,David Toms,64,21.13,41,194
159,160,160,Geoff Ogilvy,84,21.09,62,294
160,161,161,John Huh,87,20.83,60,288
161,162,162,Ben Curtis,77,20.72,52,251
162,163,163,Spencer Levin,59,20.62,40,194
163,164,164,Chad Campbell,57,20.61,34,165
164,165,165,Chad Collins,78,20.42,49,240
