,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Dustin Johnson,58,"27' 10""",512,14238.5,-68.00
1,T2,T2,Graham DeLaet,80,"28' 3""",861,24306.667,-87.00
2,T2,T2,Hideki Matsuyama,82,"28' 3""",823,23237.833,-98.00
3,4,4,Nick Watney,80,"28' 8""",766,21952.333,-64.00
4,5,5,Chad Campbell,57,"28' 10""",622,17925.0,-57.00
5,T6,T6,Rory McIlroy,66,"28' 11""",601,17376.5,-105.00
6,T6,T6,Bo Van Pelt,83,"28' 11""",922,26673.0,-82.00
7,8,8,Russell Knox,92,"29' 0""",1163,33693.583,-107.00
8,9,9,Kevin Chappell,100,"29' 1""",1189,34606.167,-121.00
9,T10,T10,Tim Clark,75,"29' 4""",916,26850.833,-41.00
10,T10,T10,Zach Johnson,97,"29' 4""",1173,34434.25,-141.00
11,12,12,Troy Merritt,62,"29' 5""",719,21160.333,-61.00
12,13,13,Tyrone Van Aswegen,79,"29' 6""",820,24166.333,-59.00
13,T14,T14,Paul Casey,56,"29' 7""",583,17251.75,-72.00
14,T14,T14,Jim Furyk,84,"29' 7""",974,28829.583,-114.00
15,T16,T16,Robert Garrigus,80,"29' 10""",923,27571.0,-96.00
16,T16,T16,Brooks Koepka,56,"29' 10""",521,15540.083,-52.00
17,T16,T16,Bryce Molder,77,"29' 10""",841,25121.25,-42.00
18,19,19,Charlie Beljan,76,"29' 11""",854,25578.0,-46.00
19,T20,T20,Brian Harman,111,"30' 0""",1321,39627.583,-123.00
20,T20,T20,Camilo Villegas,95,"30' 0""",1095,32852.333,-101.00
21,22,22,Jordan Spieth,102,"30' 2""",973,29331.333,-114.00
22,T23,T23,Sergio Garcia,61,"30' 3""",514,15563.833,-64.00
23,T23,T23,Lucas Glover,68,"30' 3""",652,19733.833,-2.00
24,T23,T23,Ryo Ishikawa,75,"30' 3""",734,22190.667,-77.00
25,T23,T23,Jim Renner,61,"30' 3""",653,19729.333,-13.00
26,T23,T23,Justin Rose,70,"30' 3""",654,19795.583,-80.00
27,T28,T28,Stewart Cink,91,"30' 4""",935,28343.333,-62.00
28,T28,T28,Charley Hoffman,93,"30' 4""",961,29116.75,-82.00
29,T28,T28,Heath Slocum,71,"30' 4""",911,27662.833,-53.00
30,T31,T31,Brad Fritsch,50,"30' 5""",508,15462.333,-39.00
31,T31,T31,Ryan Moore,86,"30' 5""",879,26745.75,-104.00
32,T31,T31,Kevin Stadler,90,"30' 5""",859,26140.5,-89.00
33,T34,T34,Ricky Barnes,92,"30' 6""",964,29425.417,-77.00
34,T34,T34,Matt Every,85,"30' 6""",812,24746.333,-75.00
35,T34,T34,Marc Leishman,81,"30' 6""",869,26526.083,-79.00
36,T34,T34,John Peterson,62,"30' 6""",734,22378.833,-21.00
37,T38,T38,Keegan Bradley,89,"30' 7""",883,27010.083,-106.00
38,T38,T38,Chesson Hadley,84,"30' 7""",915,27961.25,-29.00
39,T38,T38,Jeff Maggert,54,"30' 7""",600,18350.0,+1.00
40,T38,T38,Adam Scott,68,"30' 7""",737,22529.667,-111.00
41,T38,T38,Bubba Watson,76,"30' 7""",714,21817.25,-80.00
42,T43,T43,Robert Allenby,83,"30' 8""",928,28424.333,-51.00
43,T43,T43,Harris English,95,"30' 8""",949,29078.333,-101.00
44,T43,T43,Graeme McDowell,66,"30' 8""",649,19886.333,-73.00
45,T43,T43,Willy Wilcox,51,"30' 8""",518,15896.0,-49.00
46,T47,T47,Ben Martin,80,"30' 9""",866,26612.167,-72.00
47,T47,T47,Webb Simpson,87,"30' 9""",965,29691.333,-128.00
48,T47,T47,Scott Stallings,77,"30' 9""",803,24709.5,-22.00
49,T47,T47,Brendan Steele,89,"30' 9""",905,27795.417,-73.00
50,T51,T51,Jerry Kelly,80,"30' 10""",891,27451.833,-74.00
51,T51,T51,Patrick Reed,92,"30' 10""",893,27556.667,-86.00
52,T51,T51,Andrew Svoboda,77,"30' 10""",905,27924.083,-71.00
53,T54,T54,Jason Bohn,81,"30' 11""",991,30668.0,-42.00
54,T54,T54,Jason Day,54,"30' 11""",412,12729.917,-62.00
55,T54,T54,Scott Langley,95,"30' 11""",1041,32189.083,-87.00
56,T54,T54,Robert Streb,75,"30' 11""",831,25696.0,-54.00
57,T54,T54,David Toms,64,"30' 11""",785,24285.5,-60.00
58,T54,T54,Jimmy Walker,98,"30' 11""",838,25893.667,-101.00
59,T60,T60,Jason Dufner,57,"31' 0""",560,17376.417,-54.00
60,T60,T60,Jason Kokrak,65,"31' 0""",743,23026.167,-69.00
61,T60,T60,George McNeill,79,"31' 0""",941,29204.333,-89.00
62,63,63,Justin Hicks,103,"31' 1""",1328,41243.417,-44.00
63,T64,T64,Ben Crane,81,"31' 2""",1075,33541.5,-44.00
64,T64,T64,Ernie Els,85,"31' 2""",744,23215.333,-71.00
65,T64,T64,Jim Herman,62,"31' 2""",630,19647.0,-10.00
66,T64,T64,Matt Kuchar,91,"31' 2""",1041,32456.5,-136.00
67,T64,T64,Seung-Yul Noh,92,"31' 2""",945,29466.083,-63.00
68,T69,T69,K.J. Choi,80,"31' 3""",929,29010.917,-50.00
69,T69,T69,Chris Kirk,105,"31' 3""",1137,35518.0,-102.00
70,T69,T69,Kyle Stanley,87,"31' 3""",944,29476.5,+6.00
71,T69,T69,Brian Stuard,91,"31' 3""",1024,32005.25,-73.00
72,T73,T73,Rickie Fowler,91,"31' 4""",799,25047.083,-90.00
73,T73,T73,"Ted Potter, Jr.",68,"31' 4""",836,26202.0,-33.00
74,T75,T75,Bud Cauley,56,"31' 5""",578,18136.667,-55.00
