,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Charley Hoffman,93,60.56,324,535
1,2,2,Sergio Garcia,61,59.28,182,307
2,3,3,Charles Howell III,106,59.17,413,698
3,4,4,Jhonattan Vegas,77,58.72,239,407
4,5,5,Bubba Watson,76,57.92,234,404
5,6,6,Stewart Cink,91,56.5,291,515
6,7,7,Jason Kokrak,65,56.36,226,401
7,8,8,Daniel Summerhays,98,56.3,259,460
8,9,9,Kyle Stanley,87,56.12,252,449
9,10,10,Seung-Yul Noh,92,55.54,321,578
10,11,11,Rory McIlroy,66,55.43,199,359
11,12,12,Rory Sabbatini,82,55.28,267,483
12,13,13,Jamie Lovemark,64,55.18,213,386
13,14,14,Andrew Svoboda,77,54.95,200,364
14,15,15,Hunter Mahan,88,54.94,228,415
15,16,16,Ángel Cabrera,69,54.86,220,401
16,17,17,Justin Rose,70,54.74,208,380
17,18,18,Jimmy Walker,98,54.69,356,651
18,19,19,Graham DeLaet,80,54.55,228,418
19,20,20,Dustin Johnson,58,54.52,187,343
20,21,21,Geoff Ogilvy,84,54.43,252,463
21,22,22,Hudson Swafford,75,54.24,192,354
22,23,23,Justin Hicks,103,54.1,198,366
23,24,24,Boo Weekley,73,54.07,166,307
24,25,25,Charlie Beljan,76,54.01,222,411
25,26,26,Gary Woodland,93,53.93,281,521
26,27,27,Henrik Stenson,56,53.81,127,236
27,28,28,Adam Scott,68,53.8,198,368
28,29,29,Ryan Palmer,85,53.66,264,492
29,30,30,Martin Flores,85,53.61,275,513
30,31,31,Harris English,95,53.59,276,515
31,32,32,Jonathan Byrd,76,53.51,206,385
32,33,33,Robert Streb,75,53.12,213,401
33,34,34,John Merrick,87,53.02,193,364
34,35,35,Phil Mickelson,71,53.0,221,417
35,36,36,Freddie Jacobson,91,52.82,272,515
36,37,37,J.J. Henry,91,52.78,228,432
37,38,38,Ben Martin,80,52.76,210,398
38,39,39,Sangmoon Bae,76,52.68,216,410
39,40,40,Michael Putnam,106,52.62,291,553
40,41,41,Bill Haas,107,52.57,286,544
41,42,42,Kevin Stadler,90,52.48,233,444
42,43,43,Kevin Na,94,52.46,245,467
43,44,44,Paul Casey,56,52.43,162,309
44,45,45,Bud Cauley,56,52.41,174,332
45,46,46,David Toms,64,52.36,111,212
46,47,47,Willy Wilcox,51,52.27,138,264
47,48,48,Carl Pettersson,91,52.2,273,523
48,49,49,Kevin Chappell,100,52.13,245,470
49,50,50,Vijay Singh,83,51.97,237,456
50,51,51,Lucas Glover,68,51.96,172,331
51,52,52,Jeff Maggert,54,51.91,122,235
52,53,53,Andrew Loupe,65,51.88,221,426
53,54,54,Erik Compton,88,51.87,264,509
54,55,55,John Peterson,62,51.83,156,301
55,56,56,Sean O'Hair,77,51.81,257,496
56,57,57,Louis Oosthuizen,50,51.79,130,251
57,58,58,Jim Herman,62,51.63,158,306
58,T59,T59,Pat Perez,84,51.61,241,467
59,T59,T59,Brendon Todd,108,51.61,273,529
60,61,61,Marc Leishman,81,51.6,242,469
61,62,62,Robert Garrigus,80,51.57,246,477
62,63,63,Kevin Tway,64,51.45,177,344
63,64,64,Nick Watney,80,51.32,194,378
64,65,65,Scott Stallings,77,51.29,239,466
65,66,66,Danny Lee,84,51.28,200,390
