,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Rory McIlroy,66,28.79,173,601
1,2,2,Adam Scott,68,27.14,200,737
2,3,3,Paul Casey,56,25.9,151,583
3,4,4,Dustin Johnson,58,25.78,132,512
4,5,5,Robert Garrigus,80,25.24,233,923
5,6,6,Webb Simpson,87,25.08,242,965
6,7,7,Jimmy Walker,98,25.06,210,838
7,8,8,Hideki Matsuyama,82,24.79,204,823
8,9,9,Charl Schwartzel,64,24.67,168,681
9,10,10,Matt Kuchar,91,24.59,256,1041
10,11,11,Ryo Ishikawa,75,24.52,180,734
11,12,12,Jordan Spieth,102,24.15,235,973
12,13,13,Jason Dufner,57,24.11,135,560
13,14,14,Jason Day,54,24.03,99,412
14,15,15,Bubba Watson,76,23.95,171,714
15,16,16,Rickie Fowler,91,23.9,191,799
16,17,17,Kevin Streelman,79,23.82,196,823
17,18,18,Brooks Koepka,56,23.8,124,521
18,19,19,Ryan Moore,86,23.78,209,879
19,20,20,Kevin Chappell,100,23.72,282,1189
20,21,21,Ryan Palmer,85,23.54,197,837
21,22,22,Kevin Stadler,90,23.4,201,859
22,23,23,Chris Kirk,105,23.39,266,1137
23,24,24,Morgan Hoffmann,103,23.37,254,1087
24,T25,T25,Sergio Garcia,61,23.35,120,514
25,T25,T25,Michael Thompson,74,23.35,188,805
26,27,27,George McNeill,79,23.27,219,941
27,28,28,Justin Rose,70,23.24,152,654
28,29,29,Chris Stroud,88,23.21,221,952
29,30,30,Harris English,95,23.18,220,949
30,31,31,Lee Westwood,57,23.15,128,553
31,32,32,Henrik Stenson,56,23.12,123,532
32,33,33,David Hearn,97,22.97,266,1158
33,T34,T34,Matt Every,85,22.91,186,812
34,T34,T34,Russell Henley,92,22.91,228,995
35,T36,T36,Graeme McDowell,66,22.8,148,649
36,T36,T36,Ian Poulter,57,22.8,119,522
37,T38,T38,Billy Horschel,92,22.76,216,949
38,T38,T38,Brendan Steele,89,22.76,206,905
39,40,40,Jason Kokrak,65,22.75,169,743
40,41,41,Camilo Villegas,95,22.74,249,1095
41,42,42,Luke Guthrie,85,22.69,221,974
42,43,43,Luke Donald,57,22.65,135,596
43,44,44,Kevin Na,94,22.6,233,1031
44,45,45,Charley Hoffman,93,22.58,217,961
45,46,46,Jeff Overton,80,22.55,182,807
46,47,47,Graham DeLaet,80,22.53,194,861
47,48,48,Robert Streb,75,22.5,187,831
48,49,49,J.B. Holmes,86,22.48,210,934
49,50,50,Nick Watney,80,22.45,172,766
50,T51,T51,Keegan Bradley,89,22.42,198,883
51,T51,T51,Charles Howell III,106,22.42,250,1115
52,T51,T51,Zach Johnson,97,22.42,263,1173
53,54,54,Gonzalo Fernandez-Castaño,83,22.41,199,888
54,55,55,Kevin Kisner,85,22.38,207,925
55,56,56,Bud Cauley,56,22.32,129,578
56,57,57,Martin Laird,66,22.3,161,722
57,58,58,Tyrone Van Aswegen,79,22.2,182,820
58,59,59,Andrew Loupe,65,22.16,129,582
59,60,60,Sangmoon Bae,76,22.11,189,855
60,61,61,Louis Oosthuizen,50,22.05,86,390
61,62,62,Scott Brown,100,22.02,248,1126
62,63,63,Ricky Barnes,92,21.99,212,964
63,T64,T64,Danny Lee,84,21.98,204,928
64,T64,T64,Andres Romero,81,21.98,193,878
65,T66,T66,Chesson Hadley,84,21.97,201,915
66,T66,T66,Brian Stuard,91,21.97,225,1024
67,68,68,Ben Martin,80,21.94,190,866
68,69,69,Martin Kaymer,65,21.93,134,611
