,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,1,Rory McIlroy,66,-.234
1,2,2,Sergio Garcia,61,-.139
2,3,3,Graham DeLaet,80,-.133
3,4,4,Brooks Koepka,56,-.122
4,5,5,Jordan Spieth,102,-.112
5,6,6,Harris English,95,-.106
6,7,7,Ryan Palmer,85,-.104
7,8,8,Bo Van Pelt,83,-.099
8,9,9,Patrick Reed,92,-.096
9,10,10,Adam Scott,68,-.093
10,11,11,Hudson Swafford,75,-.085
11,12,12,Phil Mickelson,71,-.082
12,T13,T13,Dustin Johnson,58,-.078
13,T13,T13,Louis Oosthuizen,50,-.078
14,15,15,Keegan Bradley,89,-.076
15,16,16,Jimmy Walker,98,-.059
16,T17,T17,Morgan Hoffmann,103,-.057
17,T17,T17,Billy Horschel,92,-.057
18,T17,T17,Zach Johnson,97,-.057
19,20,20,Charl Schwartzel,64,-.056
20,21,21,Seung-Yul Noh,92,-.054
21,22,22,Nick Watney,80,-.050
22,23,23,Jason Dufner,57,-.046
23,T24,T24,Ben Martin,80,-.043
24,T24,T24,Kevin Streelman,79,-.043
25,T24,T24,Josh Teater,90,-.043
26,27,27,Brian Harman,111,-.042
27,28,28,Charlie Beljan,76,-.040
28,29,29,Ryo Ishikawa,75,-.038
29,T30,T30,Jason Kokrak,65,-.036
30,T30,T30,John Senden,99,-.036
31,32,32,Stewart Cink,91,-.033
32,33,33,Scott Brown,100,-.032
33,34,34,Justin Rose,70,-.031
34,35,35,Matt Jones,83,-.029
35,36,36,Kevin Stadler,90,-.028
36,37,37,Chad Campbell,57,-.027
37,38,38,Jamie Lovemark,64,-.026
38,39,39,Bud Cauley,56,-.025
39,40,40,Bubba Watson,76,-.020
40,T41,T41,Chris Kirk,105,-.019
41,T41,T41,Michael Putnam,106,-.019
42,43,43,Jeff Overton,80,-.018
43,T44,T44,Brad Fritsch,50,-.014
44,T44,T44,Bill Haas,107,-.014
45,T44,T44,Gary Woodland,93,-.014
46,47,47,Andrew Loupe,65,-.013
47,T48,T48,Martin Flores,85,-.010
48,T48,T48,Troy Merritt,62,-.010
49,T50,T50,Derek Ernst,80,-.009
50,T50,T50,Charley Hoffman,93,-.009
51,T50,T50,Y.E. Yang,79,-.009
52,53,53,Will MacKenzie,82,-.007
53,T54,T54,Briny Baird,50,E
54,T54,T54,Matt Every,85,E
55,T54,T54,Lucas Glover,68,E
56,T54,T54,Robert Streb,75,E
57,58,58,William McGirt,96,+.007
58,59,59,Retief Goosen,94,+.008
59,60,60,Davis Love III,74,+.010
60,61,61,Henrik Stenson,56,+.011
61,62,62,Martin Laird,66,+.012
62,63,63,Brian Stuard,91,+.014
63,64,64,Jim Furyk,84,+.015
64,65,65,Tyrone Van Aswegen,79,+.019
65,T66,T66,Rickie Fowler,91,+.020
66,T66,T66,D.A. Points,75,+.020
67,T68,T68,Jason Bohn,81,+.022
68,T68,T68,Matt Kuchar,91,+.022
69,T68,T68,Heath Slocum,71,+.022
70,71,71,John Merrick,87,+.023
71,72,72,Brandt Snedeker,89,+.024
72,T73,T73,Robert Allenby,83,+.025
73,T73,T73,Erik Compton,88,+.025
74,T75,T75,Martin Kaymer,65,+.027
