,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Jamie Lovemark,64,"33' 6""",86,2879.417,+11.00
1,2,2,Sergio Garcia,61,"35' 11""",65,2332.583,E
2,3,3,Brooks Koepka,56,"37' 1""",81,3003.0,-1.00
3,4,4,Troy Merritt,62,"37' 5""",74,2769.667,+8.00
4,5,5,Vijay Singh,83,"37' 8""",133,5011.75,+23.00
5,6,6,Tim Clark,75,"37' 9""",74,2795.917,+8.00
6,7,7,Geoff Ogilvy,84,"38' 0""",143,5429.75,+14.00
7,T8,T8,Charles Howell III,106,"38' 5""",217,8328.667,-10.00
8,T8,T8,Ryan Palmer,85,"38' 5""",138,5305.4169999999995,+3.00
9,10,10,Kyle Stanley,87,"38' 8""",111,4290.833,+21.00
10,11,11,Nicholas Thompson,85,"38' 11""",106,4129.0,+24.00
11,12,12,Bryce Molder,77,"39' 3""",82,3220.667,+11.00
12,13,13,Rickie Fowler,91,"39' 7""",99,3918.5,+14.00
13,14,14,Marc Leishman,81,"39' 10""",110,4385.25,+7.00
14,T15,T15,Ángel Cabrera,69,"40' 1""",129,5172.25,+14.00
15,T15,T15,John Peterson,62,"40' 1""",84,3370.0,+13.00
16,17,17,Lucas Glover,68,"40' 2""",72,2894.333,+17.00
17,T18,T18,Dustin Johnson,58,"40' 6""",85,3443.333,+3.00
18,T18,T18,Hideki Matsuyama,82,"40' 6""",110,4450.667,+5.00
19,T18,T18,John Senden,99,"40' 6""",126,5101.917,+15.00
20,T21,T21,Stewart Cink,91,"40' 7""",141,5725.0,+20.00
21,T21,T21,Freddie Jacobson,91,"40' 7""",139,5638.0830000000005,+10.00
22,T23,T23,Harris English,95,"40' 8""",138,5610.5830000000005,+18.00
23,T23,T23,Kevin Stadler,90,"40' 8""",115,4676.75,+29.00
