,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Justin Leonard,75,1530,10410400.0,1.89
1,2,2,Tim Clark,75,1549,11936110.0,2.14
2,3,3,David Toms,64,1579,10746310.0,1.89
3,4,4,Richard Lee,80,1585,10613630.0,1.86
4,5,5,Billy Hurley III,86,1587,13426640.0,2.35
5,6,6,Jeff Maggert,54,1603,7272080.0,1.26
6,7,7,Graeme McDowell,66,1611,9800270.0,1.69
7,T8,T8,Troy Merritt,62,1618,11006720.0,1.89
8,T8,T8,Brendon Todd,108,1618,18462920.0,3.17
9,10,10,Stuart Appleby,92,1620,17730590.0,3.04
10,T11,T11,K.J. Choi,80,1625,13223330.0,2.26
11,T11,T11,Brian Gay,81,1625,11292390.0,1.93
12,13,13,Geoff Ogilvy,84,1627,14232690.0,2.43
13,14,14,John Rollins,84,1628,11431740.0,1.95
14,15,15,Chad Campbell,57,1632,8459680.0,1.44
15,16,16,Bryce Molder,77,1635,11712370.0,1.99
16,T17,T17,Spencer Levin,59,1637,9193590.0,1.56
17,T17,T17,Tim Wilkinson,86,1637,13198750.0,2.24
18,19,19,Greg Chalmers,85,1639,14927640.0,2.53
19,20,20,Woody Austin,63,1640,10861280.0,1.84
20,21,21,Justin Hicks,103,1647,18023130.0,3.04
21,22,22,"Ted Potter, Jr.",68,1649,10504930.0,1.77
22,23,23,Chad Collins,78,1654,11073230.0,1.86
23,T24,T24,Jason Day,54,1655,7389580.0,1.24
24,T24,T24,David Hearn,97,1655,17341890.0,2.91
25,T24,T24,Jerry Kelly,80,1655,14057510.0,2.36
26,T27,T27,Jason Bohn,81,1660,14457620.0,2.42
27,T27,T27,J.J. Henry,91,1660,13624380.0,2.28
28,29,29,Russell Knox,92,1662,16754380.0,2.8
29,30,30,Tommy Gainey,73,1667,12545460.0,2.09
30,T31,T31,Ben Curtis,77,1670,12441290.0,2.07
31,T31,T31,Luke Donald,57,1670,9316160.0,1.55
32,T31,T31,Troy Matteson,62,1670,9618710.0,1.6
33,34,34,Brian Harman,111,1673,21862960.0,3.63
34,35,35,Jim Furyk,84,1675,13750290.0,2.28
35,T36,T36,Martin Flores,85,1676,13819780.0,2.29
36,T36,T36,Freddie Jacobson,91,1676,16896000.0,2.8
37,38,38,Jason Dufner,57,1677,9779580.0,1.62
38,39,39,Scott Langley,95,1679,16800810.0,2.78
39,40,40,David Lingmerth,80,1680,14090220.0,2.33
40,41,41,Bo Van Pelt,83,1682,14051690.0,2.32
41,T42,T42,D.H. Lee,54,1683,7757000.0,1.28
42,T42,T42,Camilo Villegas,95,1683,18847170.0,3.11
43,T44,T44,Rory Sabbatini,82,1684,13278480.0,2.19
44,T44,T44,Webb Simpson,87,1684,17698310.0,2.92
45,46,46,Jim Renner,61,1686,10320060.0,1.7
46,47,47,Ken Duke,80,1688,13857040.0,2.28
47,T48,T48,Boo Weekley,73,1689,10395780.0,1.71
48,T48,T48,Charlie Wi,72,1689,12706100.0,2.09
49,T50,T50,Ben Crane,81,1690,15267950.0,2.51
50,T50,T50,Heath Slocum,71,1690,12534390.0,2.06
51,52,52,Charles Howell III,106,1694,21166340.0,3.47
52,T53,T53,Charlie Beljan,76,1695,14583590.0,2.39
53,T53,T53,Kevin Kisner,85,1695,15619920.0,2.56
54,T55,T55,Brian Davis,93,1696,17463290.0,2.86
55,T55,T55,Jim Herman,62,1696,9156150.0,1.5
56,57,57,Brian Stuard,91,1697,16492080.0,2.7
57,T58,T58,Bud Cauley,56,1698,9779100.0,1.6
58,T58,T58,Ryo Ishikawa,75,1698,14852850.0,2.43
59,60,60,Mike Weir,69,1699,9235890.0,1.51
60,61,61,Matt Kuchar,91,1700,18605560.0,3.04
61,T62,T62,Luke Guthrie,85,1701,17268270.0,2.82
62,T62,T62,Andrew Svoboda,77,1701,13964390.0,2.28
63,T64,T64,Retief Goosen,94,1703,16244520.0,2.65
64,T64,T64,D.A. Points,75,1703,10299720.0,1.68
65,T64,T64,Ian Poulter,57,1703,8887180.0,1.45
66,67,67,George McNeill,79,1705,16389280.0,2.67
67,68,68,William McGirt,96,1706,17750700.0,2.89
68,69,69,Carl Pettersson,91,1707,18131360.0,2.95
69,T70,T70,Roberto Castro,76,1710,11262670.0,1.83
70,T70,T70,Mark Wilson,69,1710,9908550.0,1.61
71,72,72,Vijay Singh,83,1711,15521490.0,2.52
72,73,73,Scott Brown,100,1712,18553770.0,3.01
73,74,74,Hudson Swafford,75,1714,12093910.0,1.96
74,T75,T75,Zach Johnson,97,1715,19325120.0,3.13
75,T75,T75,Davis Love III,74,1715,12535200.0,2.03
76,T75,T75,Robert Streb,75,1715,14821220.0,2.4
77,T75,T75,Y.E. Yang,79,1715,11913540.0,1.93
78,79,79,Andrew Loupe,65,1717,11494550.0,1.86
79,T80,T80,Stewart Cink,91,1718,15401170.0,2.49
80,T80,T80,Pat Perez,84,1718,15648060.0,2.53
81,T82,T82,Paul Casey,56,1719,10893450.0,1.76
82,T82,T82,Ben Martin,80,1719,13859270.0,2.24
83,T84,T84,Robert Allenby,83,1720,14427090.0,2.33
84,T84,T84,Nicholas Thompson,85,1720,13253180.0,2.14
85,86,86,Patrick Reed,92,1722,16365830.0,2.64
86,87,87,Matt Every,85,1723,15076870.0,2.43
87,T88,T88,Louis Oosthuizen,50,1724,6517950.0,1.05
88,T88,T88,Kevin Streelman,79,1724,14706490.0,2.37
89,T90,T90,Danny Lee,84,1725,15154600.0,2.44
90,T90,T90,Nick Watney,80,1725,12794620.0,2.06
91,92,92,Hideki Matsuyama,82,1727,16165870.0,2.6
92,93,93,John Huh,87,1728,13622520.0,2.19
93,94,94,Dustin Johnson,58,1730,10835310.0,1.74
94,T95,T95,Trevor Immelman,84,1731,12836650.0,2.06
95,T95,T95,Cameron Tringale,111,1731,20999270.0,3.37
96,97,97,Tyrone Van Aswegen,79,1732,13963410.0,2.24
97,98,98,Bronson La'Cassie,51,1736,6625350.0,1.06
98,T99,T99,Briny Baird,50,1737,8754370.0,1.4
99,T99,T99,Marc Leishman,81,1737,15448370.0,2.47
100,101,101,Chris Kirk,105,1738,20775230.0,3.32
101,T102,T102,Brooks Koepka,56,1741,10280040.0,1.64
102,T102,T102,Will MacKenzie,82,1741,16667850.0,2.66
103,T102,T102,Seung-Yul Noh,92,1741,16855160.0,2.69
104,T105,T105,Brad Fritsch,50,1742,8215670.0,1.31
105,T105,T105,Sean O'Hair,77,1742,13357980.0,2.13
106,107,107,Jonathan Byrd,76,1744,13184490.0,2.1
107,T108,T108,Michael Thompson,74,1745,14071440.0,2.24
108,T108,T108,Johnson Wagner,69,1745,10553850.0,1.68
109,110,110,Keegan Bradley,89,1746,15714670.0,2.5
110,111,111,Brandt Snedeker,89,1747,15029340.0,2.39
111,T112,T112,Scott Stallings,77,1748,12714550.0,2.02
112,T112,T112,Bubba Watson,76,1748,14600420.0,2.32
113,T114,T114,Russell Henley,92,1749,17571580.0,2.79
114,T114,T114,Ryan Moore,86,1749,15107510.0,2.4
115,T114,T114,Wes Roach,67,1749,11205760.0,1.78
116,T114,T114,Andres Romero,81,1749,16683950.0,2.65
117,118,118,Aaron Baddeley,74,1752,13184370.0,2.09
118,119,119,Morgan Hoffmann,103,1753,21019710.0,3.33
119,T120,T120,Jonas Blixt,64,1755,9411650.0,1.49
120,T120,T120,Kevin Chappell,100,1755,21104750.0,3.34
121,122,122,Brendan Steele,89,1757,16632200.0,2.63
122,123,123,John Merrick,87,1758,14872660.0,2.35
123,124,124,Chesson Hadley,84,1761,16421960.0,2.59
124,125,125,Martin Laird,66,1763,12506160.0,1.97
125,126,126,Brice Garnett,92,1764,16827810.0,2.65
126,T127,T127,Sangmoon Bae,76,1766,15893730.0,2.5
127,T127,T127,Ricky Barnes,92,1766,17482110.0,2.75
128,T129,T129,Hunter Mahan,88,1768,16228700.0,2.55
129,T129,T129,John Senden,99,1768,18267510.0,2.87
130,T131,T131,Bill Haas,107,1769,18919300.0,2.97
131,T131,T131,Shawn Stefani,60,1769,12419020.0,1.95
132,133,133,Josh Teater,90,1771,15235920.0,2.39
133,T134,T134,James Hahn,82,1772,14925880.0,2.34
134,T134,T134,Kevin Stadler,90,1772,15246500.0,2.39
135,T136,T136,Erik Compton,88,1775,15850580.0,2.48
136,T136,T136,Sergio Garcia,61,1775,9906570.0,1.55
137,T136,T136,Jeff Overton,80,1775,15147930.0,2.37
138,T139,T139,Ángel Cabrera,69,1776,14639080.0,2.29
139,T139,T139,Rickie Fowler,91,1776,15470280.0,2.42
140,T139,T139,Robert Garrigus,80,1776,18345760.0,2.87
141,142,142,Jordan Spieth,102,1780,19671430.0,3.07
142,143,143,Billy Horschel,92,1781,16155480.0,2.52
143,144,144,Gonzalo Fernandez-Castaño,83,1783,15472090.0,2.41
144,145,145,James Driscoll,71,1785,11823250.0,1.84
145,146,146,Adam Scott,68,1791,16120010.0,2.5
146,147,147,Jimmy Walker,98,1792,20064440.0,3.11
147,T148,T148,Jamie Lovemark,64,1793,10521880.0,1.63
148,T148,T148,Jhonattan Vegas,77,1793,13746270.0,2.13
149,150,150,Daniel Summerhays,98,1795,20487110.0,3.17
150,151,151,Graham DeLaet,80,1797,15785960.0,2.44
151,152,152,Phil Mickelson,71,1799,12372090.0,1.91
152,T153,T153,Brendon de Jonge,109,1800,20027210.0,3.09
153,T153,T153,Derek Ernst,80,1800,12634920.0,1.95
154,T153,T153,Chris Stroud,88,1800,17561950.0,2.71
155,156,156,Gary Woodland,93,1804,17466240.0,2.69
156,157,157,Ryan Palmer,85,1808,18029380.0,2.77
157,158,158,Charley Hoffman,93,1809,19541030.0,3.0
158,159,159,Jason Kokrak,65,1811,15516420.0,2.38
159,160,160,Kevin Na,94,1812,18979370.0,2.91
160,161,161,J.B. Holmes,86,1816,18962700.0,2.9
161,162,162,Rory McIlroy,66,1819,15384800.0,2.35
162,163,163,Harris English,95,1823,18507660.0,2.82
163,164,164,John Peterson,62,1824,11296100.0,1.72
164,T165,T165,Michael Putnam,106,1827,20320140.0,3.09
165,T165,T165,Kyle Stanley,87,1827,15131500.0,2.3
166,167,167,Matt Jones,83,1830,14100850.0,2.14
167,T168,T168,Steven Bowditch,93,1836,18047400.0,2.73
168,T168,T168,Henrik Stenson,56,1836,10376890.0,1.57
169,T170,T170,Lucas Glover,68,1840,10004400.0,1.51
170,T170,T170,Justin Rose,70,1840,13244410.0,2.0
171,172,172,Charl Schwartzel,64,1842,14722220.0,2.22
172,173,173,Kevin Tway,64,1851,9528050.0,1.43
173,174,174,Willy Wilcox,51,1863,9053100.0,1.35
174,175,175,Ernie Els,85,1865,14500390.0,2.16
175,176,176,Lee Westwood,57,1871,11180280.0,1.66
176,177,177,Martin Kaymer,65,1902,11708510.0,1.71
