,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Tyrone Van Aswegen,79,72.73,64,88,-64,+1.00
1,2,2,Jonas Blixt,64,68.66,46,67,-48,+7.00
2,3,3,Brian Davis,93,68.07,81,119,-88,-28.00
3,4,4,Justin Rose,70,66.67,72,108,-78,-1.00
4,5,5,Jim Furyk,84,66.22,49,74,-52,-42.00
5,6,6,Chesson Hadley,84,65.83,79,120,-80,-4.00
6,7,7,Matt Kuchar,91,65.55,78,119,-83,-23.00
7,8,8,Jerry Kelly,80,65.38,51,78,-53,-22.00
8,9,9,Stuart Appleby,92,65.22,60,92,-61,-29.00
9,10,10,Patrick Reed,92,65.12,84,129,-93,-2.00
10,11,11,Jimmy Walker,98,64.33,110,171,-114,-2.00
11,12,12,Brice Garnett,92,64.0,80,125,-84,-7.00
12,13,13,Adam Scott,68,63.91,85,133,-92,-12.00
13,14,14,Jordan Spieth,102,63.7,93,146,-95,-13.00
14,15,15,K.J. Choi,80,63.29,50,79,-55,-20.00
15,16,16,Martin Laird,66,63.11,77,122,-86,-1.00
16,17,17,Zach Johnson,97,63.08,82,130,-86,-33.00
17,18,18,James Hahn,82,62.81,76,121,-82,+3.00
18,19,19,Kevin Na,94,62.76,91,145,-99,-16.00
19,20,20,Retief Goosen,94,62.73,69,110,-70,-8.00
20,21,21,Ian Poulter,57,62.32,43,69,-44,-14.00
21,22,22,Charl Schwartzel,64,62.3,76,122,-82,-12.00
22,23,23,Woody Austin,63,62.2,51,82,-51,-21.00
23,24,24,Morgan Hoffmann,103,62.07,108,174,-115,+5.00
24,25,25,Willy Wilcox,51,61.9,52,84,-56,-4.00
25,26,26,Aaron Baddeley,74,61.61,69,112,-71,-1.00
26,27,27,Rory McIlroy,66,61.59,85,138,-91,+2.00
27,28,28,Steven Bowditch,93,61.45,102,166,-115,+2.00
28,29,29,Ricky Barnes,92,61.42,78,127,-83,+1.00
29,30,30,Jason Dufner,57,61.33,46,75,-49,-10.00
30,31,31,Brad Fritsch,50,61.19,41,67,-42,-6.00
31,32,32,Chris Kirk,105,60.65,94,155,-102,-14.00
32,33,33,Michael Thompson,74,60.61,60,99,-62,-16.00
33,34,34,Bryce Molder,77,60.56,43,71,-45,-29.00
34,35,35,Robert Streb,75,60.53,69,114,-75,-4.00
35,36,36,Josh Teater,90,60.45,81,134,-83,-4.00
36,37,37,Luke Donald,57,60.34,35,58,-37,-17.00
37,38,38,Ben Curtis,77,60.27,44,73,-46,-9.00
38,39,39,Matt Every,85,60.19,65,108,-69,-9.00
39,40,40,Brendan Steele,89,60.14,83,138,-90,-10.00
40,41,41,Bill Haas,107,60.13,92,153,-98,-16.00
41,42,42,Chris Stroud,88,59.84,76,127,-78,-2.00
42,43,43,Lee Westwood,57,59.79,58,97,-63,+2.00
43,T44,T44,Paul Casey,56,59.72,43,72,-47,-5.00
44,T44,T44,Jason Kokrak,65,59.72,86,144,-92,+7.00
45,46,46,James Driscoll,71,59.57,56,94,-59,-7.00
46,47,47,Bubba Watson,76,59.42,82,138,-89,E
47,T48,T48,Roberto Castro,76,59.3,51,86,-56,-12.00
48,T48,T48,Kevin Tway,64,59.3,51,86,-52,-7.00
49,50,50,Heath Slocum,71,59.15,42,71,-44,-18.00
50,51,51,Hideki Matsuyama,82,59.06,75,127,-82,-22.00
51,52,52,Robert Allenby,83,59.0,59,100,-61,+2.00
52,53,53,John Senden,99,58.9,86,146,-94,-14.00
53,54,54,Briny Baird,50,58.82,40,68,-41,-10.00
54,55,55,Will MacKenzie,82,58.78,77,131,-86,+5.00
55,56,56,Charley Hoffman,93,58.68,98,167,-101,+6.00
56,57,57,Cameron Tringale,111,58.49,93,159,-99,-34.00
57,58,58,Ryo Ishikawa,75,58.47,69,118,-73,-8.00
58,59,59,Ryan Palmer,85,58.44,90,154,-99,+2.00
59,T60,T60,Jason Bohn,81,58.43,52,89,-53,-22.00
