,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Dustin Johnson,17,241.4,921054.0,106
1,2,2,Paul Casey,16,244.5,633656.0,72
2,3,3,Brad Fritsch,18,245.1,591247.0,67
3,4,4,Charlie Beljan,26,246.9,1102014.0,124
4,5,5,Hudson Swafford,26,247.1,916373.0,103
5,6,6,Stewart Cink,25,247.3,1050353.0,118
6,7,7,Lucas Glover,26,247.5,882044.0,99
7,8,8,Jason Dufner,17,248.0,669522.0,75
8,9,9,Robert Allenby,29,248.3,893948.0,100
9,10,10,Tommy Gainey,26,248.4,938826.0,105
10,T11,T11,Ryo Ishikawa,24,248.5,1055762.0,118
11,T11,T11,Davis Love III,22,248.5,921316.0,103
12,13,13,Briny Baird,17,248.8,609180.0,68
13,14,14,Ben Martin,26,248.9,940938.0,105
14,15,15,Jason Kokrak,19,249.1,1291107.0,144
15,16,16,Chad Campbell,18,249.2,565213.0,63
16,17,17,Tyrone Van Aswegen,25,249.3,789685.0,88
17,18,18,Bo Van Pelt,25,249.6,925674.0,103
18,19,19,Jim Herman,21,249.8,809248.0,90
19,20,20,Trevor Immelman,28,249.9,971669.0,108
20,T21,T21,Aaron Baddeley,24,250.1,1008411.0,112
21,T21,T21,Nick Watney,25,250.1,909482.0,101
22,T23,T23,Martin Laird,20,250.2,1098971.0,122
23,T23,T23,Michael Thompson,22,250.2,891733.0,99
24,25,25,Jhonattan Vegas,23,250.3,1270641.0,141
25,T26,T26,Woody Austin,22,250.4,739269.0,82
26,T26,T26,Ian Poulter,17,250.4,622098.0,69
27,28,28,Martin Flores,26,250.6,1073426.0,119
28,29,29,Graeme McDowell,17,250.8,478513.0,53
29,T30,T30,Robert Garrigus,25,250.9,1598989.0,177
30,T30,T30,J.J. Henry,28,250.9,1002527.0,111
31,T30,T30,Brendan Steele,26,250.9,1246431.0,138
32,33,33,Brooks Koepka,16,251.2,795650.0,88
33,34,34,Robert Streb,21,251.3,1031147.0,114
34,35,35,Sean O'Hair,25,251.4,1221904.0,135
35,T36,T36,Derek Ernst,28,251.5,1213221.0,134
36,T36,T36,Will MacKenzie,27,251.5,1186166.0,131
37,T36,T36,Josh Teater,28,251.5,1213406.0,134
38,39,39,Jason Day,15,251.7,607108.0,67
39,40,40,Patrick Reed,28,252.3,1171843.0,129
40,41,41,Justin Hicks,30,252.5,1145328.0,126
41,T42,T42,Jonas Blixt,21,252.9,609937.0,67
42,T42,T42,Nicholas Thompson,30,252.9,1010499.0,111
43,T44,T44,Billy Horschel,27,253.1,1275843.0,140
44,T44,T44,Kevin Kisner,26,253.1,1002380.0,110
45,46,46,James Hahn,27,253.2,1102995.0,121
46,T47,T47,D.A. Points,27,253.3,802459.0,88
47,T47,T47,Scott Stallings,28,253.3,1085264.0,119
48,T49,T49,Retief Goosen,26,253.8,1004992.0,110
49,T49,T49,John Rollins,28,253.8,886285.0,97
50,T49,T49,Johnson Wagner,24,253.8,794936.0,87
51,T49,T49,Boo Weekley,24,253.8,895307.0,98
52,T53,T53,Keegan Bradley,26,254.0,1316895.0,144
53,T53,T53,David Lingmerth,26,254.0,969230.0,106
54,T53,T53,Carl Pettersson,28,254.0,1454020.0,159
55,56,56,John Merrick,25,254.2,1235385.0,135
56,57,57,Luke Guthrie,26,254.4,1154018.0,126
57,T58,T58,Gonzalo Fernandez-Castaño,25,254.5,1071989.0,117
58,T58,T58,Willy Wilcox,16,254.5,769624.0,84
59,T60,T60,Brian Gay,26,254.6,595835.0,65
60,T60,T60,Marc Leishman,24,254.6,1301683.0,142
61,T62,T62,Roberto Castro,27,254.7,788649.0,86
62,T62,T62,George McNeill,24,254.7,1063786.0,116
63,64,64,Y.E. Yang,28,254.8,853131.0,93
64,T65,T65,Harris English,28,254.9,1550577.0,169
65,T65,T65,Billy Hurley III,26,254.9,734127.0,80
66,T65,T65,Hideki Matsuyama,24,254.9,1165381.0,127
67,68,68,Charles Howell III,29,255.0,1771564.0,193
68,69,69,Camilo Villegas,29,255.1,1267298.0,138
69,T70,T70,Brian Harman,32,255.2,1405642.0,153
70,T70,T70,"Ted Potter, Jr.",24,255.2,790185.0,86
71,T72,T72,Michael Putnam,30,255.3,1736795.0,189
72,T72,T72,Rory Sabbatini,26,255.3,1148639.0,125
73,T74,T74,Ben Curtis,24,255.4,671246.0,73
74,T74,T74,James Driscoll,25,255.4,864195.0,94
75,T74,T74,Brandt Snedeker,25,255.4,1011509.0,110
76,T74,T74,Charlie Wi,25,255.4,873578.0,95
77,T78,T78,Matt Jones,25,255.5,1278328.0,139
78,T78,T78,Kyle Stanley,28,255.5,1462724.0,159
79,T80,T80,Ken Duke,25,255.6,993953.0,108
80,T80,T80,Jim Furyk,21,255.6,680805.0,74
81,T82,T82,Brice Garnett,28,255.7,1150567.0,125
82,T82,T82,Heath Slocum,23,255.7,653600.0,71
83,T84,T84,Stuart Appleby,29,255.9,847650.0,92
84,T84,T84,Bryce Molder,25,255.9,654010.0,71
85,T84,T84,Seung-Yul Noh,27,255.9,1280455.0,139
86,87,87,Spencer Levin,20,256.0,617369.0,67
87,88,88,Russell Henley,29,256.1,1272159.0,138
88,T89,T89,Sangmoon Bae,24,256.2,1244969.0,135
89,T89,T89,Ricky Barnes,27,256.2,1171398.0,127
90,T89,T89,K.J. Choi,23,256.2,728600.0,79
91,T92,T92,Chesson Hadley,29,256.3,1107073.0,120
92,T92,T92,Pat Perez,25,256.3,1116487.0,121
93,T92,T92,Bubba Watson,21,256.3,1273156.0,138
94,T95,T95,Scott Brown,30,256.4,1448939.0,157
95,T95,T95,Troy Matteson,23,256.4,784567.0,85
96,97,97,Zach Johnson,26,256.5,1200338.0,130
97,T98,T98,Freddie Jacobson,27,256.6,1053132.0,114
98,T98,T98,Louis Oosthuizen,16,256.6,498783.0,54
99,T98,T98,Adam Scott,17,256.6,1228522.0,133
100,T98,T98,Brian Stuard,29,256.6,1016073.0,110
101,102,102,Wes Roach,22,256.9,813884.0,88
102,T103,T103,Chris Kirk,28,257.2,1435126.0,155
103,T103,T103,Jim Renner,25,257.2,694423.0,75
104,T105,T105,Morgan Hoffmann,32,257.3,1611435.0,174
105,T105,T105,Russell Knox,26,257.3,1046791.0,113
106,T105,T105,Jeff Overton,24,257.3,1129860.0,122
107,T105,T105,Vijay Singh,25,257.3,1195033.0,129
108,109,109,Ryan Moore,24,257.4,1084288.0,117
109,T110,T110,Jonathan Byrd,24,257.5,1001353.0,108
110,T110,T110,Bud Cauley,19,257.5,760062.0,82
111,T112,T112,Matt Every,26,257.7,1001991.0,108
112,T112,T112,Andrew Svoboda,24,257.7,992470.0,107
113,T114,T114,Jamie Lovemark,20,257.8,1048828.0,113
114,T114,T114,Brendon Todd,29,257.8,918938.0,99
115,116,116,J.B. Holmes,24,257.9,1652425.0,178
116,117,117,Kevin Tway,23,258.0,798700.0,86
117,118,118,Troy Merritt,20,258.1,557547.0,60
118,T119,T119,Tim Clark,26,258.2,464795.0,50
119,T119,T119,Luke Donald,17,258.2,539166.0,58
120,T119,T119,Rory McIlroy,17,258.2,1282773.0,138
121,T119,T119,John Senden,27,258.2,1357209.0,146
122,T119,T119,Tim Wilkinson,25,258.2,780778.0,84
123,T124,T124,Justin Leonard,22,258.3,362696.0,39
124,T124,T124,Mark Wilson,25,258.3,753128.0,81
125,T126,T126,Webb Simpson,25,258.5,1228325.0,132
126,T126,T126,Gary Woodland,25,258.5,1721633.0,185
127,128,128,David Toms,20,258.7,512297.0,55
128,129,129,Scott Langley,29,258.8,959694.0,103
129,130,130,Jerry Kelly,23,259.2,727922.0,78
130,T131,T131,Richard Lee,27,259.4,924472.0,99
131,T131,T131,Geoff Ogilvy,26,259.4,1204442.0,129
132,T131,T131,Justin Rose,19,259.4,1008482.0,108
133,134,134,Kevin Streelman,24,259.5,1130576.0,121
134,135,135,Bill Haas,28,259.6,1429954.0,153
135,136,136,Graham DeLaet,24,259.7,1243664.0,133
136,137,137,Erik Compton,28,259.8,1290578.0,138
137,T138,T138,Brendon de Jonge,31,259.9,1543757.0,165
138,T138,T138,Rickie Fowler,26,259.9,1347455.0,144
139,140,140,Shawn Stefani,17,260.0,1011007.0,108
140,141,141,John Huh,28,260.1,1020602.0,109
141,142,142,Charl Schwartzel,18,260.3,1143221.0,122
142,143,143,William McGirt,29,260.4,1321678.0,141
143,T144,T144,Jason Bohn,25,260.5,834539.0,89
144,T144,T144,Jordan Spieth,27,260.5,1369196.0,146
145,146,146,Ryan Palmer,23,260.7,1445394.0,154
146,147,147,Matt Kuchar,24,260.9,1117505.0,119
147,148,148,Kevin Stadler,26,261.0,1362264.0,145
148,149,149,Kevin Na,27,261.1,1363090.0,145
149,T150,T150,Charley Hoffman,25,261.3,1570774.0,167
150,T150,T150,Bronson La'Cassie,18,261.3,555012.0,59
151,152,152,Brian Davis,28,261.4,1119888.0,119
152,153,153,Cameron Tringale,31,261.6,1497135.0,159
153,154,154,Jimmy Walker,27,261.8,1611587.0,171
154,T155,T155,Kevin Chappell,28,261.9,1508533.0,160
155,T155,T155,David Hearn,28,261.9,924067.0,98
156,157,157,Chad Collins,28,262.0,641274.0,68
157,158,158,Greg Chalmers,27,262.2,924943.0,98
158,T159,T159,Danny Lee,28,262.4,1199528.0,127
159,T159,T159,Andres Romero,26,262.4,1360291.0,144
160,161,161,Jeff Maggert,19,262.5,538583.0,57
161,162,162,Daniel Summerhays,27,262.8,1551487.0,164
162,T163,T163,Ben Crane,25,262.9,917877.0,97
163,T163,T163,D.H. Lee,20,262.9,511060.0,54
164,165,165,Steven Bowditch,30,263.0,1571460.0,166
165,166,166,Martin Kaymer,19,263.2,1042442.0,110
166,167,167,Lee Westwood,18,263.3,919308.0,97
167,T168,T168,Phil Mickelson,21,263.5,1071834.0,113
168,T168,T168,John Peterson,25,263.5,1119187.0,118
169,170,170,Mike Weir,25,263.7,560095.0,59
170,T171,T171,Ángel Cabrera,23,264.6,1247835.0,131
171,T171,T171,Ernie Els,24,264.6,1295694.0,136
172,173,173,Andrew Loupe,22,264.7,981492.0,103
173,T174,T174,Hunter Mahan,25,265.1,1383839.0,145
174,T174,T174,Chris Stroud,25,265.1,1212132.0,127
175,176,176,Henrik Stenson,15,268.3,917477.0,95
176,177,177,Sergio Garcia,16,269.9,757920.0,78
