,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,T1,T1,Paul Casey,56,19.0,49202.0,72
1,T1,T1,Hideki Matsuyama,82,19.0,86813.0,127
2,3,3,Martin Laird,66,20.0,87769.0,122
3,T4,T4,Charlie Beljan,76,20.1,89721.0,124
4,T4,T4,Ryan Moore,86,20.1,84543.0,117
5,6,6,Brad Fritsch,50,20.3,48956.0,67
6,7,7,Lucas Glover,68,20.4,72818.0,99
7,T8,T8,Jason Day,54,20.6,49721.0,67
8,T8,T8,Johnson Wagner,69,20.6,64611.0,87
9,10,10,Tyrone Van Aswegen,79,20.8,65823.0,88
10,T11,T11,Jason Dufner,57,20.9,56557.0,75
11,T11,T11,Brendan Steele,89,20.9,103853.0,138
12,13,13,Dustin Johnson,58,21.0,80285.0,106
13,14,14,Kevin Tway,64,21.3,66015.0,86
14,T15,T15,Jonas Blixt,64,21.4,51707.0,67
15,T15,T15,Rory McIlroy,66,21.4,106524.0,138
16,T15,T15,Sean O'Hair,77,21.4,103913.0,135
17,18,18,Willy Wilcox,51,21.5,65107.0,84
18,19,19,Russell Knox,92,21.8,88795.0,113
19,20,20,Keegan Bradley,89,21.9,113713.0,144
20,T21,T21,Justin Hicks,103,22.0,99682.0,126
21,T21,T21,Nicholas Thompson,85,22.0,87967.0,111
22,T23,T23,Jim Herman,62,22.1,71727.0,90
23,T23,T23,Martin Kaymer,65,22.1,87699.0,110
24,T25,T25,Robert Allenby,83,22.3,80152.0,100
25,T25,T25,Stewart Cink,91,22.3,94808.0,118
26,T27,T27,Kevin Chappell,100,22.4,128745.0,160
27,T27,T27,Bill Haas,107,22.4,123591.0,153
28,T27,T27,Zach Johnson,97,22.4,104625.0,130
29,T27,T27,Bubba Watson,76,22.4,111458.0,138
30,T31,T31,James Hahn,82,22.5,97814.0,121
31,T31,T31,Ben Martin,80,22.5,85062.0,105
32,T33,T33,James Driscoll,71,22.6,76478.0,94
33,T33,T33,Gonzalo Fernandez-Castaño,83,22.6,95255.0,117
34,T33,T33,Wes Roach,67,22.6,71553.0,88
35,T33,T33,Bo Van Pelt,83,22.6,83913.0,103
36,T33,T33,Nick Watney,80,22.6,82279.0,101
37,T38,T38,Steven Bowditch,93,22.7,135733.0,166
38,T38,T38,Marc Leishman,81,22.7,116013.0,142
39,T38,T38,Kyle Stanley,87,22.7,129660.0,159
40,41,41,Ian Poulter,57,22.8,56721.0,69
41,T42,T42,Martin Flores,85,22.9,97906.0,119
42,T42,T42,Davis Love III,74,22.9,84837.0,103
43,T44,T44,Carl Pettersson,91,23.0,131846.0,159
44,T44,T44,Josh Teater,90,23.0,111070.0,134
45,T46,T46,Henrik Stenson,56,23.1,79097.0,95
46,T46,T46,Hudson Swafford,75,23.1,85635.0,103
47,T48,T48,Graham DeLaet,80,23.2,111106.0,133
48,T48,T48,Tommy Gainey,73,23.2,87644.0,105
49,T48,T48,Charley Hoffman,93,23.2,139356.0,167
50,T48,T48,Adam Scott,68,23.2,110865.0,133
51,T48,T48,Michael Thompson,74,23.2,82729.0,99
52,T53,T53,Ángel Cabrera,69,23.3,109742.0,131
53,T53,T53,Chad Campbell,57,23.3,52741.0,63
54,T53,T53,Jim Furyk,84,23.3,62002.0,74
55,T53,T53,Robert Garrigus,80,23.3,148526.0,177
56,T53,T53,Charl Schwartzel,64,23.3,102477.0,122
57,T53,T53,Kevin Streelman,79,23.3,101495.0,121
58,T59,T59,Harris English,95,23.4,142404.0,169
59,T59,T59,Charles Howell III,106,23.4,162895.0,193
60,T59,T59,Brooks Koepka,56,23.4,74058.0,88
61,T59,T59,Andrew Svoboda,77,23.4,90087.0,107
62,T59,T59,Camilo Villegas,95,23.4,116314.0,138
63,T64,T64,Aaron Baddeley,74,23.5,94878.0,112
64,T64,T64,Ben Curtis,77,23.5,61692.0,73
65,T64,T64,Ryo Ishikawa,75,23.5,99686.0,118
66,T64,T64,Troy Matteson,62,23.5,72045.0,85
67,T64,T64,Kevin Na,94,23.5,122652.0,145
68,T64,T64,D.A. Points,75,23.5,74472.0,88
69,T64,T64,Jim Renner,61,23.5,63394.0,75
70,T64,T64,Kevin Stadler,90,23.5,122860.0,145
71,T64,T64,Robert Streb,75,23.5,96424.0,114
72,T73,T73,Kevin Kisner,85,23.6,93451.0,110
73,T73,T73,Michael Putnam,106,23.6,160382.0,189
74,T75,T75,Brian Harman,111,23.7,130632.0,153
75,T75,T75,J.B. Holmes,86,23.7,151585.0,178
76,T75,T75,Billy Hurley III,86,23.7,68178.0,80
77,T75,T75,Trevor Immelman,84,23.7,92138.0,108
78,T75,T75,Heath Slocum,71,23.7,60670.0,71
79,T80,T80,J.J. Henry,91,23.8,95106.0,111
80,T80,T80,Matt Jones,83,23.8,119033.0,139
81,T80,T80,John Peterson,62,23.8,101155.0,118
82,T80,T80,John Rollins,84,23.8,83088.0,97
83,84,84,Chesson Hadley,84,23.9,103178.0,120
84,85,85,"Ted Potter, Jr.",68,24.0,74213.0,86
85,T86,T86,Jordan Spieth,102,24.1,126481.0,146
86,T86,T86,Daniel Summerhays,98,24.1,142309.0,164
87,T88,T88,Ricky Barnes,92,24.2,110449.0,127
88,T88,T88,Billy Horschel,92,24.2,121829.0,140
89,T88,T88,Mike Weir,69,24.2,51457.0,59
90,91,91,K.J. Choi,80,24.3,69214.0,79
91,92,92,Morgan Hoffmann,103,24.4,152815.0,174
92,T93,T93,John Senden,99,24.5,128571.0,146
93,T93,T93,Scott Stallings,77,24.5,104901.0,119
94,T95,T95,Bud Cauley,56,24.6,72636.0,82
95,T95,T95,Chris Kirk,105,24.6,136998.0,155
96,T95,T95,Spencer Levin,59,24.6,59434.0,67
97,T95,T95,Pat Perez,84,24.6,107196.0,121
98,T95,T95,Webb Simpson,87,24.6,116699.0,132
