,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
0,1,1,Jim Furyk,84,"52' 4""",1202.917,23,+1
1,2,2,Vijay Singh,83,"56' 1""",2411.583,43,-6
2,3,3,Brooks Koepka,56,"56' 8""",1359.8329999999999,24,-5
3,4,4,Paul Casey,56,"57' 1""",1369.9170000000001,24,+2
4,5,5,Hudson Swafford,75,"59' 3""",1539.4170000000001,26,-6
5,6,6,Matt Kuchar,91,"59' 5""",2258.833,38,E
6,7,7,Retief Goosen,94,"59' 7""",3633.167,61,+3
7,8,8,John Senden,99,"59' 8""",2267.25,38,-4
8,9,9,Brendan Steele,89,"59' 9""",1971.1670000000001,33,+3
9,10,10,Graeme McDowell,66,"59' 10""",1256.917,21,+4
10,T11,T11,Kevin Na,94,"60' 5""",3563.333,59,-8
11,T11,T11,"Ted Potter, Jr.",68,"60' 5""",2417.667,40,+1
12,13,13,Adam Scott,68,"60' 8""",1637.5829999999999,27,-8
13,14,14,Davis Love III,74,"61' 2""",1956.0829999999999,32,-4
14,15,15,Scott Stallings,77,"61' 5""",2579.833,42,E
15,16,16,Bryce Molder,77,"61' 8""",2344.833,38,+11
16,17,17,Freddie Jacobson,91,"61' 10""",3031.0,49,-7
17,18,18,Charlie Beljan,76,"62' 0""",2233.0,36,-4
18,19,19,Heath Slocum,71,"62' 1""",1985.4170000000001,32,+3
19,20,20,Mike Weir,69,"62' 8""",3885.583,62,+2
20,21,21,Charlie Wi,72,"62' 9""",2699.667,43,-5
21,22,22,Nicholas Thompson,85,"63' 0""",1638.9170000000001,26,-4
22,T23,T23,Kevin Tway,64,"63' 3""",1518.1670000000001,24,-2
23,T23,T23,Y.E. Yang,79,"63' 3""",2657.917,42,+3
24,25,25,William McGirt,96,"63' 4""",3736.0,59,+3
25,26,26,Jamie Lovemark,64,"63' 5""",2028.0829999999999,32,-5
26,27,27,Lucas Glover,68,"63' 6""",1459.6670000000001,23,E
27,28,28,Russell Knox,92,"63' 7""",3051.167,48,+3
28,29,29,Johnson Wagner,69,"64' 3""",2632.833,41,+4
