,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
86,87,87,Rickie Fowler,91,"87' 1""",2003.75,23,-8
87,88,88,Josh Teater,90,"87' 2""",959.0830000000001,11,-4
88,89,89,Gonzalo Fernandez-Castaño,83,"87' 5""",1223.333,14,-2
89,90,90,Camilo Villegas,95,"88' 1""",1057.167,12,-4
90,91,91,Bryce Molder,77,"88' 7""",531.25,6,-4
91,92,92,Boo Weekley,73,"88' 8""",975.5,11,-5
92,93,93,Justin Rose,70,"88' 9""",1241.917,14,-7
93,T94,T94,Russell Knox,92,"88' 11""",978.4169999999999,11,-4
94,T94,T94,George McNeill,79,"88' 11""",1600.9170000000001,18,-6
95,96,96,Willy Wilcox,51,"89' 3""",803.0,9,-3
96,97,97,Ernie Els,85,"89' 4""",1518.8329999999999,17,-10
97,98,98,Jhonattan Vegas,77,"89' 6""",1074.167,12,-3
98,99,99,Scott Stallings,77,"89' 8""",1344.5829999999999,15,-7
99,100,100,Robert Streb,75,"89' 9""",808.0,9,-2
100,101,101,Chesson Hadley,84,"90' 2""",901.6669999999999,10,-3
101,102,102,Graham DeLaet,80,"90' 6""",1176.417,13,-3
102,103,103,Jordan Spieth,102,"90' 8""",1178.417,13,-9
103,104,104,Danny Lee,84,"91' 10""",2019.6670000000001,22,-11
104,105,105,John Rollins,84,"92' 0""",1012.3330000000001,11,-3
105,T106,T106,Jim Herman,62,"92' 1""",552.5,6,-1
106,T106,T106,Chris Kirk,105,"92' 1""",1750.0,19,-4
107,108,108,Mark Wilson,69,"92' 3""",830.5830000000001,9,-3
108,109,109,Justin Hicks,103,"92' 4""",1015.3330000000001,11,-6
109,T110,T110,Kevin Stadler,90,"92' 6""",1387.25,15,-6
110,T110,T110,Daniel Summerhays,98,"92' 6""",2405.917,26,-11
111,T112,T112,Luke Guthrie,85,"92' 11""",1579.6670000000001,17,-8
112,T112,T112,Jerry Kelly,80,"92' 11""",650.25,7,-2
113,114,114,David Lingmerth,80,"93' 4""",1026.75,11,-5
114,115,115,Carl Pettersson,91,"93' 8""",1311.75,14,-8
115,116,116,D.A. Points,75,"94' 0""",1033.75,11,-2
116,117,117,Billy Hurley III,86,"94' 6""",661.5830000000001,7,E
117,118,118,Chad Collins,78,"94' 8""",1325.75,14,-5
118,119,119,Zach Johnson,97,"94' 9""",1516.25,16,-8
119,T120,T120,Stewart Cink,91,"95' 9""",861.6669999999999,9,-5
120,T120,T120,Matt Kuchar,91,"95' 9""",1819.5,19,-9
121,122,122,Ian Poulter,57,"95' 11""",479.417,5,-3
122,123,123,Greg Chalmers,85,"96' 1""",1345.5829999999999,14,-5
123,124,124,Ken Duke,80,"96' 2""",1442.0829999999999,15,-6
124,125,125,Rory Sabbatini,82,"96' 6""",1351.0,14,-4
125,126,126,Scott Brown,100,"96' 7""",1255.167,13,-3
126,T127,T127,Billy Horschel,92,"96' 9""",1451.0,15,-8
127,T127,T127,Matt Jones,83,"96' 9""",1644.6670000000001,17,-5
128,T127,T127,Mike Weir,69,"96' 9""",1064.25,11,-3
129,130,130,Andres Romero,81,"96' 10""",2227.333,23,-10
130,131,131,Justin Leonard,75,"96' 11""",678.5,7,-3
131,132,132,Johnson Wagner,69,"97' 3""",1264.5,13,-3
132,T133,T133,Briny Baird,50,"97' 4""",486.75,5,-4
133,T133,T133,Jonathan Byrd,76,"97' 4""",1557.3329999999999,16,-7
134,135,135,Tim Wilkinson,86,"97' 5""",877.0,9,-4
135,T136,T136,Jason Dufner,57,"97' 7""",975.5830000000001,10,-3
136,T136,T136,Brian Harman,111,"97' 7""",1659.1670000000001,17,-3
137,138,138,Charlie Wi,72,"98' 9""",888.4169999999999,9,E
138,139,139,Chris Stroud,88,"99' 9""",2393.25,24,-7
139,140,140,Kevin Kisner,85,"100' 0""",1599.75,16,-9
140,141,141,Tim Clark,75,"100' 3""",701.8330000000001,7,E
