,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Rory McIlroy,66,23.24,43,185
1,2,2,Henrik Stenson,56,21.0,21,100
2,3,3,Ángel Cabrera,69,20.8,52,250
3,4,4,Ryan Palmer,85,19.85,53,267
4,5,5,Jimmy Walker,98,19.75,64,324
5,6,6,John Merrick,87,19.07,37,194
6,7,7,Phil Mickelson,71,19.05,36,189
7,8,8,Charl Schwartzel,64,18.81,41,218
8,9,9,Charley Hoffman,93,18.73,53,283
9,10,10,Dustin Johnson,58,18.44,33,179
10,11,11,Adam Scott,68,18.42,35,190
11,12,12,Sangmoon Bae,76,18.11,44,243
12,13,13,Bronson La'Cassie,51,18.06,26,144
13,14,14,Bubba Watson,76,17.97,39,217
14,15,15,Matt Every,85,17.93,45,251
15,16,16,Greg Chalmers,85,17.57,52,296
16,17,17,Geoff Ogilvy,84,17.54,50,285
17,18,18,Jason Kokrak,65,17.51,45,257
18,19,19,Hideki Matsuyama,82,17.5,42,240
19,20,20,Carl Pettersson,91,17.16,58,338
20,21,21,George McNeill,79,16.95,40,236
21,22,22,J.J. Henry,91,16.93,43,254
22,23,23,Tommy Gainey,73,16.88,40,237
23,24,24,Brooks Koepka,56,16.87,28,166
24,25,25,Andrew Loupe,65,16.81,39,232
25,26,26,Boo Weekley,73,16.47,28,170
26,27,27,Matt Jones,83,16.45,38,231
27,28,28,Kevin Na,94,16.37,46,281
28,29,29,Davis Love III,74,16.31,38,233
29,30,30,Jason Bohn,81,16.25,39,240
30,31,31,Gary Woodland,93,16.24,44,271
31,32,32,Aaron Baddeley,74,16.18,39,241
32,33,33,Daniel Summerhays,98,16.06,44,274
33,34,34,Chris Kirk,105,16.01,45,281
34,35,35,Harris English,95,16.0,44,275
35,36,36,Charles Howell III,106,15.91,70,440
36,37,37,Jhonattan Vegas,77,15.9,38,239
37,38,38,Keegan Bradley,89,15.81,37,234
38,39,39,Patrick Reed,92,15.64,51,326
39,40,40,Jamie Lovemark,64,15.57,33,212
40,41,41,Jerry Kelly,80,15.56,35,225
41,42,42,Vijay Singh,83,15.49,44,284
42,43,43,Tim Clark,75,15.48,26,168
43,44,44,Ryo Ishikawa,75,15.36,43,280
44,45,45,Justin Rose,70,15.35,31,202
45,46,46,Andres Romero,81,15.28,46,301
46,47,47,Freddie Jacobson,91,15.25,45,295
47,48,48,Brian Davis,93,15.22,42,276
48,49,49,J.B. Holmes,86,15.06,47,312
49,50,50,John Rollins,84,14.96,38,254
50,51,51,Webb Simpson,87,14.93,40,268
51,T52,T52,Sergio Garcia,61,14.89,21,141
52,T52,T52,Brice Garnett,92,14.89,42,282
53,T52,T52,Wes Roach,67,14.89,28,188
54,55,55,Kevin Kisner,85,14.86,37,249
55,56,56,Lee Westwood,57,14.84,23,155
56,57,57,Charlie Beljan,76,14.83,39,263
57,T58,T58,Ricky Barnes,92,14.81,48,324
58,T58,T58,Rory Sabbatini,82,14.81,40,270
59,60,60,Josh Teater,90,14.76,40,271
60,61,61,Troy Merritt,62,14.71,30,204
61,62,62,Scott Stallings,77,14.67,38,259
62,63,63,Shawn Stefani,60,14.63,30,205
63,64,64,Marc Leishman,81,14.56,38,261
64,65,65,Kevin Tway,64,14.52,27,186
65,66,66,Nick Watney,80,14.44,26,180
66,67,67,Graham DeLaet,80,14.42,31,215
67,T68,T68,Brendon de Jonge,109,14.39,41,285
68,T68,T68,Jeff Maggert,54,14.39,20,139
69,70,70,Charlie Wi,72,14.34,37,258
70,71,71,Jason Dufner,57,14.29,21,147
71,T72,T72,Brian Gay,81,14.22,33,232
72,T72,T72,Brian Stuard,91,14.22,32,225
73,74,74,Seung-Yul Noh,92,14.19,42,296
74,75,75,Ernie Els,85,14.18,39,275
75,76,76,Lucas Glover,68,14.08,20,142
76,T77,T77,Kevin Chappell,100,14.06,35,249
77,T77,T77,Zach Johnson,97,14.06,35,249
78,79,79,Jonas Blixt,64,13.97,25,179
79,80,80,Trevor Immelman,84,13.94,35,251
80,T81,T81,Hunter Mahan,88,13.91,32,230
81,T81,T81,Pat Perez,84,13.91,37,266
82,83,83,Camilo Villegas,95,13.84,40,289
83,T84,T84,David Lingmerth,80,13.78,35,254
84,T84,T84,Jordan Spieth,102,13.78,43,312
85,86,86,Brandt Snedeker,89,13.74,29,211
86,87,87,Brian Harman,111,13.71,51,372
87,88,88,Hudson Swafford,75,13.66,28,205
88,T89,T89,Roberto Castro,76,13.57,27,199
89,T89,T89,Will MacKenzie,82,13.57,35,258
90,91,91,James Hahn,82,13.55,37,273
91,92,92,Jim Furyk,84,13.5,22,163
92,T93,T93,Jonathan Byrd,76,13.48,31,230
93,T93,T93,Luke Guthrie,85,13.48,38,282
94,95,95,Ken Duke,80,13.46,28,208
95,96,96,Robert Streb,75,13.41,33,246
96,T97,T97,Chad Campbell,57,13.38,21,157
97,T97,T97,Willy Wilcox,51,13.38,21,157
98,99,99,Troy Matteson,62,13.37,27,202
99,100,100,Jeff Overton,80,13.31,37,278
100,101,101,"Ted Potter, Jr.",68,13.3,25,188
101,102,102,Graeme McDowell,66,13.28,17,128
102,103,103,Steven Bowditch,93,13.27,43,324
103,104,104,Russell Henley,92,13.26,35,264
104,105,105,Kevin Streelman,79,13.22,23,174
105,T106,T106,Paul Casey,56,13.21,21,159
106,T106,T106,Bill Haas,107,13.21,37,280
107,108,108,Michael Putnam,106,13.1,44,336
108,109,109,Martin Flores,85,13.04,36,276
109,110,110,Rickie Fowler,91,13.0,29,223
110,111,111,Chesson Hadley,84,12.96,35,270
111,112,112,Louis Oosthuizen,50,12.93,15,116
112,113,113,Kyle Stanley,87,12.89,33,256
113,114,114,Scott Brown,100,12.88,34,264
114,115,115,Scott Langley,95,12.87,39,303
115,116,116,Stewart Cink,91,12.82,35,273
116,117,117,Heath Slocum,71,12.8,21,164
117,118,118,Jim Herman,62,12.78,23,180
118,119,119,William McGirt,96,12.75,38,298
119,120,120,Sean O'Hair,77,12.63,36,285
120,121,121,Brendon Todd,108,12.62,39,309
121,122,122,Stuart Appleby,92,12.59,37,294
122,123,123,John Peterson,62,12.57,22,175
123,T124,T124,Danny Lee,84,12.56,28,223
124,T124,T124,Jim Renner,61,12.56,26,207
125,126,126,Retief Goosen,94,12.54,41,327
126,127,127,John Senden,99,12.45,33,265
127,128,128,Y.E. Yang,79,12.39,27,218
128,129,129,Martin Laird,66,12.37,24,194
129,130,130,Martin Kaymer,65,12.28,21,171
130,131,131,Nicholas Thompson,85,12.22,27,221
131,132,132,K.J. Choi,80,12.12,24,198
132,T133,T133,Robert Garrigus,80,12.11,35,289
133,T133,T133,D.A. Points,75,12.11,23,190
134,135,135,David Toms,64,12.06,17,141
135,136,136,Chad Collins,78,12.03,29,241
136,T137,T137,Matt Kuchar,91,11.97,28,234
137,T137,T137,Chris Stroud,88,11.97,28,234
138,139,139,Morgan Hoffmann,103,11.93,47,394
139,140,140,Mike Weir,69,11.91,28,235
140,141,141,Brendan Steele,89,11.9,30,252
141,T142,T142,Bud Cauley,56,11.86,21,177
142,T142,T142,Erik Compton,88,11.86,35,295
143,144,144,Tyrone Van Aswegen,79,11.85,32,270
144,T145,T145,Woody Austin,63,11.79,27,229
145,T145,T145,Bo Van Pelt,83,11.79,25,212
146,147,147,Ian Poulter,57,11.73,19,162
147,148,148,Michael Thompson,74,11.71,24,205
148,149,149,Jason Day,54,11.68,16,137
149,150,150,Tim Wilkinson,86,11.67,35,300
150,151,151,Ben Curtis,77,11.59,24,207
151,152,152,James Driscoll,71,11.5,33,287
152,153,153,Mark Wilson,69,11.49,20,174
153,154,154,Robert Allenby,83,11.42,29,254
154,155,155,Brad Fritsch,50,11.39,18,158
155,156,156,Billy Hurley III,86,11.33,23,203
156,157,157,Russell Knox,92,11.24,28,249
157,158,158,Ben Martin,80,11.17,22,197
158,159,159,Derek Ernst,80,11.11,24,216
159,T160,T160,Justin Hicks,103,11.01,25,227
160,T160,T160,Cameron Tringale,111,11.01,35,318
161,162,162,Richard Lee,80,10.96,25,228
162,163,163,John Huh,87,10.78,25,232
163,164,164,Luke Donald,57,10.71,15,140
164,165,165,D.H. Lee,54,10.67,16,150
165,T166,T166,Billy Horschel,92,10.4,21,202
166,T166,T166,Andrew Svoboda,77,10.4,21,202
167,168,168,Ryan Moore,86,10.13,16,158
168,169,169,Briny Baird,50,10.06,16,159
169,170,170,Kevin Stadler,90,9.68,21,217
170,171,171,Ben Crane,81,9.62,23,239
171,172,172,Johnson Wagner,69,9.55,21,220
172,173,173,Gonzalo Fernandez-Castaño,83,9.47,23,243
173,174,174,Bryce Molder,77,8.62,20,232
174,175,175,Spencer Levin,59,7.82,14,179
175,176,176,David Hearn,97,6.67,15,225
176,177,177,Justin Leonard,75,3.72,8,215
