,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Charles Howell III,106,22
1,2,2,Stuart Appleby,92,20
2,3,3,Cameron Tringale,111,19
3,4,4,Brian Davis,93,18
4,5,5,Andres Romero,81,17
5,T6,T6,Scott Brown,100,16
6,T6,T6,Chad Collins,78,16
7,T6,T6,Chris Kirk,105,16
8,T6,T6,Justin Leonard,75,16
9,T6,T6,Brian Stuard,91,16
10,T11,T11,Jason Bohn,81,15
11,T11,T11,Russell Henley,92,15
12,T11,T11,Will MacKenzie,82,15
13,T11,T11,Kevin Na,94,15
14,T15,T15,James Hahn,82,14
15,T15,T15,Brian Harman,111,14
16,T15,T15,Morgan Hoffmann,103,14
17,T15,T15,Jeff Overton,80,14
18,T15,T15,Patrick Reed,92,14
19,T15,T15,Scott Stallings,77,14
20,T15,T15,Kyle Stanley,87,14
21,T15,T15,Daniel Summerhays,98,14
22,T15,T15,Brendon Todd,108,14
23,T15,T15,Gary Woodland,93,14
24,T25,T25,Harris English,95,13
25,T25,T25,Robert Garrigus,80,13
26,T25,T25,Chesson Hadley,84,13
27,T25,T25,Freddie Jacobson,91,13
28,T25,T25,David Lingmerth,80,13
29,T25,T25,Ryan Palmer,85,13
30,T25,T25,Pat Perez,84,13
31,T25,T25,John Senden,99,13
32,T25,T25,Johnson Wagner,69,13
33,T34,T34,Keegan Bradley,89,12
34,T34,T34,Jonathan Byrd,76,12
35,T34,T34,Bud Cauley,56,12
36,T34,T34,Brendon de Jonge,109,12
37,T34,T34,Trevor Immelman,84,12
38,T34,T34,Kevin Kisner,85,12
39,T34,T34,Scott Langley,95,12
40,T34,T34,Ben Martin,80,12
41,T34,T34,Seung-Yul Noh,92,12
42,T34,T34,Charlie Wi,72,12
43,T44,T44,Ben Crane,81,11
44,T44,T44,Ben Curtis,77,11
45,T44,T44,Ken Duke,80,11
46,T44,T44,Jim Furyk,84,11
47,T44,T44,Brice Garnett,92,11
48,T44,T44,Luke Guthrie,85,11
49,T44,T44,Russell Knox,92,11
50,T44,T44,Martin Laird,66,11
51,T44,T44,Spencer Levin,59,11
52,T44,T44,Andrew Loupe,65,11
53,T44,T44,Hideki Matsuyama,82,11
54,T44,T44,George McNeill,79,11
55,T44,T44,Michael Putnam,106,11
56,T44,T44,Charl Schwartzel,64,11
57,T44,T44,Chris Stroud,88,11
58,T59,T59,Steven Bowditch,93,10
59,T59,T59,Erik Compton,88,10
60,T59,T59,James Driscoll,71,10
61,T59,T59,Ernie Els,85,10
62,T59,T59,Martin Flores,85,10
63,T59,T59,Brian Gay,81,10
64,T59,T59,Bill Haas,107,10
65,T59,T59,David Hearn,97,10
66,T59,T59,Billy Hurley III,86,10
67,T59,T59,Ryo Ishikawa,75,10
68,T59,T59,Matt Jones,83,10
69,T59,T59,Jerry Kelly,80,10
70,T59,T59,Jason Kokrak,65,10
71,T59,T59,Matt Kuchar,91,10
72,T59,T59,Richard Lee,80,10
73,T59,T59,William McGirt,96,10
74,T59,T59,Carl Pettersson,91,10
75,T59,T59,Brendan Steele,89,10
76,T59,T59,Josh Teater,90,10
77,T59,T59,Bo Van Pelt,83,10
78,T59,T59,Willy Wilcox,51,10
79,T80,T80,Roberto Castro,76,9
80,T80,T80,Graham DeLaet,80,9
81,T80,T80,Derek Ernst,80,9
82,T80,T80,Matt Every,85,9
83,T80,T80,Billy Horschel,92,9
84,T80,T80,Zach Johnson,97,9
85,T80,T80,Danny Lee,84,9
86,T80,T80,"Ted Potter, Jr.",68,9
87,T80,T80,Vijay Singh,83,9
88,T80,T80,Kevin Streelman,79,9
89,T80,T80,Andrew Svoboda,77,9
90,T80,T80,Boo Weekley,73,9
91,T80,T80,Mark Wilson,69,9
92,T93,T93,Ricky Barnes,92,8
93,T93,T93,Greg Chalmers,85,8
94,T93,T93,Kevin Chappell,100,8
95,T93,T93,Gonzalo Fernandez-Castaño,83,8
96,T93,T93,Brad Fritsch,50,8
97,T93,T93,Retief Goosen,94,8
98,T93,T93,J.B. Holmes,86,8
99,T93,T93,Marc Leishman,81,8
100,T93,T93,Rory McIlroy,66,8
101,T93,T93,John Merrick,87,8
102,T93,T93,Sean O'Hair,77,8
103,T93,T93,Webb Simpson,87,8
104,T93,T93,Jordan Spieth,102,8
105,T93,T93,Kevin Stadler,90,8
106,T93,T93,Robert Streb,75,8
107,T93,T93,Hudson Swafford,75,8
108,T93,T93,Kevin Tway,64,8
109,T93,T93,Tyrone Van Aswegen,79,8
110,T93,T93,Jimmy Walker,98,8
111,T93,T93,Tim Wilkinson,86,8
112,T93,T93,Y.E. Yang,79,8
113,T114,T114,Robert Allenby,83,7
114,T114,T114,Charlie Beljan,76,7
115,T114,T114,Stewart Cink,91,7
116,T114,T114,Tim Clark,75,7
117,T114,T114,Rickie Fowler,91,7
118,T114,T114,J.J. Henry,91,7
119,T114,T114,Jim Herman,62,7
120,T114,T114,Justin Hicks,103,7
121,T114,T114,Jamie Lovemark,64,7
122,T114,T114,Troy Matteson,62,7
123,T114,T114,Ryan Moore,86,7
124,T114,T114,John Peterson,62,7
125,T114,T114,Jim Renner,61,7
126,T114,T114,Wes Roach,67,7
127,T114,T114,Rory Sabbatini,82,7
128,T114,T114,Adam Scott,68,7
129,T114,T114,Shawn Stefani,60,7
