,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Tim Clark,75,"31' 10""",35520.75,1115,110
1,2,2,Jim Furyk,84,"32' 0""",37942.5,1186,12
2,3,3,Paul Casey,56,"32' 2""",25254.583,786,65
3,4,4,Nick Watney,80,"32' 3""",32322.583,1001,32
4,5,5,Hideki Matsuyama,82,"32' 7""",37265.75,1145,116
5,6,6,Bo Van Pelt,83,"32' 8""",39251.75,1201,16
6,7,7,Russell Knox,92,"32' 9""",48808.5,1490,22
7,8,8,Dustin Johnson,58,"32' 10""",24055.583,733,21
8,9,9,Chad Campbell,57,"33' 0""",27186.417,823,1
9,10,10,Graham DeLaet,80,"33' 1""",37916.333,1147,3
10,11,11,Kevin Chappell,100,"33' 3""",51740.333,1556,28
11,T12,T12,Zach Johnson,97,"33' 4""",49853.833,1494,31
12,T12,T12,Tyrone Van Aswegen,79,"33' 4""",38897.417,1166,113
13,T14,T14,Brian Harman,111,"33' 5""",60390.0,1809,111
14,T14,T14,David Toms,64,"33' 5""",32462.667,971,13
15,T16,T16,Troy Merritt,62,"33' 8""",33246.25,988,87
16,T16,T16,Heath Slocum,71,"33' 8""",37467.833,1113,33
17,T18,T18,Stewart Cink,91,"33' 10""",43508.833,1286,57
18,T18,T18,Lucas Glover,68,"33' 10""",28533.083,843,37
19,T20,T20,Ken Duke,80,"33' 11""",40201.25,1186,34
20,T20,T20,Graeme McDowell,66,"33' 11""",27932.417,823,65
21,T22,T22,Sergio Garcia,61,"34' 0""",24354.167,717,14
22,T22,T22,Brooks Koepka,56,"34' 0""",25617.667,753,90
23,T22,T22,Ryan Moore,86,"34' 0""",37871.5,1113,23
24,T25,T25,Jason Bohn,81,"34' 2""",44567.167,1303,97
25,T25,T25,"Ted Potter, Jr.",68,"34' 2""",36723.833,1074,85
26,T27,T27,Charlie Beljan,76,"34' 3""",41046.083,1199,82
27,T27,T27,Jeff Maggert,54,"34' 3""",26956.75,787,67
28,T27,T27,Bryce Molder,77,"34' 3""",39289.833,1147,121
29,T27,T27,Kyle Stanley,87,"34' 3""",44337.417,1294,44
30,T31,T31,Rory McIlroy,66,"34' 4""",29391.667,856,6
31,T31,T31,John Peterson,62,"34' 4""",33836.25,985,71
32,T33,T33,Justin Hicks,103,"34' 5""",55615.5,1617,2
33,T33,T33,Billy Hurley III,86,"34' 5""",44441.667,1291,63
34,35,35,Kevin Stadler,90,"34' 6""",40188.833,1164,9
35,T36,T36,Robert Allenby,83,"34' 7""",43577.333,1259,27
36,T36,T36,Charley Hoffman,93,"34' 7""",46927.333,1358,35
37,T36,T36,Marc Leishman,81,"34' 7""",42648.167,1234,80
38,T39,T39,Justin Rose,70,"34' 8""",32305.833,932,41
39,T39,T39,Camilo Villegas,95,"34' 8""",52159.083,1505,39
40,T41,T41,Jerry Kelly,80,"34' 9""",40947.167,1179,71
41,T41,T41,George McNeill,79,"34' 9""",43474.333,1251,61
42,T43,T43,Jason Dufner,57,"34' 10""",26115.583,750,59
43,T43,T43,Chesson Hadley,84,"34' 10""",44389.0,1273,143
44,T43,T43,Scott Stallings,77,"34' 10""",39307.667,1129,140
45,T43,T43,Bubba Watson,76,"34' 10""",34949.667,1004,24
46,47,47,Vijay Singh,83,"34' 11""",47529.25,1361,73
47,T48,T48,Keegan Bradley,89,"35' 0""",41903.583,1197,46
48,T48,T48,Ben Martin,80,"35' 0""",39395.583,1126,62
49,T48,T48,Kevin Na,94,"35' 0""",49019.417,1399,98
50,T48,T48,Robert Streb,75,"35' 0""",40180.833,1147,69
51,T52,T52,K.J. Choi,80,"35' 1""",42083.167,1200,154
52,T52,T52,David Hearn,97,"35' 1""",51689.667,1474,55
53,T52,T52,Jim Herman,62,"35' 1""",30096.167,857,55
54,T52,T52,Freddie Jacobson,91,"35' 1""",50732.25,1446,151
55,T52,T52,Matt Kuchar,91,"35' 1""",47849.75,1363,40
56,T57,T57,Adam Scott,68,"35' 2""",35309.917,1004,10
57,T57,T57,Nicholas Thompson,85,"35' 2""",44086.833,1255,46
58,T57,T57,Boo Weekley,73,"35' 2""",35300.5,1003,20
59,T60,T60,Jason Day,54,"35' 3""",20786.0,589,118
60,T60,T60,Harris English,95,"35' 3""",46714.333,1324,17
61,T60,T60,Brad Fritsch,50,"35' 3""",24606.667,698,87
62,T60,T60,Jim Renner,61,"35' 3""",32762.833,929,148
63,T60,T60,Hudson Swafford,75,"35' 3""",36437.583,1034,11
64,T60,T60,Brendon Todd,108,"35' 3""",57449.167,1631,119
65,T66,T66,Scott Langley,95,"35' 4""",49973.083,1414,114
66,T66,T66,Louis Oosthuizen,50,"35' 4""",18945.667,536,54
