,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Bronson La'Cassie,51,23.81,15,63
1,2,2,Ángel Cabrera,69,23.14,28,121
2,3,3,Adam Scott,68,22.33,23,103
3,4,4,Daniel Summerhays,98,21.8,29,133
4,5,5,Phil Mickelson,71,21.59,19,88
5,6,6,Ryan Palmer,85,20.93,27,129
6,7,7,Scott Stallings,77,20.71,29,140
7,8,8,Jason Bohn,81,20.69,24,116
8,9,9,Charley Hoffman,93,20.48,34,166
9,10,10,J.J. Henry,91,20.34,24,118
10,11,11,Jimmy Walker,98,19.88,33,166
11,12,12,Rory McIlroy,66,19.77,17,86
12,13,13,Keegan Bradley,89,19.3,22,114
13,14,14,Henrik Stenson,56,19.23,10,52
14,15,15,Jason Kokrak,65,18.55,23,124
15,16,16,Geoff Ogilvy,84,18.31,26,142
16,17,17,Gary Woodland,93,18.05,24,133
17,T18,T18,Greg Chalmers,85,17.74,33,186
18,T18,T18,Webb Simpson,87,17.74,22,124
19,20,20,Hideki Matsuyama,82,17.69,23,130
20,21,21,Chris Kirk,105,17.61,25,142
21,22,22,Graham DeLaet,80,17.48,18,103
22,23,23,Andrew Loupe,65,17.42,23,132
23,T24,T24,Brian Davis,93,17.32,22,127
24,T24,T24,Tommy Gainey,73,17.32,22,127
25,T26,T26,Freddie Jacobson,91,17.31,27,156
26,T26,T26,Davis Love III,74,17.31,18,104
27,T26,T26,Rory Sabbatini,82,17.31,27,156
28,29,29,Dustin Johnson,58,17.02,16,94
29,30,30,Kevin Na,94,16.91,23,136
30,31,31,Sangmoon Bae,76,16.89,25,148
31,T32,T32,Harris English,95,16.79,23,137
32,T32,T32,Ryo Ishikawa,75,16.79,22,131
33,34,34,George McNeill,79,16.78,24,143
34,35,35,James Hahn,82,16.56,25,151
35,36,36,Robert Garrigus,80,16.55,24,145
36,37,37,Jeff Maggert,54,16.44,12,73
37,38,38,"Ted Potter, Jr.",68,16.33,16,98
38,39,39,D.H. Lee,54,16.25,13,80
39,40,40,Brian Harman,111,16.04,30,187
40,41,41,Ricky Barnes,92,15.92,25,157
41,42,42,Vijay Singh,83,15.89,24,151
42,43,43,Michael Thompson,74,15.84,16,101
43,44,44,Patrick Reed,92,15.82,28,177
44,45,45,Kevin Streelman,79,15.79,15,95
45,46,46,Billy Hurley III,86,15.73,14,89
46,47,47,Scott Brown,100,15.7,19,121
47,48,48,Ernie Els,85,15.53,25,161
48,T49,T49,Briny Baird,50,15.38,12,78
49,T49,T49,Paul Casey,56,15.38,12,78
50,51,51,Charl Schwartzel,64,15.32,19,124
51,52,52,Mike Weir,69,15.27,20,131
52,53,53,Martin Kaymer,65,15.22,14,92
53,54,54,Jerry Kelly,80,15.2,19,125
54,55,55,Justin Rose,70,15.13,18,119
55,56,56,Brian Gay,81,15.09,16,106
56,57,57,Charlie Wi,72,15.03,23,153
57,T58,T58,Bill Haas,107,15.0,21,140
58,T58,T58,Ryan Moore,86,15.0,12,80
59,60,60,Josh Teater,90,14.97,22,147
60,61,61,David Lingmerth,80,14.96,19,127
61,T62,T62,Ken Duke,80,14.95,16,107
62,T62,T62,Brian Stuard,91,14.95,16,107
63,64,64,Will MacKenzie,82,14.93,20,134
64,65,65,Tim Clark,75,14.89,14,94
65,66,66,J.B. Holmes,86,14.86,22,148
66,67,67,John Rollins,84,14.81,20,135
67,T68,T68,Erik Compton,88,14.79,21,142
68,T68,T68,Carl Pettersson,91,14.79,25,169
69,70,70,Boo Weekley,73,14.74,14,95
70,71,71,K.J. Choi,80,14.71,15,102
71,72,72,Pat Perez,84,14.69,21,143
72,73,73,Bubba Watson,76,14.66,17,116
73,74,74,Russell Henley,92,14.62,19,130
74,75,75,Jordan Spieth,102,14.61,26,178
75,76,76,Sergio Garcia,61,14.47,11,76
76,77,77,Robert Streb,75,14.42,15,104
77,T78,T78,Lucas Glover,68,14.29,10,70
78,T78,T78,Jamie Lovemark,64,14.29,18,126
79,80,80,David Toms,64,14.1,11,78
80,81,81,Seung-Yul Noh,92,14.04,24,171
81,82,82,Wes Roach,67,14.02,15,107
82,T83,T83,Louis Oosthuizen,50,14.0,7,50
83,T83,T83,Nick Watney,80,14.0,14,100
84,85,85,Aaron Baddeley,74,13.92,22,158
85,86,86,Kevin Chappell,100,13.85,18,130
86,87,87,Jim Herman,62,13.83,13,94
87,88,88,Andres Romero,81,13.64,21,154
88,T89,T89,Jonas Blixt,64,13.48,12,89
89,T89,T89,D.A. Points,75,13.48,12,89
90,91,91,Morgan Hoffmann,103,13.46,28,208
91,92,92,Derek Ernst,80,13.45,16,119
92,93,93,John Peterson,62,13.19,12,91
93,94,94,John Huh,87,13.16,15,114
94,95,95,Bud Cauley,56,13.1,11,84
95,T96,T96,Kevin Kisner,85,13.04,18,138
96,T96,T96,Nicholas Thompson,85,13.04,15,115
97,98,98,Charles Howell III,106,13.0,29,223
98,T99,T99,Ben Curtis,77,12.96,14,108
99,T99,T99,Y.E. Yang,79,12.96,14,108
100,101,101,Luke Guthrie,85,12.93,19,147
101,T102,T102,Trevor Immelman,84,12.9,20,155
102,T102,T102,Graeme McDowell,66,12.9,8,62
103,104,104,Stewart Cink,91,12.88,17,132
104,105,105,Matt Every,85,12.87,13,101
105,106,106,Chad Collins,78,12.7,16,126
106,107,107,Hunter Mahan,88,12.69,17,134
107,108,108,Stuart Appleby,92,12.58,19,151
108,T109,T109,Roberto Castro,76,12.5,12,96
109,T109,T109,Danny Lee,84,12.5,13,104
110,T109,T109,Camilo Villegas,95,12.5,16,128
