,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Jamie Lovemark,64,"36' 7""",93066,212,7755.5,18.0
1,2,2,Brooks Koepka,56,"37' 9""",75186,166,6265.5,5.0
2,3,3,Paul Casey,56,"38' 1""",72590,159,6049.1669999999995,21.0
3,4,4,Vijay Singh,83,"38' 2""",130087,284,10840.583,33.0
4,5,5,Bubba Watson,76,"38' 11""",101387,217,8448.917,9.0
5,6,6,Ken Duke,80,"39' 3""",97905,208,8158.75,37.0
6,7,7,Marc Leishman,81,"39' 8""",124209,261,10350.75,34.0
7,8,8,Freddie Jacobson,91,"39' 10""",141043,295,11753.583,25.0
8,9,9,Sergio Garcia,61,"40' 0""",67687,141,5640.5830000000005,-2.0
9,T10,T10,Jim Furyk,84,"40' 3""",78717,163,6559.75,17.0
10,T10,T10,Ryan Palmer,85,"40' 3""",128877,267,10739.75,3.0
11,12,12,John Peterson,62,"40' 4""",84776,175,7064.6669999999995,28.0
12,T13,T13,Kyle Stanley,87,"40' 5""",124226,256,10352.167,43.0
13,T13,T13,David Toms,64,"40' 5""",68341,141,5695.0830000000005,14.0
14,T15,T15,Jason Bohn,81,"40' 6""",116687,240,9723.917,33.0
15,T15,T15,Phil Mickelson,71,"40' 6""",91904,189,7658.6669999999995,7.0
16,17,17,Charles Howell III,106,"40' 10""",215818,440,17984.833,21.0
17,18,18,Geoff Ogilvy,84,"40' 11""",139938,285,11661.5,26.0
18,T19,T19,Martin Flores,85,"41' 2""",136222,276,11351.833,31.0
19,T19,T19,Brian Harman,111,"41' 2""",183631,372,15302.583,47.0
20,21,21,Jeff Maggert,54,"41' 3""",68815,139,5734.5830000000005,21.0
21,T22,T22,Dustin Johnson,58,"41' 4""",88870,179,7405.8330000000005,13.0
22,T22,T22,Boo Weekley,73,"41' 4""",84261,170,7021.75,12.0
23,24,24,Brendan Steele,89,"41' 5""",125323,252,10443.583,39.0
24,25,25,Tyrone Van Aswegen,79,"41' 6""",134403,270,11200.25,54.0
25,T26,T26,Retief Goosen,94,"41' 7""",163216,327,13601.333,41.0
26,T26,T26,Hunter Mahan,88,"41' 7""",114732,230,9561.0,28.0
27,T28,T28,Charlie Beljan,76,"41' 8""",131589,263,10965.75,40.0
28,T28,T28,Troy Merritt,62,"41' 8""",102072,204,8506.0,51.0
29,T30,T30,Troy Matteson,62,"41' 9""",101283,202,8440.25,51.0
30,T30,T30,Seung-Yul Noh,92,"41' 9""",148270,296,12355.833,30.0
31,T30,T30,Jimmy Walker,98,"41' 9""",162204,324,13517.0,4.0
32,T33,T33,Carl Pettersson,91,"41' 11""",169975,338,14164.583,26.0
33,T33,T33,Justin Rose,70,"41' 11""",101673,202,8472.75,15.0
34,T33,T33,Nick Watney,80,"41' 11""",90562,180,7546.8330000000005,23.0
35,T36,T36,Stewart Cink,91,"42' 0""",137542,273,11461.833,30.0
36,T36,T36,Billy Hurley III,86,"42' 0""",102226,203,8518.833,23.0
37,T36,T36,George McNeill,79,"42' 0""",119041,236,9920.083,22.0
38,39,39,Hideki Matsuyama,82,"42' 1""",121317,240,10109.75,21.0
39,T40,T40,Ángel Cabrera,69,"42' 2""",126577,250,10548.083,13.0
40,T40,T40,Charley Hoffman,93,"42' 2""",143223,283,11935.25,13.0
41,T40,T40,Adam Scott,68,"42' 2""",96102,190,8008.5,1.0
42,43,43,Hudson Swafford,75,"42' 3""",103854,205,8654.5,25.0
43,44,44,Y.E. Yang,79,"42' 5""",110914,218,9242.833,34.0
44,T45,T45,Morgan Hoffmann,103,"42' 6""",200887,394,16740.583,82.0
45,T45,T45,Shawn Stefani,60,"42' 6""",104576,205,8714.667,30.0
46,T45,T45,Josh Teater,90,"42' 6""",138330,271,11527.5,28.0
47,T45,T45,Bo Van Pelt,83,"42' 6""",108133,212,9011.083,29.0
48,T49,T49,Kevin Chappell,100,"42' 7""",127121,249,10593.417,32.0
49,T49,T49,Harris English,95,"42' 7""",140580,275,11715.0,29.0
50,T49,T49,John Merrick,87,"42' 7""",99107,194,8258.917,15.0
51,T49,T49,Kevin Na,94,"42' 7""",143584,281,11965.333,19.0
52,53,53,William McGirt,96,"42' 8""",152441,298,12703.417,33.0
53,T54,T54,Andrew Loupe,65,"42' 9""",119036,232,9919.667,27.0
54,T54,T54,Andres Romero,81,"42' 9""",154360,301,12863.333,28.0
55,T54,T54,Nicholas Thompson,85,"42' 9""",113399,221,9449.917,48.0
56,T57,T57,Zach Johnson,97,"42' 10""",128086,249,10673.833,28.0
57,T57,T57,Kevin Tway,64,"42' 10""",95600,186,7966.6669999999995,32.0
