,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Henrik Stenson,16,55,43,12
1,2,2,Willy Wilcox,17,60,42,18
2,3,3,Keegan Bradley,24,62,10,52
3,4,4,Justin Rose,20,78,14,64
4,5,5,Graham DeLaet,22,79,32,47
5,6,6,Charlie Beljan,27,89,6,83
6,7,7,Russell Henley,24,90,36,54
7,8,8,Paul Casey,24,93,35,58
8,9,9,Jim Herman,27,95,62,33
9,10,10,Hudson Swafford,30,103,29,74
10,11,11,Lucas Glover,26,104,38,66
11,T12,T12,Derek Ernst,26,106,50,56
12,T12,T12,Hideki Matsuyama,25,106,57,49
13,14,14,Davis Love III,18,107,56,51
14,15,15,Adam Scott,15,111,4,107
15,T16,T16,Brendan Steele,24,113,16,97
16,T16,T16,Kevin Streelman,27,113,93,20
17,T18,T18,Daniel Berger,31,122,18,104
18,T18,T18,Billy Horschel,28,122,53,69
19,T20,T20,Jason Gore,26,123,87,36
20,T20,T20,Webb Simpson,22,123,97,26
21,T22,T22,Rickie Fowler,21,126,39,87
22,T22,T22,John Senden,24,126,89,37
23,24,24,Charl Schwartzel,19,127,24,103
24,25,25,Chez Reavie,19,128,125,3
25,26,26,Sam Saunders,28,130,68,62
26,T27,T27,Kevin Chappell,26,132,67,65
27,T27,T27,Shawn Stefani,26,132,44,88
28,29,29,Alex Prugh,27,138,49,89
29,30,30,David Lingmerth,28,139,93,46
30,31,31,John Peterson,25,140,110,30
31,32,32,Lee Westwood,15,144,25,119
32,33,33,Nicholas Thompson,31,146,127,19
33,T34,T34,Jason Dufner,21,148,121,27
34,T34,T34,Sergio Garcia,15,148,25,123
35,T34,T34,Kevin Kisner,30,148,114,34
36,T34,T34,Louis Oosthuizen,20,148,31,117
37,38,38,Carlos Ortiz,30,150,33,117
38,T39,T39,Sean O'Hair,26,151,47,104
39,T39,T39,Boo Weekley,24,151,76,75
40,41,41,Justin Thomas,30,152,15,137
41,42,42,Brooks Koepka,23,153,8,145
42,43,43,Francesco Molinari,16,154,153,1
43,T44,T44,Bill Haas,25,155,82,73
44,T44,T44,Spencer Levin,31,155,139,16
45,T44,T44,John Merrick,27,155,133,22
46,T44,T44,Patrick Rodgers,17,155,9,146
47,T44,T44,Bubba Watson,19,155,2,153
48,T49,T49,Adam Hadwin,30,156,108,48
49,T49,T49,Zach Johnson,25,156,148,8
50,51,51,Martin Laird,24,157,22,135
51,52,52,Jordan Spieth,25,158,78,80
52,T53,T53,Ryan Moore,24,159,148,11
53,T53,T53,Robert Streb,30,159,36,123
54,T53,T53,Nick Watney,28,159,61,98
55,56,56,Ben Martin,27,160,110,50
56,57,57,Jonathan Byrd,22,162,117,45
57,T58,T58,Russell Knox,28,164,136,28
58,T58,T58,Ryan Palmer,22,164,13,151
59,T60,T60,Jason Day,20,165,3,162
60,T60,T60,Matt Jones,25,165,46,119
61,T62,T62,James Hahn,28,166,50,116
62,T62,T62,Dustin Johnson,21,166,1,165
63,T62,T62,Jason Kokrak,28,166,11,155
64,65,65,Jamie Donaldson,16,167,54,113
65,T66,T66,Jim Furyk,19,168,151,17
66,T66,T66,Brian Harman,29,168,113,55
67,T66,T66,Johnson Wagner,23,168,82,86
68,T69,T69,Harris English,29,169,33,136
69,T69,T69,Scott Piercy,28,169,41,128
70,T71,T71,Robert Garrigus,25,170,20,150
71,T71,T71,Charley Hoffman,28,170,29,141
72,T71,T71,Gary Woodland,24,170,12,158
73,74,74,Chad Campbell,30,172,131,41
74,T75,T75,Steven Alker,22,173,167,6
75,T75,T75,Blayne Barber,26,173,103,70
76,T75,T75,Cameron Tringale,28,173,152,21
77,T78,T78,Brendon de Jonge,31,174,130,44
78,T78,T78,John Huh,31,174,160,14
79,80,80,Jason Bohn,27,176,171,5
80,81,81,Pat Perez,26,178,135,43
81,T82,T82,Tony Finau,31,179,7,172
82,T82,T82,Jerry Kelly,24,179,170,9
83,T84,T84,J.B. Holmes,25,180,5,175
84,T84,T84,Colt Knost,29,180,173,7
85,T84,T84,Matt Kuchar,25,180,104,76
86,T87,T87,Hunter Mahan,24,181,50,131
87,T87,T87,Sung Joon Park,27,181,139,42
88,T89,T89,J.J. Henry,30,183,72,111
89,T89,T89,William McGirt,30,183,158,25
90,T89,T89,Phil Mickelson,19,183,22,161
91,T89,T89,Greg Owen,19,183,62,121
92,T93,T93,Oscar Fraustro,21,186,93,93
93,T93,T93,Justin Leonard,22,186,182,4
94,T93,T93,Bill Lunde,18,186,115,71
95,T93,T93,George McNeill,27,186,126,60
96,T93,T93,Geoff Ogilvy,15,186,64,122
97,T93,T93,Brendon Todd,27,186,176,10
98,T93,T93,David Toms,21,186,184,2
99,T93,T93,Steve Wheatcroft,28,186,107,79
100,T101,T101,Martin Flores,30,187,39,148
101,T101,T101,Jhonattan Vegas,27,187,27,160
102,T103,T103,Scott Pinckney,27,189,88,101
103,T103,T103,Brian Stuard,31,189,174,15
104,T105,T105,Scott Brown,30,190,108,82
105,T105,T105,Roger Sloan,20,190,65,125
106,T105,T105,Heath Slocum,22,190,177,13
107,T108,T108,Ángel Cabrera,19,191,28,163
108,T108,T108,Ken Duke,30,191,168,23
109,110,110,Ian Poulter,19,193,121,72
110,111,111,Steven Bowditch,32,194,18,176
111,T112,T112,Charles Howell III,30,196,17,179
112,T112,T112,Michael Putnam,28,196,101,95
113,114,114,Andres Gonzales,28,197,57,140
114,115,115,Gonzalo Fernandez-Castaño,28,198,98,100
115,T116,T116,Cameron Percy,23,199,90,109
116,T116,T116,Vijay Singh,23,199,85,114
117,T116,T116,Bo Van Pelt,28,199,93,106
118,T119,T119,Roberto Castro,16,200,160,40
119,T119,T119,Rory Sabbatini,25,200,90,110
120,121,121,Jimmy Walker,24,201,21,180
121,T122,T122,Zac Blair,34,203,180,23
122,T122,T122,Mark Hubbard,25,203,165,38
123,T122,T122,Chris Stroud,28,203,146,57
124,T125,T125,Bryce Molder,26,204,169,35
125,T125,T125,Brandt Snedeker,27,204,105,99
126,127,127,Kyle Reifers,31,206,112,94
127,T128,T128,Sangmoon Bae,30,207,92,115
128,T128,T128,Brian Davis,31,207,178,29
129,T130,T130,Tom Hoge,26,208,74,134
130,T130,T130,Danny Lee,36,208,145,63
131,T132,T132,Alex Cejka,30,209,141,68
132,T132,T132,Stewart Cink,23,209,65,144
133,T134,T134,Jon Curran,28,211,179,32
134,T134,T134,Carl Pettersson,32,211,81,130
135,136,136,Troy Merritt,29,212,131,81
136,137,137,Max Homa,27,213,59,154
137,T138,T138,Ben Crane,22,214,183,31
138,T138,T138,David Hearn,30,214,156,58
139,T140,T140,Brice Garnett,29,215,119,96
140,T140,T140,Morgan Hoffmann,26,215,45,170
141,T140,T140,Mark Wilson,28,215,162,53
142,143,143,Byron Smith,21,216,77,139
143,144,144,Chris Kirk,21,218,128,90
144,T145,T145,Billy Hurley III,28,220,181,39
145,T145,T145,Scott Stallings,19,220,78,142
146,T147,T147,Retief Goosen,25,222,71,151
147,T147,T147,Marc Leishman,23,222,55,167
148,T149,T149,Robert Allenby,25,225,147,78
149,T149,T149,Andres Romero,24,225,47,178
150,151,151,Jonas Blixt,26,228,116,112
151,T152,T152,Ernie Els,18,229,80,149
152,T152,T152,Chesson Hadley,30,229,82,147
153,T152,T152,Daniel Summerhays,29,229,137,92
154,155,155,Nick Taylor,28,231,72,159
155,T156,T156,Chad Collins,24,232,166,66
156,T156,T156,Erik Compton,28,232,105,127
157,T158,T158,K.J. Choi,19,235,174,61
158,T158,T158,Michael Thompson,27,235,98,137
159,T160,T160,Greg Chalmers,17,239,154,85
160,T160,T160,Seung-Yul Noh,21,239,70,169
161,T162,T162,Patrick Reed,27,240,69,171
162,T162,T162,Tim Wilkinson,28,240,163,77
163,164,164,Kevin Na,27,243,159,84
164,165,165,Aaron Baddeley,25,244,60,184
165,166,166,Andrew Svoboda,30,245,119,126
166,167,167,Fabián Gómez,26,246,144,102
167,168,168,Camilo Villegas,27,247,74,173
168,169,169,Scott Langley,28,248,157,91
169,170,170,Ryo Ishikawa,28,256,100,156
170,171,171,Whee Kim,23,258,150,108
171,172,172,Jeff Overton,30,266,134,132
172,173,173,Padraig Harrington,21,267,86,181
173,174,174,Luke Guthrie,27,271,138,133
174,175,175,Derek Fathauer,27,283,101,182
175,T176,T176,Jonathan Randolph,25,284,118,166
176,T176,T176,Jim Renner,27,284,141,143
177,178,178,Eric Axley,21,288,124,164
178,179,179,Luke Donald,20,301,172,129
179,T180,T180,Matt Every,26,306,123,183
180,T180,T180,Tyrone Van Aswegen,20,306,129,177
181,182,182,D.A. Points,26,312,155,157
182,183,183,Ricky Barnes,27,315,141,174
183,184,184,Andrew Putnam,23,332,164,168
