,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Colt Knost,29,"18' 0""",5302.0830000000005,294
1,2,2,Jim Furyk,19,"19' 2""",4392.333,229
2,T3,T3,Jason Dufner,21,"19' 4""",4515.917,234
3,T3,T3,Justin Leonard,22,"19' 4""",4083.417,211
4,5,5,Francesco Molinari,16,"20' 4""",2888.417,142
5,6,6,David Toms,21,"20' 5""",3967.833,194
6,7,7,Jason Bohn,27,"20' 8""",6763.0830000000005,327
7,8,8,Henrik Stenson,16,"20' 11""",4017.25,192
8,9,9,Ken Duke,30,"21' 0""",7089.8330000000005,338
9,T10,T10,John Huh,31,"21' 2""",7842.0,371
10,T10,T10,Zach Johnson,25,"21' 2""",5969.75,282
11,T10,T10,Heath Slocum,22,"21' 2""",3742.083,177
12,T13,T13,Spencer Levin,31,"21' 4""",7114.8330000000005,333
13,T13,T13,William McGirt,30,"21' 4""",8945.583,419
14,15,15,Russell Knox,28,"21' 5""",8023.4169999999995,375
15,16,16,Hideki Matsuyama,25,"21' 6""",7079.4169999999995,329
16,T17,T17,Fabián Gómez,26,"21' 7""",7730.3330000000005,358
17,T17,T17,Nicholas Thompson,31,"21' 7""",6490.0,301
18,19,19,Brian Stuard,31,"21' 8""",7175.25,331
19,20,20,Jerry Kelly,24,"21' 9""",5662.1669999999995,260
20,T21,T21,Jim Herman,27,"21' 10""",7435.6669999999995,340
21,T21,T21,Brendon Todd,27,"21' 10""",6903.4169999999995,316
22,23,23,Kevin Streelman,27,"22' 4""",6472.75,290
23,24,24,Scott Langley,28,"22' 7""",9040.833,401
24,25,25,John Peterson,25,"22' 11""",7597.6669999999995,332
25,T26,T26,Sangmoon Bae,30,"23' 0""",11173.917,485
26,T26,T26,John Merrick,27,"23' 0""",5708.5,248
27,T26,T26,Bryce Molder,26,"23' 0""",7853.9169999999995,341
28,T29,T29,Steven Alker,22,"23' 1""",4611.667,200
29,T29,T29,Brendon de Jonge,31,"23' 1""",9917.333,430
30,31,31,Chad Campbell,30,"23' 2""",9715.0,419
31,32,32,Mark Hubbard,25,"23' 4""",6580.25,282
32,T33,T33,Jason Gore,26,"23' 5""",5846.4169999999995,250
33,T33,T33,Brandt Snedeker,27,"23' 5""",9176.167,392
34,T35,T35,Kevin Kisner,30,"23' 6""",10010.75,426
35,T35,T35,Sung Joon Park,27,"23' 6""",6633.6669999999995,282
