,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Francesco Molinari,56,75.29,448,595,-0.14
1,2,2,David Toms,62,74.12,567,765,-0.1
2,3,3,Chez Reavie,56,72.29,501,693,-0.16
3,4,4,Jason Bohn,95,71.68,868,1211,-0.18
4,5,5,Jerry Kelly,79,70.98,653,920,-0.13
5,6,6,Justin Leonard,61,70.97,533,751,-0.13
6,7,7,Colt Knost,90,70.61,728,1031,-0.16
7,8,8,Steven Alker,62,70.55,491,696,-0.2
8,9,9,Zach Johnson,90,70.01,684,977,-0.2
9,10,10,Ryan Moore,81,70.0,595,850,-0.2
10,11,11,Kevin Streelman,95,69.69,708,1016,-0.15
11,12,12,Spencer Levin,99,69.52,803,1155,-0.16
12,13,13,Brendon Todd,96,69.37,736,1061,-0.17
13,14,14,John Huh,102,69.28,857,1237,-0.14
14,15,15,Brian Stuard,97,69.1,758,1097,-0.13
15,16,16,Zac Blair,108,68.33,837,1225,-0.13
16,17,17,Willy Wilcox,58,68.31,388,568,-0.2
17,18,18,Ken Duke,93,68.24,737,1080,-0.11
18,19,19,Nicholas Thompson,90,68.18,662,971,-0.09
19,T20,T20,Russell Knox,96,67.82,820,1209,-0.21
20,T20,T20,John Merrick,78,67.82,548,808,-0.16
21,22,22,Ben Crane,62,67.68,488,721,-0.07
22,23,23,Roberto Castro,54,67.66,339,501,-0.16
23,24,24,William McGirt,103,67.6,914,1352,-0.16
24,25,25,Jon Curran,83,67.59,609,901,-0.14
25,26,26,Brian Davis,86,67.58,665,984,-0.11
26,27,27,John Peterson,84,67.54,722,1069,-0.16
27,28,28,Jim Herman,88,67.23,720,1071,-0.16
28,T29,T29,Heath Slocum,57,67.16,364,542,-0.07
29,T29,T29,Henrik Stenson,63,67.16,409,609,-0.23
30,31,31,Jim Furyk,71,67.13,484,721,-0.19
31,32,32,Bryce Molder,91,67.1,718,1070,-0.16
32,T33,T33,Jason Gore,76,66.91,542,810,-0.15
33,T33,T33,Cameron Tringale,96,66.91,732,1094,-0.14
34,35,35,Webb Simpson,81,66.82,594,889,-0.16
35,36,36,Kevin Kisner,104,66.49,867,1304,-0.16
36,37,37,Chad Campbell,97,66.14,836,1264,-0.15
37,38,38,Sung Joon Park,79,66.09,577,873,-0.08
38,39,39,Adam Hadwin,95,66.04,739,1119,-0.17
39,40,40,Mark Hubbard,79,66.0,561,850,-0.14
40,41,41,Pat Perez,96,65.85,756,1148,-0.19
41,42,42,David Lingmerth,90,65.53,675,1030,-0.17
42,43,43,Jonathan Byrd,69,65.35,462,707,-0.16
