,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,1,1,Patrick Rodgers,57,7.2,324.9,45,8.2,5.8
1,2,2,Charley Hoffman,97,7.1,587.0,83,8.1,5.5
2,T3,T3,Keegan Bradley,87,7.0,574.6,82,8.5,3.6
3,T3,T3,Brooks Koepka,84,7.0,587.0,84,8.0,1.1
4,T3,T3,Justin Thomas,106,7.0,694.5,99,8.3,5.4
5,T6,T6,Rickie Fowler,76,6.9,446.4,65,8.2,2.0
6,T6,T6,J.B. Holmes,89,6.9,478.0,69,8.4,2.1
7,T6,T6,Ryan Palmer,80,6.9,458.2,66,7.9,5.7
8,T6,T6,Alex Prugh,84,6.9,541.9,79,7.8,5.2
9,T10,T10,Jason Gore,76,6.8,427.5,63,7.9,5.3
10,T10,T10,James Hahn,94,6.8,506.6,75,8.0,3.7
11,T10,T10,Morgan Hoffmann,85,6.8,530.9,78,8.1,3.8
12,T10,T10,Davis Love III,51,6.8,284.1,42,7.8,4.9
13,T10,T10,Phil Mickelson,70,6.8,335.3,49,8.0,4.8
14,T10,T10,Scott Piercy,90,6.8,582.9,86,7.9,4.1
15,T10,T10,Roger Sloan,56,6.8,276.9,41,7.7,3.7
16,T10,T10,Hudson Swafford,97,6.8,574.8,85,8.3,1.1
17,T18,T18,Charlie Beljan,76,6.7,382.6,57,7.9,4.6
18,T18,T18,Ángel Cabrera,53,6.7,328.4,49,7.9,5.4
19,T18,T18,Graham DeLaet,65,6.7,349.6,52,7.7,4.4
20,T18,T18,Luke Donald,71,6.7,344.0,51,8.7,4.4
21,T18,T18,Tony Finau,106,6.7,596.8,89,8.1,4.2
22,T18,T18,Adam Hadwin,95,6.7,596.8,89,7.8,4.2
23,T18,T18,Padraig Harrington,60,6.7,383.9,57,8.1,4.4
24,T18,T18,Russell Henley,87,6.7,549.6,82,7.6,4.2
25,T18,T18,David Lingmerth,90,6.7,567.3,85,7.6,5.2
26,T18,T18,Troy Merritt,91,6.7,515.7,77,7.9,4.3
27,T18,T18,Jordan Spieth,91,6.7,453.0,68,7.8,4.2
28,T18,T18,Kevin Streelman,95,6.7,533.5,80,7.4,4.7
29,T18,T18,Nicholas Thompson,90,6.7,545.1,81,8.0,5.2
30,T18,T18,Nick Watney,91,6.7,586.1,88,7.7,4.6
31,T32,T32,Kevin Chappell,86,6.6,409.6,62,7.9,2.6
32,T32,T32,Harris English,105,6.6,650.4,98,7.9,3.3
33,T32,T32,Oscar Fraustro,58,6.6,250.1,38,7.7,3.5
34,T32,T32,Luke Guthrie,84,6.6,511.3,78,7.5,3.8
35,T32,T32,Bill Haas,89,6.6,522.3,79,7.8,4.7
36,T32,T32,J.J. Henry,94,6.6,471.8,72,7.6,4.6
37,T32,T32,Billy Horschel,99,6.6,574.0,87,7.7,4.3
38,T32,T32,Mark Hubbard,79,6.6,412.9,63,7.6,4.7
39,T32,T32,Hunter Mahan,88,6.6,474.1,72,7.6,4.6
40,T32,T32,Francesco Molinari,56,6.6,321.9,49,7.5,5.5
41,T32,T32,Seung-Yul Noh,65,6.6,377.5,57,8.0,3.8
42,T32,T32,Geoff Ogilvy,50,6.6,263.7,40,7.6,5.0
43,T32,T32,Carlos Ortiz,100,6.6,645.9,98,8.1,2.3
44,T32,T32,Sam Saunders,83,6.6,468.9,71,7.7,3.7
45,T32,T32,Brendan Steele,88,6.6,608.0,92,7.8,1.8
46,T32,T32,Michael Thompson,83,6.6,538.9,82,8.8,2.2
47,T32,T32,Cameron Tringale,96,6.6,569.1,86,7.7,3.4
48,T32,T32,Bubba Watson,71,6.6,344.5,52,7.5,3.4
49,T50,T50,Blayne Barber,76,6.5,446.3,69,7.8,4.5
50,T50,T50,Zac Blair,108,6.5,674.1,104,7.5,3.6
51,T50,T50,Paul Casey,87,6.5,411.5,63,7.9,3.3
52,T50,T50,Roberto Castro,54,6.5,248.4,38,7.7,3.0
53,T50,T50,Brian Davis,86,6.5,532.2,82,7.4,4.6
