,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,David Toms,62,2.679,272.92,101.869,62,3.029
1,2,2,Ernie Els,57,2.6710000000000003,295.295,110.54299999999999,38,3.0580000000000003
2,T3,T3,Ryan Moore,81,2.6519999999999997,288.81,108.88799999999999,68,3.264
3,T3,T3,Heath Slocum,57,2.6519999999999997,274.759,103.595,44,2.997
4,5,5,Davis Love III,51,2.645,298.548,112.891,43,3.147
5,6,6,Bill Lunde,50,2.6439999999999997,290.04,109.68,41,3.0469999999999997
6,7,7,David Hearn,97,2.6430000000000002,285.315,107.95100000000001,95,3.4189999999999996
7,8,8,Brian Stuard,97,2.639,280.596,106.31,95,3.1489999999999996
8,9,9,Nick Taylor,91,2.638,294.144,111.508,92,3.031
9,10,10,Scott Piercy,90,2.636,303.63599999999997,115.204,86,3.214
10,11,11,Andres Romero,69,2.635,300.777,114.141,50,2.9189999999999996
11,12,12,David Lingmerth,90,2.633,290.668,110.37899999999999,86,3.263
12,13,13,Bubba Watson,71,2.6319999999999997,325.04200000000003,123.515,53,3.19
13,14,14,Steven Alker,62,2.627,278.772,106.12899999999999,59,2.92
14,T15,T15,Jim Furyk,71,2.625,286.839,109.285,53,3.063
15,T15,T15,Retief Goosen,81,2.625,298.893,113.85,73,3.1430000000000002
16,17,17,Brice Garnett,81,2.623,290.353,110.696,73,3.0010000000000003
17,18,18,Brendon Todd,96,2.622,280.039,106.804,82,3.065
18,19,19,Scott Stallings,60,2.6210000000000004,300.981,114.854,54,3.165
19,T20,T20,Brian Davis,86,2.62,276.416,105.493,85,3.0269999999999997
20,T20,T20,Sean O'Hair,86,2.62,300.02299999999997,114.508,76,3.364
21,22,22,Louis Oosthuizen,68,2.6189999999999998,300.008,114.569,45,3.102
22,T23,T23,Robert Allenby,63,2.6180000000000003,287.95,109.973,60,3.2310000000000003
23,T23,T23,Oscar Fraustro,58,2.6180000000000003,290.15,110.82700000000001,43,3.014
24,T23,T23,Chez Reavie,56,2.6180000000000003,286.188,109.321,60,2.9610000000000003
25,26,26,J.J. Henry,94,2.616,297.823,113.84,73,3.429
26,T27,T27,Jason Day,75,2.615,314.211,120.15799999999999,61,3.154
27,T27,T27,Morgan Hoffmann,85,2.615,297.153,113.62799999999999,79,2.908
28,29,29,Justin Leonard,61,2.612,271.921,104.10700000000001,63,3.2030000000000003
29,30,30,Justin Rose,69,2.611,305.711,117.098,54,3.1489999999999996
30,31,31,Tim Wilkinson,73,2.609,280.928,107.69200000000001,60,3.111
31,T32,T32,Bill Haas,89,2.608,292.61400000000003,112.196,80,3.305
32,T32,T32,Billy Horschel,99,2.608,295.665,113.37899999999999,87,3.096
33,T32,T32,Adam Scott,51,2.608,313.645,120.26700000000001,37,3.036
34,35,35,Mark Wilson,89,2.605,279.45,107.25399999999999,83,3.227
35,T36,T36,Ángel Cabrera,53,2.6039999999999996,305.092,117.14299999999999,51,3.037
36,T36,T36,J.B. Holmes,89,2.6039999999999996,314.025,120.616,71,3.159
37,T36,T36,Camilo Villegas,83,2.6039999999999996,294.301,113.035,85,3.0
38,39,39,Jason Kokrak,88,2.603,311.92900000000003,119.823,85,3.12
39,40,40,Brendan Steele,88,2.5989999999999998,306.76,118.01299999999999,92,3.0239999999999996
40,T41,T41,Ben Crane,62,2.5980000000000003,271.681,104.59200000000001,54,2.929
41,T41,T41,Charley Hoffman,97,2.5980000000000003,305.77,117.68299999999999,84,3.278
42,T41,T41,Martin Laird,77,2.5980000000000003,302.32,116.352,70,3.201
43,T41,T41,Carlos Ortiz,100,2.5980000000000003,299.615,115.318,99,3.109
44,T45,T45,Chesson Hadley,101,2.597,290.971,112.04299999999999,92,3.31
45,T45,T45,Russell Knox,96,2.597,286.21299999999997,110.22399999999999,100,2.9960000000000004
46,47,47,K.J. Choi,66,2.596,282.64,108.866,58,3.275
47,48,48,Alex Cejka,94,2.595,281.657,108.51799999999999,84,3.2230000000000003
48,T49,T49,Chris Stroud,84,2.594,283.377,109.225,72,3.028
49,T49,T49,Daniel Summerhays,101,2.594,286.415,110.416,84,3.015
50,51,51,Chad Campbell,97,2.593,285.687,110.19,101,2.9
51,T52,T52,Aaron Baddeley,76,2.592,306.004,118.039,41,2.95
52,T52,T52,Ryan Palmer,80,2.592,307.7,118.70299999999999,64,3.116
53,T52,T52,Cameron Tringale,96,2.592,281.682,108.665,89,3.016
54,55,55,Chris Kirk,76,2.59,286.685,110.671,66,3.15
55,56,56,Lucas Glover,79,2.5869999999999997,300.932,116.34200000000001,83,3.011
56,T57,T57,Matt Every,73,2.5860000000000003,293.818,113.619,71,3.008
57,T57,T57,Jason Gore,76,2.5860000000000003,291.63,112.76299999999999,64,3.0439999999999996
58,T59,T59,Kevin Kisner,104,2.583,286.996,111.11200000000001,112,3.116
59,T59,T59,Justin Thomas,106,2.583,306.496,118.663,100,3.112
60,61,61,Hideki Matsuyama,95,2.582,295.393,114.389,86,3.1189999999999998
61,62,62,Padraig Harrington,60,2.58,294.34,114.071,57,2.99
62,63,63,Zach Johnson,90,2.5780000000000003,284.423,110.306,84,3.1860000000000004
63,64,64,Derek Fathauer,81,2.576,288.454,111.956,72,2.965
64,T65,T65,Carl Pettersson,106,2.575,293.416,113.93,103,3.01
65,T65,T65,Webb Simpson,81,2.575,287.32099999999997,111.598,72,3.304
66,67,67,Jamie Donaldson,50,2.573,294.997,114.62899999999999,45,3.09
67,T68,T68,Blayne Barber,76,2.572,288.07,112.001,69,3.16
68,T68,T68,James Hahn,94,2.572,301.117,117.079,77,3.388
69,T68,T68,Michael Thompson,83,2.572,292.988,113.90299999999999,84,3.071
70,71,71,Marc Leishman,74,2.57,297.374,115.69200000000001,63,3.225
71,T72,T72,Phil Mickelson,70,2.569,303.382,118.089,52,3.0039999999999996
72,T72,T72,Andrew Svoboda,80,2.569,289.905,112.86,75,2.924
73,T74,T74,Andres Gonzales,90,2.5669999999999997,297.095,115.74799999999999,91,3.168
74,T74,T74,Vijay Singh,78,2.5669999999999997,291.86,113.709,74,3.0869999999999997
75,T74,T74,Kevin Streelman,95,2.5669999999999997,290.847,113.32,82,3.1630000000000003
76,T77,T77,Cameron Percy,72,2.5639999999999996,295.707,115.33,68,3.2039999999999997
77,T77,T77,Tyrone Van Aswegen,58,2.5639999999999996,288.73900000000003,112.633,38,2.758
78,T79,T79,Francesco Molinari,56,2.563,283.177,110.486,50,3.133
79,T79,T79,Sung Joon Park,79,2.563,285.714,111.46700000000001,67,3.148
80,T79,T79,Brandt Snedeker,98,2.563,289.784,113.07600000000001,92,3.0780000000000003
81,T82,T82,Fabián Gómez,83,2.562,286.585,111.859,76,2.968
82,T82,T82,Danny Lee,120,2.562,285.775,111.555,110,3.042
83,T82,T82,Jeff Overton,94,2.562,288.801,112.73200000000001,84,3.0980000000000003
84,T82,T82,Jim Renner,68,2.562,286.027,111.62200000000001,58,3.083
