,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Ernie Els,57,4,2,2
1,T2,T2,Davis Love III,51,13,8,5
2,T2,T2,Nick Taylor,91,13,4,9
3,4,4,Scott Piercy,90,17,7,10
4,5,5,David Toms,62,20,19,1
5,6,6,Retief Goosen,81,24,9,15
6,7,7,David Lingmerth,90,28,16,12
7,8,8,Jason Day,75,32,5,27
8,9,9,Andres Romero,69,36,25,11
9,10,10,Sean O'Hair,86,38,18,20
10,11,11,Morgan Hoffmann,85,41,14,27
11,12,12,Chez Reavie,56,46,23,23
12,13,13,Oscar Fraustro,58,48,25,23
13,T14,T14,J.B. Holmes,89,52,16,36
14,T14,T14,Carlos Ortiz,100,52,11,41
15,16,16,Bill Lunde,50,53,47,6
16,T17,T17,Billy Horschel,99,54,22,32
17,T17,T17,Scott Stallings,60,54,35,19
18,19,19,Ryan Palmer,80,55,3,52
19,T20,T20,Brian Davis,86,56,36,20
20,T20,T20,Charley Hoffman,97,56,15,41
21,T22,T22,David Hearn,97,60,53,7
22,T22,T22,Heath Slocum,57,60,57,3
23,T22,T22,Justin Thomas,106,60,1,59
24,25,25,Justin Rose,69,62,32,30
25,26,26,Aaron Baddeley,76,64,12,52
26,27,27,Jason Kokrak,88,67,28,39
27,28,28,Martin Laird,77,70,29,41
28,T29,T29,Steven Alker,62,76,62,14
29,T29,T29,Chesson Hadley,101,76,31,45
30,31,31,Michael Thompson,83,77,9,68
31,32,32,Ángel Cabrera,53,78,42,36
32,33,33,Robert Allenby,63,83,60,23
33,34,34,Brian Stuard,97,84,76,8
34,T35,T35,James Hahn,94,87,19,68
35,T35,T35,Ryan Moore,81,87,84,3
36,T35,T35,Brendan Steele,88,87,47,40
37,38,38,Bill Haas,89,89,57,32
38,39,39,Brice Garnett,81,90,73,17
