,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Bubba Watson,71,-.129
1,2,2,Matt Kuchar,97,-.089
2,3,3,Jordan Spieth,91,-.081
3,4,4,Boo Weekley,79,-.068
4,5,5,Dustin Johnson,75,-.063
5,6,6,Jason Kokrak,88,-.060
6,7,7,Stewart Cink,77,-.049
7,8,8,Andres Romero,69,-.040
8,9,9,Jason Day,75,-.039
9,T10,T10,Blayne Barber,76,-.029
10,T10,T10,Patrick Reed,103,-.029
11,12,12,Morgan Hoffmann,85,-.018
12,13,13,Tony Finau,106,-.016
13,T14,T14,Francesco Molinari,56,E
14,T14,T14,D.A. Points,72,E
15,T14,T14,Scott Stallings,60,E
16,T14,T14,Henrik Stenson,63,E
17,18,18,Charley Hoffman,97,+.005
18,19,19,Pat Perez,96,+.006
19,20,20,Russell Henley,87,+.010
20,21,21,Brendan Steele,88,+.012
21,22,22,Brian Harman,90,+.014
22,T23,T23,Ryan Palmer,80,+.015
23,T23,T23,Rory Sabbatini,81,+.015
24,25,25,George McNeill,93,+.016
25,26,26,Keegan Bradley,87,+.017
26,27,27,Paul Casey,87,+.018
27,T28,T28,Chris Kirk,76,+.019
28,T28,T28,Johnson Wagner,68,+.019
29,30,30,Zach Johnson,90,+.021
30,31,31,James Hahn,94,+.023
31,32,32,Webb Simpson,81,+.029
32,33,33,Kevin Kisner,104,+.031
33,34,34,Carl Pettersson,106,+.034
34,35,35,Phil Mickelson,70,+.035
35,36,36,Bill Haas,89,+.037
36,37,37,J.B. Holmes,89,+.040
37,38,38,Shawn Stefani,94,+.043
38,T39,T39,Jim Furyk,71,+.044
39,T39,T39,Willy Wilcox,58,+.044
40,41,41,Scott Brown,97,+.045
41,42,42,Sergio Garcia,59,+.047
42,T43,T43,Martin Flores,95,+.048
43,T43,T43,Ryo Ishikawa,90,+.048
44,T43,T43,Justin Rose,69,+.048
45,T43,T43,Justin Thomas,106,+.048
46,47,47,Charl Schwartzel,67,+.049
47,48,48,Cameron Percy,72,+.050
48,49,49,Robert Garrigus,70,+.051
49,50,50,Robert Streb,110,+.053
50,51,51,Derek Ernst,75,+.056
51,T52,T52,Chad Collins,79,+.058
52,T52,T52,Brooks Koepka,84,+.058
53,54,54,Matt Jones,89,+.059
54,55,55,Hideki Matsuyama,95,+.061
55,T56,T56,Derek Fathauer,81,+.063
56,T56,T56,Tyrone Van Aswegen,58,+.063
57,58,58,Tom Hoge,83,+.065
58,59,59,Billy Horschel,99,+.066
59,T60,T60,Jason Dufner,76,+.067
60,T60,T60,Jim Herman,88,+.067
61,T60,T60,Greg Owen,58,+.067
62,T63,T63,Jerry Kelly,79,+.068
63,T63,T63,Davis Love III,51,+.068
64,65,65,Jamie Donaldson,50,+.069
65,66,66,Mark Wilson,89,+.070
66,T67,T67,Whee Kim,71,+.071
67,T67,T67,Danny Lee,120,+.071
68,69,69,Charles Howell III,105,+.072
69,70,70,Kevin Chappell,86,+.073
70,71,71,Jon Curran,83,+.076
71,72,72,Seung-Yul Noh,65,+.077
72,T73,T73,Steven Bowditch,103,+.078
73,T73,T73,Jonathan Byrd,69,+.078
74,75,75,Gary Woodland,81,+.079
75,76,76,Bo Van Pelt,81,+.080
76,T77,T77,Luke Guthrie,84,+.081
77,T77,T77,Hudson Swafford,97,+.081
78,79,79,Andrew Putnam,68,+.082
79,80,80,Carlos Ortiz,100,+.083
80,T81,T81,Oscar Fraustro,58,+.085
81,T81,T81,Hunter Mahan,88,+.085
82,83,83,Bryce Molder,91,+.086
83,84,84,Ian Poulter,68,+.087
84,85,85,Jimmy Walker,89,+.088
85,86,86,Alex Prugh,84,+.089
86,T87,T87,Ángel Cabrera,53,+.091
87,T87,T87,Brendon de Jonge,106,+.091
88,89,89,Robert Allenby,63,+.092
89,T90,T90,Greg Chalmers,58,+.093
90,T90,T90,Max Homa,78,+.093
91,T92,T92,Erik Compton,86,+.094
92,T92,T92,David Lingmerth,90,+.094
93,T92,T92,Daniel Summerhays,101,+.094
94,T92,T92,Brendon Todd,96,+.094
95,96,96,Lee Westwood,56,+.095
96,T97,T97,Brian Davis,86,+.096
97,T97,T97,Sean O'Hair,86,+.096
98,T99,T99,Luke Donald,71,+.097
99,T99,T99,Andres Gonzales,90,+.097
100,T99,T99,Louis Oosthuizen,68,+.097
101,T99,T99,Scott Pinckney,88,+.097
102,T99,T99,Michael Thompson,83,+.097
103,T104,T104,Harris English,105,+.102
104,T104,T104,Brandt Snedeker,98,+.102
105,T106,T106,Roberto Castro,54,+.103
106,T106,T106,Marc Leishman,74,+.103
107,T106,T106,Patrick Rodgers,57,+.103
108,109,109,John Peterson,84,+.104
109,110,110,Padraig Harrington,60,+.105
110,111,111,Ricky Barnes,82,+.106
111,112,112,Kevin Streelman,95,+.107
112,T113,T113,Retief Goosen,81,+.108
113,T113,T113,Mark Hubbard,79,+.108
114,115,115,Camilo Villegas,83,+.109
115,T116,T116,Zac Blair,108,+.110
116,T116,T116,Jason Bohn,95,+.110
117,118,118,Aaron Baddeley,76,+.111
118,119,119,Jason Gore,76,+.112
119,120,120,Ken Duke,93,+.114
120,121,121,Scott Piercy,90,+.116
121,122,122,Chesson Hadley,101,+.117
122,T123,T123,Ben Crane,62,+.120
123,T123,T123,Bill Lunde,50,+.120
124,T125,T125,Alex Cejka,94,+.121
125,T125,T125,Billy Hurley III,83,+.121
126,T125,T125,David Toms,62,+.121
127,T128,T128,J.J. Henry,94,+.124
128,T128,T128,Byron Smith,59,+.124
129,130,130,Sangmoon Bae,98,+.126
130,T131,T131,Scott Langley,94,+.128
131,T131,T131,Sam Saunders,83,+.128
132,T131,T131,Nick Taylor,91,+.128
133,134,134,Vijay Singh,78,+.129
134,T135,T135,William McGirt,103,+.130
135,T135,T135,Steve Wheatcroft,87,+.130
136,T137,T137,Sung Joon Park,79,+.131
137,T137,T137,Jonathan Randolph,72,+.131
138,139,139,Rickie Fowler,76,+.133
139,T140,T140,Colt Knost,90,+.136
140,T140,T140,Martin Laird,77,+.136
141,T142,T142,John Merrick,78,+.141
142,T142,T142,John Senden,80,+.141
143,144,144,Chad Campbell,97,+.143
144,145,145,K.J. Choi,66,+.144
145,146,146,Brian Stuard,97,+.145
146,147,147,Jonas Blixt,78,+.146
147,148,148,Daniel Berger,97,+.147
148,T149,T149,Graham DeLaet,65,+.149
149,T149,T149,Tim Wilkinson,73,+.149
150,T151,T151,Eric Axley,57,+.150
151,T151,T151,Nicholas Thompson,90,+.150
152,153,153,Nick Watney,91,+.152
153,154,154,Jhonattan Vegas,90,+.153
154,T155,T155,Steven Alker,62,+.154
155,T155,T155,Kevin Na,98,+.154
156,157,157,Jeff Overton,94,+.156
157,158,158,Ernie Els,57,+.157
158,159,159,Kyle Reifers,96,+.159
159,160,160,Michael Putnam,87,+.160
160,161,161,Charlie Beljan,76,+.162
161,162,162,Russell Knox,96,+.163
162,163,163,Ryan Moore,81,+.165
163,164,164,Roger Sloan,56,+.172
164,165,165,Troy Merritt,91,+.175
165,166,166,David Hearn,97,+.179
166,T167,T167,John Huh,102,+.181
167,T167,T167,Geoff Ogilvy,50,+.181
168,169,169,Adam Scott,51,+.183
169,170,170,Gonzalo Fernandez-Castaño,81,+.184
170,171,171,Lucas Glover,79,+.185
171,172,172,Brice Garnett,81,+.186
172,173,173,Ben Martin,93,+.187
173,174,174,Cameron Tringale,96,+.195
174,T175,T175,Fabián Gómez,83,+.199
175,T175,T175,Adam Hadwin,95,+.199
176,177,177,Jim Renner,68,+.214
177,178,178,Justin Leonard,61,+.217
178,179,179,Andrew Svoboda,80,+.222
179,180,180,Chris Stroud,84,+.223
180,181,181,Heath Slocum,57,+.229
181,182,182,Chez Reavie,56,+.232
182,183,183,Spencer Levin,99,+.234
183,184,184,Matt Every,73,+.264
