,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Dustin Johnson,75,305.7,11005.1,36,337.2,263.0
1,2,2,Jason Day,75,303.5,16084.0,53,332.5,258.4
2,3,3,Tony Finau,106,302.7,21491.0,71,343.1,267.1
3,4,4,Bubba Watson,71,301.8,13882.4,46,334.7,278.5
4,5,5,J.B. Holmes,89,301.6,16588.5,55,339.6,263.7
5,6,6,Jason Kokrak,88,298.8,21814.7,73,339.1,256.0
6,7,7,Patrick Rodgers,57,298.7,11350.7,38,318.6,270.8
7,8,8,Justin Thomas,106,297.7,24708.1,83,328.6,262.2
8,9,9,Charlie Beljan,76,297.1,14260.1,48,323.8,269.0
9,10,10,Aaron Baddeley,76,295.7,8576.3,29,311.8,266.0
10,T11,T11,Brooks Koepka,84,295.5,18323.2,62,321.7,249.2
11,T11,T11,Adam Scott,51,295.5,7092.3,24,314.8,263.1
12,13,13,Robert Garrigus,70,294.8,10316.4,35,333.9,254.9
13,14,14,Daniel Berger,97,293.8,14104.6,48,319.3,256.6
14,15,15,Hudson Swafford,97,293.2,19935.4,68,321.5,248.8
15,T16,T16,Harris English,105,292.6,22528.9,77,323.9,257.1
16,T16,T16,Brendan Steele,88,292.6,22533.4,77,314.8,252.4
17,T18,T18,Keegan Bradley,87,292.5,19015.6,65,319.2,259.7
18,T18,T18,Gary Woodland,81,292.5,13747.5,47,335.8,249.1
19,20,20,Graham DeLaet,65,292.4,13160.2,45,318.1,271.8
20,21,21,Ryan Palmer,80,292.1,16067.6,55,328.3,265.2
21,22,22,Justin Rose,69,291.9,12842.8,44,317.1,270.3
22,23,23,Jhonattan Vegas,90,291.0,16879.7,58,317.7,260.2
23,24,24,Ángel Cabrera,53,290.7,11918.2,41,325.5,255.5
24,25,25,Scott Piercy,90,290.6,21503.8,74,326.5,256.8
25,26,26,Charley Hoffman,97,290.3,20033.4,69,334.9,254.9
26,27,27,Martin Laird,77,289.8,15070.9,52,320.9,248.8
27,T28,T28,Rickie Fowler,76,289.6,13901.7,48,331.2,252.0
28,T28,T28,Carlos Ortiz,100,289.6,22299.8,77,326.1,245.2
29,30,30,Phil Mickelson,70,289.5,13028.2,45,328.4,245.9
30,31,31,Kevin Chappell,86,289.0,13871.4,48,311.2,250.7
31,32,32,Jimmy Walker,89,288.6,14720.1,51,313.4,255.2
32,33,33,Seung-Yul Noh,65,288.5,13558.1,47,315.8,255.9
33,34,34,Alex Prugh,84,287.2,19817.6,69,318.2,255.6
34,35,35,Charles Howell III,105,287.1,24404.8,85,318.3,247.1
35,36,36,Steven Bowditch,103,286.7,22363.0,78,326.0,248.9
