,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Bubba Watson,71,1.876,1.194,0.684,-0.002,56
1,2,2,Henrik Stenson,63,1.774,0.44799999999999995,1.244,0.08199999999999999,44
2,3,3,Jim Furyk,71,1.6580000000000001,0.064,1.081,0.513,52
3,4,4,Jordan Spieth,91,1.5830000000000002,0.494,0.618,0.47100000000000003,66
4,5,5,Jason Day,75,1.52,0.772,0.461,0.287,57
5,6,6,Justin Rose,69,1.4709999999999999,0.55,0.6920000000000001,0.228,49
6,7,7,Hideki Matsuyama,95,1.3880000000000001,0.496,0.637,0.254,70
7,8,8,Webb Simpson,81,1.3459999999999999,0.225,0.5820000000000001,0.539,64
8,9,9,Dustin Johnson,75,1.3259999999999998,0.96,0.579,-0.212,54
9,10,10,Paul Casey,87,1.202,0.392,0.991,-0.182,63
10,11,11,Lucas Glover,79,1.17,0.591,0.691,-0.111,72
11,12,12,Keegan Bradley,87,1.088,0.436,0.389,0.263,64
12,13,13,Zach Johnson,90,1.081,0.24,0.605,0.23600000000000002,70
13,14,14,Sergio Garcia,59,1.067,0.442,0.46799999999999997,0.157,36
14,15,15,Brendan Steele,88,1.005,0.363,0.6,0.040999999999999995,76
15,16,16,J.B. Holmes,89,0.9490000000000001,0.42700000000000005,0.253,0.268,66
16,17,17,Justin Thomas,106,0.9259999999999999,0.35200000000000004,0.385,0.188,96
17,18,18,Jason Dufner,76,0.922,0.242,0.39899999999999997,0.281,48
18,19,19,Willy Wilcox,58,0.863,0.662,0.14400000000000002,0.057999999999999996,41
19,20,20,Francesco Molinari,56,0.8590000000000001,0.324,0.5720000000000001,-0.037000000000000005,43
20,21,21,Russell Knox,96,0.8270000000000001,0.098,0.622,0.107,87
21,22,22,Louis Oosthuizen,68,0.825,0.33899999999999997,0.397,0.08800000000000001,47
22,23,23,Matt Kuchar,97,0.8170000000000001,0.136,0.20199999999999999,0.479,77
23,24,24,Ryan Palmer,80,0.813,0.35600000000000004,0.529,-0.07200000000000001,54
24,25,25,Vijay Singh,78,0.812,0.152,0.42,0.24100000000000002,69
25,26,26,Rickie Fowler,76,0.779,0.12300000000000001,0.59,0.066,57
26,27,27,Robert Streb,110,0.7120000000000001,0.309,0.175,0.228,96
27,28,28,Kevin Na,98,0.711,-0.32899999999999996,0.381,0.66,71
28,29,29,Bill Haas,89,0.6890000000000001,0.14,0.42200000000000004,0.126,71
