,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Francesco Molinari,56,76.88,572,744
1,2,2,David Toms,62,74.5,602,808
2,3,3,Chez Reavie,56,71.89,560,779
3,4,4,Justin Leonard,61,71.7,613,855
4,5,5,Jason Bohn,95,71.58,947,1323
5,6,6,Steven Alker,62,71.41,597,836
6,7,7,Colt Knost,90,71.24,852,1196
7,8,8,Zach Johnson,90,71.21,873,1226
8,9,9,Jerry Kelly,79,70.45,775,1100
9,10,10,Brendon Todd,96,70.24,918,1307
10,11,11,Ryan Moore,81,70.05,767,1095
11,12,12,Henrik Stenson,63,69.91,590,844
12,13,13,Heath Slocum,57,69.51,513,738
13,14,14,John Huh,102,69.44,975,1404
14,15,15,Brian Stuard,97,69.31,899,1297
15,16,16,Spencer Levin,99,69.09,932,1349
16,17,17,Jim Furyk,71,69.08,621,899
17,18,18,Willy Wilcox,58,68.98,516,748
18,19,19,Nicholas Thompson,90,68.7,821,1195
19,20,20,Kevin Streelman,95,68.63,875,1275
20,21,21,Cameron Tringale,96,68.5,922,1346
21,22,22,John Merrick,78,68.32,703,1029
22,T23,T23,Zac Blair,108,67.91,984,1449
23,T23,T23,Ken Duke,93,67.91,840,1237
24,25,25,William McGirt,103,67.87,976,1438
25,26,26,Webb Simpson,81,67.85,745,1098
26,27,27,Jason Dufner,76,67.81,693,1022
27,28,28,Russell Knox,96,67.76,910,1343
28,29,29,Brian Davis,86,67.66,772,1141
29,30,30,John Peterson,84,67.52,790,1170
30,31,31,Ben Crane,62,67.49,548,812
31,32,32,Jon Curran,83,67.46,740,1097
32,33,33,Jim Herman,88,67.1,824,1228
33,34,34,Kevin Kisner,104,66.85,972,1454
34,35,35,Bryce Molder,91,66.8,809,1211
35,36,36,Jason Gore,76,66.67,670,1005
36,37,37,John Senden,80,66.6,704,1057
37,38,38,Mark Hubbard,79,66.32,711,1072
38,39,39,Billy Hurley III,83,65.91,723,1097
39,40,40,Roberto Castro,54,65.76,457,695
40,41,41,Chad Campbell,97,65.75,889,1352
41,42,42,Sung Joon Park,79,65.73,702,1068
42,43,43,Pat Perez,96,65.7,881,1341
43,44,44,Brendon de Jonge,106,65.69,969,1475
44,45,45,Jonathan Byrd,69,65.6,593,904
45,46,46,David Lingmerth,90,65.51,828,1264
46,47,47,Graham DeLaet,65,65.46,597,912
47,48,48,Adam Hadwin,95,65.43,846,1293
48,49,49,Hideki Matsuyama,95,65.25,830,1272
49,50,50,Ben Martin,93,65.09,828,1272
50,51,51,Davis Love III,51,64.94,463,713
51,52,52,Keegan Bradley,87,64.85,762,1175
52,53,53,Mark Wilson,89,64.53,764,1184
53,54,54,Russell Henley,87,64.39,763,1185
54,55,55,Brian Harman,90,64.37,813,1263
55,56,56,Derek Ernst,75,64.3,634,986
56,57,57,Chris Stroud,84,64.22,754,1174
57,T58,T58,Paul Casey,87,64.16,741,1155
58,T58,T58,David Hearn,97,64.16,870,1356
59,60,60,George McNeill,93,64.1,832,1298
60,61,61,K.J. Choi,66,64.09,555,866
61,62,62,Sam Saunders,83,64.0,720,1125
62,63,63,Danny Lee,120,63.92,1070,1674
63,64,64,Justin Rose,69,63.87,594,930
64,65,65,Kevin Chappell,86,63.86,767,1201
65,T66,T66,Chad Collins,79,63.82,702,1100
66,T66,T66,Lucas Glover,79,63.82,702,1100
67,68,68,Alex Cejka,94,63.78,817,1281
68,69,69,Billy Horschel,99,63.77,845,1325
69,70,70,Blayne Barber,76,63.72,657,1031
70,71,71,Bill Lunde,50,63.59,407,640
71,72,72,Ian Poulter,68,63.58,569,895
72,73,73,Bill Haas,89,63.35,764,1206
73,74,74,Hudson Swafford,97,63.34,838,1323
74,75,75,Boo Weekley,79,63.27,696,1100
75,76,76,Matt Kuchar,97,63.23,834,1319
76,77,77,Tim Wilkinson,73,63.09,624,989
77,78,78,Robert Allenby,63,63.06,519,823
78,79,79,Steve Wheatcroft,87,63.03,728,1155
79,80,80,Jordan Spieth,91,62.91,775,1232
80,81,81,Troy Merritt,91,62.83,796,1267
81,82,82,Scott Brown,97,62.77,848,1351
82,83,83,Charlie Beljan,76,62.61,628,1003
83,84,84,Kevin Na,98,62.51,832,1331
84,85,85,Greg Chalmers,58,62.17,470,756
