,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,1,1,Ryan Palmer,80,1.501,99.064,66,1.5290000000000001,1.446
1,2,2,David Toms,62,1.5,92.98100000000001,62,1.524,1.464
2,T3,T3,Harris English,105,1.499,148.439,99,1.5319999999999998,1.474
3,T3,T3,Bill Lunde,50,1.499,59.95399999999999,40,1.52,1.472
4,T3,T3,Carl Pettersson,106,1.499,157.411,105,1.53,1.484
5,T3,T3,Camilo Villegas,83,1.499,127.396,85,1.526,1.48
6,T7,T7,Ernie Els,57,1.4980000000000002,56.941,38,1.525,1.482
7,T7,T7,Brian Stuard,97,1.4980000000000002,142.29399999999998,95,1.5219999999999998,1.445
8,9,9,Ben Crane,62,1.4969999999999999,80.839,54,1.526,1.47
9,T10,T10,Oscar Fraustro,58,1.496,64.321,43,1.524,1.4709999999999999
10,T10,T10,Louis Oosthuizen,68,1.496,67.319,45,1.518,1.455
11,T10,T10,Jordan Spieth,91,1.496,103.23299999999999,69,1.5219999999999998,1.4669999999999999
12,T10,T10,Nick Taylor,91,1.496,137.607,92,1.525,1.454
13,T14,T14,Ángel Cabrera,53,1.495,76.22,51,1.526,1.426
14,T14,T14,Robert Garrigus,70,1.495,79.225,53,1.527,1.442
15,T14,T14,Luke Guthrie,84,1.495,121.09700000000001,81,1.526,1.466
16,T14,T14,Jason Kokrak,88,1.495,127.07799999999999,85,1.521,1.455
17,T14,T14,David Lingmerth,90,1.495,128.534,86,1.526,1.449
18,T19,T19,Jamie Donaldson,50,1.494,67.232,45,1.52,1.4769999999999999
19,T19,T19,Chesson Hadley,101,1.494,137.444,92,1.5390000000000001,1.4069999999999998
20,T19,T19,Justin Leonard,61,1.494,94.131,63,1.531,1.416
21,T19,T19,Hunter Mahan,88,1.494,109.02799999999999,73,1.5190000000000001,1.462
22,T19,T19,Jeff Overton,94,1.494,128.47,86,1.5190000000000001,1.439
23,T19,T19,Adam Scott,51,1.494,55.272,37,1.516,1.469
24,T19,T19,Brandt Snedeker,98,1.494,140.455,94,1.525,1.43
25,T19,T19,Nicholas Thompson,90,1.494,128.454,86,1.5319999999999998,1.4169999999999998
26,T19,T19,Bubba Watson,71,1.494,79.173,53,1.524,1.449
27,T28,T28,Jonas Blixt,78,1.493,86.605,58,1.5390000000000001,1.456
28,T28,T28,Chad Campbell,97,1.493,150.833,101,1.5219999999999998,1.453
29,T28,T28,Brice Garnett,81,1.493,109.001,73,1.52,1.4609999999999999
30,T28,T28,Jim Herman,88,1.493,126.88799999999999,85,1.5230000000000001,1.436
31,T28,T28,Dustin Johnson,75,1.493,73.167,49,1.528,1.455
32,T28,T28,Martin Laird,77,1.493,104.527,70,1.5330000000000001,1.442
33,T28,T28,Scott Piercy,90,1.493,128.363,86,1.528,1.4580000000000002
34,T35,T35,Zach Johnson,90,1.492,128.34,86,1.517,1.412
35,T35,T35,Chris Stroud,84,1.492,107.391,72,1.5330000000000001,1.433
36,T35,T35,Michael Thompson,83,1.492,126.779,85,1.5219999999999998,1.4480000000000002
37,T35,T35,Bo Van Pelt,81,1.492,111.867,75,1.521,1.463
38,T39,T39,Robert Allenby,63,1.4909999999999999,89.43,60,1.5230000000000001,1.4269999999999998
39,T39,T39,Blayne Barber,76,1.4909999999999999,102.898,69,1.52,1.439
40,T39,T39,John Merrick,78,1.4909999999999999,96.929,65,1.52,1.44
41,T39,T39,Carlos Ortiz,100,1.4909999999999999,147.575,99,1.52,1.453
42,T39,T39,Scott Stallings,60,1.4909999999999999,80.527,54,1.5190000000000001,1.473
43,T39,T39,Justin Thomas,106,1.4909999999999999,152.062,102,1.5230000000000001,1.454
44,T39,T39,Jimmy Walker,89,1.4909999999999999,108.833,73,1.521,1.4180000000000001
45,T46,T46,K.J. Choi,66,1.49,87.89200000000001,59,1.52,1.4180000000000001
46,T46,T46,Charles Howell III,105,1.49,162.359,109,1.525,1.42
47,T46,T46,Hideki Matsuyama,95,1.49,128.142,86,1.5219999999999998,1.45
48,T46,T46,Sung Joon Park,79,1.49,99.81,67,1.534,1.444
49,T46,T46,Heath Slocum,57,1.49,65.569,44,1.5230000000000001,1.455
50,T51,T51,Scott Brown,97,1.489,126.523,85,1.521,1.43
51,T51,T51,Roberto Castro,54,1.489,58.081,39,1.518,1.462
52,T51,T51,Brian Davis,86,1.489,126.57700000000001,85,1.517,1.43
53,T51,T51,Padraig Harrington,60,1.489,84.845,57,1.516,1.429
54,T51,T51,Charley Hoffman,97,1.489,126.60700000000001,85,1.521,1.459
55,T51,T51,J.B. Holmes,89,1.489,105.696,71,1.5330000000000001,1.44
56,T57,T57,Sean O'Hair,86,1.4880000000000002,111.618,75,1.5219999999999998,1.425
57,T57,T57,Roger Sloan,56,1.4880000000000002,62.513999999999996,42,1.526,1.411
58,T57,T57,Tyrone Van Aswegen,58,1.4880000000000002,56.541000000000004,38,1.515,1.43
59,T60,T60,Derek Fathauer,81,1.4869999999999999,107.06299999999999,72,1.5219999999999998,1.435
60,T60,T60,Morgan Hoffmann,85,1.4869999999999999,117.49700000000001,79,1.52,1.419
61,T60,T60,John Huh,102,1.4869999999999999,163.602,110,1.5219999999999998,1.446
62,T60,T60,Chris Kirk,76,1.4869999999999999,98.12799999999999,66,1.518,1.439
63,T60,T60,Charl Schwartzel,67,1.4869999999999999,62.435,42,1.516,1.449
64,T60,T60,Cameron Tringale,96,1.4869999999999999,132.334,89,1.518,1.454
65,T66,T66,Aaron Baddeley,76,1.486,60.931000000000004,41,1.515,1.44
66,T66,T66,Lucas Glover,79,1.486,121.84899999999999,82,1.515,1.375
