,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,David Toms,62,5.62,43,765,+0.16
1,2,2,Bryce Molder,91,8.6,92,1070,+0.09
2,3,3,Chez Reavie,56,8.66,60,693,+0.02
3,4,4,Troy Merritt,91,8.83,100,1132,+0.11
4,5,5,Jason Bohn,95,8.84,107,1211,+0.10
5,6,6,Colt Knost,90,8.92,92,1031,+0.24
6,7,7,Scott Piercy,90,9.23,106,1148,+0.01
7,8,8,Francesco Molinari,56,9.41,56,595,+0.16
8,9,9,Nicholas Thompson,90,9.47,92,971,+0.12
9,10,10,Ken Duke,93,9.54,103,1080,+0.13
10,11,11,Cameron Tringale,96,9.6,105,1094,+0.06
11,12,12,Bill Lunde,50,9.82,49,499,+0.39
12,13,13,Zac Blair,108,10.12,124,1225,+0.12
13,14,14,Steven Alker,62,10.2,71,696,+0.30
14,15,15,Gonzalo Fernandez-Castaño,81,10.23,89,870,+0.02
15,16,16,George McNeill,93,10.38,128,1233,+0.02
16,17,17,Willy Wilcox,58,10.39,59,568,-0.02
17,18,18,Scott Pinckney,88,10.52,108,1027,+0.11
18,19,19,Mark Wilson,89,10.6,119,1123,+0.22
19,20,20,John Peterson,84,10.66,114,1069,+0.11
20,21,21,John Huh,102,10.67,132,1237,+0.19
21,22,22,Pat Perez,96,10.8,124,1148,E
22,23,23,Justin Rose,69,11.06,75,678,-0.01
23,24,24,Heath Slocum,57,11.07,60,542,+0.23
24,25,25,John Merrick,78,11.14,90,808,+0.14
25,26,26,Jerry Kelly,79,11.2,103,920,+0.02
26,27,27,Brian Stuard,97,11.21,123,1097,+0.10
27,28,28,Roger Sloan,56,11.29,62,549,+0.18
28,29,29,Daniel Berger,97,11.32,130,1148,-0.08
29,T30,T30,Scott Langley,94,11.38,125,1098,+0.08
30,T30,T30,Sam Saunders,83,11.38,99,870,-0.01
31,32,32,K.J. Choi,66,11.39,90,790,+0.08
32,33,33,Russell Knox,96,11.41,138,1209,+0.12
33,34,34,Kevin Streelman,95,11.42,116,1016,-0.01
34,35,35,Brendon Todd,96,11.5,122,1061,+0.07
35,36,36,Ryan Moore,81,11.53,98,850,+0.14
36,37,37,Jonathan Byrd,69,11.6,82,707,+0.09
37,38,38,Mark Hubbard,79,11.65,99,850,+0.24
38,39,39,Charles Howell III,105,11.74,160,1363,-0.07
39,40,40,Roberto Castro,54,11.78,59,501,+0.15
40,41,41,Brice Garnett,81,11.82,105,888,+0.14
41,T42,T42,Aaron Baddeley,76,11.84,107,904,-0.03
42,T42,T42,Martin Laird,77,11.84,119,1005,-0.07
43,44,44,Jim Herman,88,11.86,127,1071,+0.14
44,45,45,Chad Collins,79,11.89,104,875,+0.21
45,T46,T46,Rickie Fowler,76,11.91,94,789,-0.04
46,T46,T46,Sung Joon Park,79,11.91,104,873,+0.03
47,T48,T48,Brian Harman,90,11.93,130,1090,+0.12
48,T48,T48,Ian Poulter,68,11.93,79,662,+0.05
49,50,50,Chris Stroud,84,12.0,113,942,+0.12
50,51,51,Hideki Matsuyama,95,12.04,118,980,+0.03
51,52,52,David Hearn,97,12.05,142,1178,+0.05
52,53,53,Gary Woodland,81,12.18,91,747,-0.01
53,54,54,Kyle Reifers,96,12.24,136,1111,+0.01
54,55,55,Spencer Levin,99,12.29,142,1155,+0.13
55,T56,T56,Brian Davis,86,12.3,121,984,+0.16
56,T56,T56,Charley Hoffman,97,12.3,130,1057,+0.04
57,58,58,Jason Gore,76,12.35,100,810,+0.12
58,59,59,James Hahn,94,12.38,134,1082,-0.03
59,T60,T60,Jim Furyk,71,12.48,90,721,+0.01
60,T60,T60,Steve Wheatcroft,87,12.48,125,1002,+0.11
61,62,62,Webb Simpson,81,12.49,111,889,+0.13
62,63,63,Jordan Spieth,91,12.57,114,907,+0.06
63,64,64,Zach Johnson,90,12.59,123,977,+0.09
64,65,65,Tom Hoge,83,12.61,114,904,-0.03
65,66,66,Jamie Donaldson,50,12.64,56,443,+0.05
66,67,67,Oscar Fraustro,58,12.66,70,553,+0.13
67,68,68,Boo Weekley,79,12.67,118,931,+0.08
68,69,69,Michael Putnam,87,12.71,119,936,+0.13
69,70,70,Scott Stallings,60,12.72,86,676,+0.09
70,71,71,Derek Ernst,75,12.73,111,872,+0.02
71,72,72,Keegan Bradley,87,12.75,113,886,+0.06
72,73,73,Adam Hadwin,95,12.78,143,1119,+0.06
73,74,74,Scott Brown,97,12.82,144,1123,+0.17
74,75,75,Chris Kirk,76,12.92,101,782,+0.10
75,76,76,Whee Kim,71,12.94,100,773,+0.06
76,77,77,Greg Owen,58,12.95,72,556,+0.04
77,78,78,John Senden,80,13.03,93,714,+0.18
78,79,79,Jason Dufner,76,13.06,87,666,+0.02
79,80,80,Ben Martin,93,13.12,141,1075,+0.18
80,81,81,Bill Haas,89,13.18,130,986,+0.08
81,82,82,Kevin Kisner,104,13.19,172,1304,+0.13
82,83,83,Charlie Beljan,76,13.2,104,788,+0.17
83,84,84,Fabián Gómez,83,13.22,127,961,+0.24
84,85,85,Byron Smith,59,13.23,79,597,+0.08
85,86,86,William McGirt,103,13.24,179,1352,+0.07
86,87,87,Brendan Steele,88,13.25,139,1049,+0.06
87,88,88,Alex Prugh,84,13.28,132,994,+0.08
88,89,89,Brendon de Jonge,106,13.29,170,1279,+0.02
89,90,90,Justin Leonard,61,13.32,100,751,+0.20
90,T91,T91,Robert Streb,110,13.35,179,1341,+0.07
91,T91,T91,Nick Watney,91,13.35,150,1124,+0.03
92,93,93,Greg Chalmers,58,13.39,66,493,+0.12
93,94,94,Kevin Chappell,86,13.45,140,1041,+0.06
94,95,95,Hudson Swafford,97,13.47,155,1151,+0.08
95,96,96,Sergio Garcia,59,13.54,67,495,+0.13
96,97,97,David Lingmerth,90,13.59,140,1030,+0.11
97,98,98,Lee Westwood,56,13.64,60,440,+0.13
98,99,99,Jon Curran,83,13.65,123,901,+0.20
99,100,100,Patrick Rodgers,57,13.72,87,634,+0.15
100,101,101,Danny Lee,120,13.79,191,1385,+0.01
101,102,102,Shawn Stefani,94,13.93,169,1213,+0.01
