,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Jamie Donaldson,16,"21' 8""",5396.5,249
1,2,2,Jonas Blixt,26,"21' 11""",9125.917,417
2,T3,T3,Ian Poulter,19,"22' 4""",9118.167,408
3,T3,T3,Shawn Stefani,26,"22' 4""",16618.583,745
4,5,5,Jordan Spieth,25,"22' 5""",12598.417,563
5,6,6,Vijay Singh,23,"22' 6""",12641.083,562
6,7,7,Bo Van Pelt,28,"22' 7""",11991.917,531
7,T8,T8,Scott Pinckney,27,"22' 9""",14011.417,617
8,T8,T8,Lee Westwood,15,"22' 9""",5737.6669999999995,252
9,10,10,Ken Duke,30,"22' 10""",16629.75,728
10,11,11,Brandt Snedeker,27,"23' 0""",14058.0,612
11,T12,T12,Adam Hadwin,30,"23' 1""",16855.167,729
12,T12,T12,Carl Pettersson,32,"23' 1""",17821.0,771
13,14,14,David Lingmerth,28,"23' 2""",15356.833,662
14,T15,T15,Oscar Fraustro,21,"23' 3""",7737.4169999999995,333
15,T15,T15,Martin Laird,24,"23' 3""",13531.5,582
16,T15,T15,Pat Perez,26,"23' 3""",17346.417,745
17,T15,T15,Chez Reavie,19,"23' 3""",11425.333,492
18,19,19,Lucas Glover,26,"23' 4""",14636.167,628
19,T20,T20,Kevin Chappell,26,"23' 5""",15214.417,649
20,T20,T20,Russell Knox,28,"23' 5""",18903.75,808
21,T22,T22,Greg Chalmers,17,"23' 6""",6766.0,288
22,T22,T22,Danny Lee,36,"23' 6""",20336.0,866
23,T22,T22,Greg Owen,19,"23' 6""",7597.0830000000005,323
24,T22,T22,Michael Putnam,28,"23' 6""",13166.667,560
25,T22,T22,Justin Rose,20,"23' 6""",9827.0,418
26,T27,T27,Jason Bohn,27,"23' 8""",20307.167,859
27,T27,T27,John Merrick,27,"23' 8""",12741.667,539
28,T27,T27,Francesco Molinari,16,"23' 8""",10425.25,440
