,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Bubba Watson,71,204.1,10615.7,52,219.9,184.6
1,2,2,Charlie Beljan,76,203.1,11577.2,57,215.8,181.4
2,3,3,Brooks Koepka,84,202.9,17044.3,84,217.6,188.3
3,4,4,Tony Finau,106,202.7,18854.4,93,220.6,166.0
4,5,5,Dustin Johnson,75,201.9,9891.7,49,219.7,181.7
5,T6,T6,Patrick Rodgers,57,199.8,9192.7,46,211.6,187.6
6,T6,T6,Hudson Swafford,97,199.8,17179.8,86,213.7,181.7
7,8,8,J.B. Holmes,89,199.1,13738.1,69,212.1,181.7
8,9,9,Jason Kokrak,88,198.5,16676.2,84,215.5,169.6
9,10,10,Jhonattan Vegas,90,197.5,15008.8,76,216.8,170.1
10,11,11,Jason Day,75,197.1,12023.2,61,213.3,171.7
11,12,12,Adam Scott,51,196.4,6875.6,35,210.4,154.9
12,13,13,Sergio Garcia,59,195.2,8004.1,41,204.9,179.4
13,T14,T14,Harris English,105,195.0,19108.1,98,208.3,176.2
14,T14,T14,Charles Howell III,105,195.0,20666.8,106,215.5,161.3
15,16,16,Aaron Baddeley,76,194.2,7766.2,40,210.6,178.9
16,17,17,Martin Flores,95,194.0,17266.3,89,204.6,169.4
17,18,18,Keegan Bradley,87,193.9,15897.4,82,206.0,175.2
18,19,19,Jimmy Walker,89,193.8,13759.4,71,211.0,171.8
19,T20,T20,Robert Garrigus,70,193.2,9660.9,50,213.8,163.0
20,T20,T20,Charley Hoffman,97,193.2,16032.2,83,204.8,171.2
21,T20,T20,Brendan Steele,88,193.2,17582.6,91,209.8,153.9
22,T20,T20,Gary Woodland,81,193.2,11401.4,59,213.5,157.1
23,24,24,Martin Laird,77,193.1,12939.2,67,210.3,160.2
24,25,25,Rickie Fowler,76,192.9,12540.9,65,206.9,161.2
25,26,26,Justin Thomas,106,192.8,19663.5,102,205.5,174.8
26,27,27,Nick Watney,91,192.7,16953.6,88,205.6,176.0
27,28,28,Ángel Cabrera,53,192.2,9610.3,50,207.8,168.3
28,29,29,Russell Henley,87,192.0,16129.0,84,204.3,174.6
29,30,30,Ryan Palmer,80,191.9,12667.4,66,205.1,159.4
30,31,31,Graham DeLaet,65,191.7,9966.9,52,210.8,170.4
31,32,32,Henrik Stenson,63,191.5,5552.6,29,207.9,163.8
32,33,33,Daniel Berger,97,191.3,13005.7,68,208.1,162.4
33,34,34,Phil Mickelson,70,190.7,9726.8,51,205.4,164.0
34,35,35,Steven Bowditch,103,190.6,18867.9,99,210.9,141.0
35,36,36,Kevin Chappell,86,190.5,11811.5,62,210.4,173.4
36,37,37,Max Homa,78,190.2,11789.5,62,209.5,169.7
37,T38,T38,Seung-Yul Noh,65,189.9,11016.6,58,201.7,168.5
38,T38,T38,Scott Piercy,90,189.9,16327.9,86,206.2,171.9
39,40,40,Alex Prugh,84,189.8,15186.5,80,205.7,169.2
40,T41,T41,Paul Casey,87,189.7,11949.7,63,201.9,174.0
41,T41,T41,Carlos Ortiz,100,189.7,18399.3,97,204.7,159.5
42,43,43,Michael Putnam,87,188.7,13210.4,70,206.3,153.7
43,44,44,Roger Sloan,56,188.5,7918.4,42,198.7,176.2
44,T45,T45,Andres Gonzales,90,188.4,16395.1,87,203.8,163.1
45,T45,T45,Justin Rose,69,188.4,9987.7,53,199.7,170.4
46,T45,T45,Charl Schwartzel,67,188.4,7722.7,41,201.7,163.7
47,T45,T45,Willy Wilcox,58,188.4,8102.7,43,202.8,141.7
48,49,49,Matt Jones,89,188.3,12990.5,69,205.5,159.0
49,T50,T50,Lucas Glover,79,188.2,15245.6,81,202.5,165.0
50,T50,T50,Robert Streb,110,188.2,20322.3,108,205.5,157.7
51,52,52,Hideki Matsuyama,95,188.1,15802.0,84,204.5,153.7
52,53,53,Adam Hadwin,95,188.0,16733.7,89,206.4,172.3
53,T54,T54,Marc Leishman,74,187.9,11837.3,63,199.7,172.5
54,T54,T54,Scott Pinckney,88,187.9,15221.5,81,203.0,154.8
55,56,56,Shawn Stefani,94,187.7,17077.4,91,200.3,164.7
56,57,57,Billy Horschel,99,187.6,16134.4,86,198.6,158.1
57,T58,T58,Derek Ernst,75,187.2,13106.4,70,204.3,148.9
58,T58,T58,Ryo Ishikawa,90,187.2,16660.0,89,201.6,159.6
59,T60,T60,Scott Stallings,60,187.0,9722.0,52,203.7,165.8
60,T60,T60,Lee Westwood,56,187.0,7666.4,41,199.6,154.4
61,T62,T62,Stewart Cink,77,186.9,12335.7,66,213.6,162.5
62,T62,T62,Sean O'Hair,86,186.9,13455.9,72,202.3,163.7
63,64,64,Geoff Ogilvy,50,186.5,7459.6,40,195.4,167.9
64,65,65,Jamie Donaldson,50,186.4,8387.0,45,198.1,153.3
65,66,66,John Senden,80,186.2,11174.2,60,200.4,163.4
66,T67,T67,Patrick Reed,103,186.0,15441.5,83,204.2,171.1
67,T67,T67,Jordan Spieth,91,186.0,12647.6,68,199.3,167.2
68,T69,T69,Gonzalo Fernandez-Castaño,81,185.8,12079.6,65,198.5,170.6
69,T69,T69,Morgan Hoffmann,85,185.8,14495.3,78,199.0,162.2
70,71,71,George McNeill,93,185.7,15038.9,81,211.8,160.9
71,T72,T72,Padraig Harrington,60,185.6,10576.6,57,198.6,152.4
72,T72,T72,Sam Saunders,83,185.6,13177.9,71,199.9,166.1
73,74,74,James Hahn,94,185.3,14083.1,76,202.1,162.8
