,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,Tony Finau,106,124.07,11910.53,96,129.38,120.27
1,2,2,Charlie Beljan,76,124.02,7813.01,63,127.9,120.4
2,3,3,Bubba Watson,71,123.52,6546.32,53,128.17,120.62
3,4,4,Brooks Koepka,84,122.77,10558.18,86,129.11,114.72
4,5,5,Jhonattan Vegas,90,122.51,9678.26,79,128.71,118.35
5,6,6,Henrik Stenson,63,121.67,3528.53,29,125.68,117.85
6,7,7,Dustin Johnson,75,121.49,5953.09,49,125.92,112.62
7,8,8,Hudson Swafford,97,121.43,10564.53,87,126.19,116.18
8,9,9,Gary Woodland,81,121.14,7389.56,61,125.45,116.59
9,10,10,J.B. Holmes,89,120.62,8563.75,71,124.05,116.26
10,11,11,Adam Scott,51,120.27,4449.89,37,122.85,109.8
11,12,12,Jason Day,75,120.16,7329.66,61,125.78,115.06
12,13,13,Patrick Rodgers,57,120.08,5643.74,47,123.61,116.41
13,14,14,Jason Kokrak,88,119.82,10184.99,85,123.4,116.16
14,15,15,Sergio Garcia,59,119.78,4910.79,41,125.07,115.96
15,16,16,Derek Ernst,75,119.67,8377.1,70,122.54,116.78
16,17,17,Daniel Berger,97,119.57,8608.96,72,125.52,116.0
17,18,18,Charles Howell III,105,119.26,12999.31,109,122.02,115.64
18,19,19,John Senden,80,119.07,7263.22,61,125.16,113.95
19,20,20,Martin Flores,95,118.68,10799.68,91,124.42,114.05
20,21,21,Kevin Chappell,86,118.61,7591.08,64,124.56,115.2
21,T22,T22,Phil Mickelson,70,118.09,6140.63,52,123.56,114.79
22,T22,T22,Nick Watney,91,118.09,10628.18,90,124.25,113.99
23,24,24,Aaron Baddeley,76,118.04,4839.59,41,122.81,114.9
24,25,25,Brendan Steele,88,118.01,10857.24,92,120.94,114.1
25,26,26,Ricky Barnes,82,117.94,7548.35,64,123.81,112.04
26,27,27,Keegan Bradley,87,117.87,9665.16,82,120.87,115.33
27,T28,T28,Robert Garrigus,70,117.85,6246.1,53,122.77,114.16
28,T28,T28,Patrick Reed,103,117.85,9899.53,84,120.9,114.64
29,30,30,Graham DeLaet,65,117.83,6362.71,54,122.71,113.8
30,31,31,Harris English,105,117.74,11656.06,99,121.38,114.35
31,32,32,Stewart Cink,77,117.72,7887.15,67,122.36,114.23
32,33,33,Steven Bowditch,103,117.61,11643.65,99,121.19,111.63
33,34,34,Rickie Fowler,76,117.5,7754.68,66,122.39,114.45
34,35,35,Charl Schwartzel,67,117.41,4931.23,42,121.97,114.8
35,36,36,Max Homa,78,117.35,7510.4,64,121.93,113.71
36,37,37,Paul Casey,87,117.16,7381.14,63,121.56,113.51
37,38,38,Ángel Cabrera,53,117.14,5974.29,51,122.1,113.66
38,39,39,Justin Rose,69,117.1,6323.27,54,123.18,110.61
39,40,40,Seung-Yul Noh,65,116.99,6785.34,58,121.8,112.65
40,41,41,Shawn Stefani,94,116.95,10992.98,94,120.57,113.85
41,42,42,Willy Wilcox,58,116.92,5027.41,43,120.73,113.09
42,T43,T43,Michael Putnam,87,116.89,8533.2,73,122.75,112.88
43,T43,T43,Jimmy Walker,89,116.89,8533.01,73,121.64,111.59
44,45,45,Robert Streb,110,116.82,12967.06,111,120.21,113.22
45,46,46,Scott Pinckney,88,116.53,9555.73,82,122.96,113.05
46,47,47,Russell Henley,87,116.51,9786.74,84,119.78,113.05
47,48,48,Martin Laird,77,116.35,8144.63,70,120.18,112.73
48,T49,T49,Lucas Glover,79,116.34,9656.41,83,122.91,111.33
49,T49,T49,Justin Thomas,106,116.34,11866.3,102,120.47,112.92
50,51,51,Charley Hoffman,97,116.3,9885.34,85,120.56,111.6
51,52,52,Matt Jones,89,116.27,8603.92,74,120.65,111.26
52,53,53,Lee Westwood,56,115.81,4748.15,41,118.24,111.48
53,54,54,Andres Gonzales,90,115.75,10533.06,91,120.51,112.31
54,T55,T55,Marc Leishman,74,115.69,7288.59,63,118.98,112.23
55,T55,T55,George McNeill,93,115.69,9949.34,86,119.66,111.68
56,57,57,Alex Prugh,84,115.67,9600.6,83,121.03,111.83
57,58,58,Ryo Ishikawa,90,115.58,10517.56,91,119.85,112.11
58,59,59,Byron Smith,59,115.48,4965.8,43,120.1,112.49
59,60,60,Tom Hoge,83,115.37,7845.15,68,120.61,111.9
60,61,61,Carlos Ortiz,100,115.32,11416.46,99,119.07,110.78
61,62,62,Greg Owen,58,115.24,5762.12,50,120.45,110.48
62,63,63,Scott Piercy,90,115.2,9907.5,86,118.95,107.91
63,64,64,Pat Perez,96,115.12,10245.85,89,121.98,110.32
64,65,65,Ryan Palmer,80,115.11,7596.98,66,118.87,111.19
65,66,66,Jim Herman,88,114.98,9772.95,85,119.44,111.76
66,67,67,Jonathan Randolph,72,114.89,7468.16,65,123.85,109.81
67,68,68,Scott Stallings,60,114.85,6202.11,54,118.98,111.77
68,69,69,Gonzalo Fernandez-Castaño,81,114.82,7693.26,67,120.26,110.61
69,70,70,Roger Sloan,56,114.69,4817.03,42,119.82,111.31
70,71,71,Adam Hadwin,95,114.67,10549.67,92,120.01,110.96
71,72,72,Jamie Donaldson,50,114.63,5158.3,45,117.91,111.03
72,73,73,Louis Oosthuizen,68,114.57,5155.59,45,117.05,111.1
73,74,74,Sean O'Hair,86,114.51,8702.59,76,118.73,109.62
74,75,75,Ben Martin,93,114.46,10530.01,92,118.81,110.2
75,76,76,Hideki Matsuyama,95,114.39,9837.42,86,124.07,110.55
76,77,77,Andres Romero,69,114.14,5707.07,50,117.94,110.4
77,78,78,James Hahn,94,114.12,9015.11,79,121.21,104.98
78,79,79,Troy Merritt,91,114.09,9583.43,84,117.96,109.93
79,80,80,Sam Saunders,83,114.08,8213.77,72,117.99,110.42
80,81,81,Padraig Harrington,60,114.07,6502.03,57,120.04,110.71
81,82,82,Geoff Ogilvy,50,114.01,4674.22,41,117.24,111.07
82,83,83,Eric Axley,57,113.96,5470.13,48,116.47,110.58
83,84,84,Retief Goosen,81,113.85,8311.03,73,118.79,109.52
84,85,85,J.J. Henry,94,113.84,8310.32,73,116.72,110.61
85,86,86,Morgan Hoffmann,85,113.63,8976.61,79,117.15,110.36
86,T87,T87,Brendon de Jonge,106,113.62,11816.29,104,123.26,110.09
87,T87,T87,Matt Every,73,113.62,8066.96,71,118.68,110.5
88,89,89,Sangmoon Bae,98,113.53,11012.31,97,117.54,110.23
89,90,90,Boo Weekley,79,113.44,7260.25,64,117.32,109.12
90,91,91,Billy Horschel,99,113.38,9863.95,87,117.03,107.33
91,92,92,Johnson Wagner,68,113.33,6346.74,56,116.76,109.53
92,93,93,Kevin Streelman,95,113.32,9292.28,82,117.69,109.34
93,94,94,Camilo Villegas,83,113.03,9607.94,85,118.14,109.9
94,95,95,Davis Love III,51,112.89,4854.33,43,116.95,109.49
95,96,96,Andrew Svoboda,80,112.86,8464.48,75,116.3,109.2
96,97,97,Jordan Spieth,91,112.79,7782.78,69,117.63,109.75
97,98,98,Jason Gore,76,112.76,7216.84,64,117.41,108.62
98,99,99,Kevin Na,98,112.65,9124.44,81,118.02,106.2
99,100,100,Tyrone Van Aswegen,58,112.63,4280.04,38,116.77,109.01
100,101,101,Michael Thompson,83,112.56,9567.88,85,119.52,108.52
101,102,102,John Peterson,84,112.52,10576.59,94,118.92,108.93
102,103,103,Jason Dufner,76,112.3,6288.6,56,116.95,107.08
103,104,104,Erik Compton,86,112.23,9315.27,83,116.44,108.82
104,105,105,Bo Van Pelt,81,112.21,8415.7,75,115.91,107.95
105,106,106,Bill Haas,89,112.2,8975.72,80,117.92,106.89
106,107,107,Vijay Singh,78,112.19,8414.45,75,116.92,108.42
107,108,108,Hunter Mahan,88,112.11,8408.35,75,115.06,108.4
