,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,Bubba Watson,71,71.05,188713.5,265616
1,2,2,Dustin Johnson,75,69.98,174026.6,248682
2,3,3,Jason Day,75,69.65,183548.3,263536
3,4,4,J.B. Holmes,89,69.3,213097.6,307482
4,5,5,Patrick Rodgers,57,68.83,151149.7,219606
5,6,6,Brooks Koepka,84,68.01,208394.9,306427
6,7,7,Tony Finau,106,67.87,286008.2,421392
7,8,8,Charley Hoffman,97,67.69,235667.1,348143
8,9,9,Ryan Palmer,80,67.62,172196.1,254639
9,10,10,Charles Howell III,105,67.61,306387.4,453195
10,11,11,Jason Kokrak,88,67.6,249643.0,369269
11,12,12,Adam Scott,51,67.56,100266.0,148406
12,13,13,Justin Thomas,106,67.52,296374.1,438960
13,14,14,Steven Bowditch,103,67.4,276883.6,410798
14,15,15,Sergio Garcia,59,67.29,112615.2,167357
15,16,16,Jimmy Walker,89,67.18,201662.2,300180
16,17,17,Hunter Mahan,88,67.17,199552.1,297066
17,18,18,Justin Rose,69,67.13,151572.8,225803
18,19,19,Robert Garrigus,70,67.1,168822.5,251609
19,T20,T20,Charlie Beljan,76,67.08,176450.2,263061
20,T20,T20,Carlos Ortiz,100,67.08,255217.2,380439
21,22,22,Billy Horschel,99,66.99,223495.6,333601
22,23,23,Russell Henley,87,66.97,211789.4,316229
23,24,24,Derek Ernst,75,66.88,196034.2,293093
24,25,25,Gary Woodland,81,66.86,167151.7,249992
25,26,26,Phil Mickelson,70,66.84,168493.5,252088
26,27,27,Keegan Bradley,87,66.73,196295.8,294152
27,T28,T28,Charl Schwartzel,67,66.72,127005.6,190343
28,T28,T28,Robert Streb,110,66.72,299867.1,449428
29,T28,T28,Nick Taylor,91,66.72,252510.9,378460
30,31,31,Louis Oosthuizen,68,66.7,143927.2,215798
31,32,32,Brendan Steele,88,66.66,227881.2,341841
32,33,33,Shawn Stefani,94,66.62,268269.0,402715
33,T34,T34,Morgan Hoffmann,85,66.58,213711.2,320995
34,T34,T34,Jordan Spieth,91,66.58,201446.2,302543
35,36,36,Patrick Reed,103,66.55,233348.4,350626
36,37,37,Martin Flores,95,66.54,245122.2,368408
37,T38,T38,Matt Jones,89,66.51,203161.4,305449
38,T38,T38,Cameron Percy,72,66.51,179228.7,269463
39,T38,T38,Scott Piercy,90,66.51,256931.4,386315
40,T41,T41,Hideki Matsuyama,95,66.48,216183.4,325209
41,T41,T41,Lee Westwood,56,66.48,96382.7,144980
42,43,43,Tom Hoge,83,66.4,202346.8,304758
43,44,44,Max Homa,78,66.38,189356.2,285277
44,45,45,Kevin Streelman,95,66.37,220785.0,332648
45,46,46,Matt Kuchar,97,66.36,233103.7,351269
46,47,47,Daniel Berger,97,66.35,253245.8,381692
47,48,48,Martin Laird,77,66.31,220728.8,332868
48,49,49,Brian Harman,90,66.3,243204.1,366820
49,50,50,Greg Owen,58,66.29,121833.4,183788
50,51,51,Lucas Glover,79,66.28,219265.3,330836
51,T52,T52,Oscar Fraustro,58,66.19,122571.4,185175
52,T52,T52,Boo Weekley,79,66.19,204844.4,309500
53,T54,T54,David Lingmerth,90,66.18,227376.9,343596
54,T54,T54,Roger Sloan,56,66.18,123560.9,186718
55,56,56,Rickie Fowler,76,66.16,175333.5,265012
56,57,57,Carl Pettersson,106,66.13,292913.6,442940
57,T58,T58,Ángel Cabrera,53,66.06,131023.9,198335
58,T58,T58,Jhonattan Vegas,90,66.06,220367.0,333577
59,60,60,Paul Casey,87,66.05,200463.2,303515
60,61,61,Nick Watney,91,66.04,245205.9,371311
61,62,62,Scott Stallings,60,66.02,145177.6,219914
62,63,63,Geoff Ogilvy,50,66.01,106362.2,161131
63,64,64,Sean O'Hair,86,65.97,241490.1,366069
64,65,65,Harris English,105,65.91,270152.9,409857
65,66,66,Davis Love III,51,65.87,130551.8,198197
66,67,67,Kevin Chappell,86,65.84,227569.2,345647
67,68,68,Willy Wilcox,58,65.83,126502.3,192151
68,69,69,Chesson Hadley,101,65.82,263920.3,400953
69,T70,T70,Ernie Els,57,65.78,115962.0,176276
70,T70,T70,James Hahn,94,65.78,238044.5,361879
71,72,72,John Senden,80,65.77,152776.5,232302
72,73,73,Scott Brown,97,65.76,245754.7,373710
73,74,74,Sangmoon Bae,98,65.74,269189.8,409500
74,75,75,Scott Pinckney,88,65.73,225160.3,342551
75,T76,T76,Alex Prugh,84,65.71,218483.8,332486
76,T76,T76,Webb Simpson,81,65.71,196767.4,299470
77,T78,T78,Andres Gonzales,90,65.7,227697.2,346571
78,T78,T78,Seung-Yul Noh,65,65.7,167289.9,254621
79,T78,T78,Kyle Reifers,96,65.7,242932.1,369769
80,T81,T81,Matt Every,73,65.68,171385.0,260922
81,T81,T81,Bill Lunde,50,65.68,111695.8,170060
82,83,83,Steve Wheatcroft,87,65.65,216174.9,329270
83,84,84,Hudson Swafford,97,65.57,251429.2,383479
84,85,85,Graham DeLaet,65,65.55,162334.4,247655
85,T86,T86,Jim Herman,88,65.5,233917.9,357112
86,T86,T86,Chez Reavie,56,65.5,151906.2,231914
87,88,88,J.J. Henry,94,65.46,229544.1,350667
88,T89,T89,Derek Fathauer,81,65.45,197920.2,302410
89,T89,T89,Jeff Overton,94,65.45,227904.7,348198
90,T89,T89,Rory Sabbatini,81,65.45,200331.8,306069
91,T92,T92,Marc Leishman,74,65.44,165766.9,253329
92,T92,T92,Sam Saunders,83,65.44,187312.5,286220
93,94,94,Andres Romero,69,65.42,161278.0,246526
94,95,95,Vijay Singh,78,65.4,208321.6,318516
95,96,96,Brandt Snedeker,98,65.39,226927.4,347019
96,T97,T97,Eric Axley,57,65.37,131802.2,201620
97,T97,T97,Johnson Wagner,68,65.37,174896.0,267548
98,99,99,Retief Goosen,81,65.35,174894.4,267640
99,100,100,Bo Van Pelt,81,65.34,192280.9,294279
100,101,101,Byron Smith,59,65.31,132074.7,202236
101,T102,T102,Jason Gore,76,65.29,177608.3,272020
102,T102,T102,Bill Haas,89,65.29,216528.9,331642
103,104,104,Michael Thompson,83,65.24,226633.6,347369
104,105,105,Kevin Kisner,104,65.23,283191.4,434172
105,106,106,Aaron Baddeley,76,65.2,200417.8,307387
106,107,107,Blayne Barber,76,65.1,186538.7,286550
107,T108,T108,Stewart Cink,77,65.07,200116.4,307559
108,T108,T108,Adam Hadwin,95,65.07,241417.3,371004
109,T108,T108,Ben Martin,93,65.07,235952.1,362608
110,T111,T111,Chris Kirk,76,65.06,166335.4,255651
111,T111,T111,Sung Joon Park,79,65.06,189153.1,290719
112,T111,T111,Camilo Villegas,83,65.06,228874.3,351778
113,114,114,Padraig Harrington,60,65.05,147264.1,226385
114,115,115,Brice Garnett,81,65.03,192474.3,295960
115,T116,T116,Michael Putnam,87,64.98,200719.4,308915
116,T116,T116,Jonathan Randolph,72,64.98,168246.6,258932
117,118,118,Zach Johnson,90,64.94,214962.4,330994
118,119,119,John Peterson,84,64.93,227798.9,350818
119,120,120,Andrew Svoboda,80,64.91,211057.1,325140
120,T121,T121,Jamie Donaldson,50,64.9,96437.6,148592
121,T121,T121,Daniel Summerhays,101,64.9,266285.3,410298
122,123,123,Gonzalo Fernandez-Castaño,81,64.89,189020.5,291315
123,124,124,Jonas Blixt,78,64.85,155880.4,240364
124,125,125,Brendon de Jonge,106,64.84,273974.6,422513
125,T126,T126,Erik Compton,86,64.77,206432.5,318735
126,T126,T126,Henrik Stenson,63,64.77,130024.2,200749
127,128,128,Ryo Ishikawa,90,64.73,224552.2,346883
128,T129,T129,Fabián Gómez,83,64.7,209277.6,323440
129,T129,T129,Russell Knox,96,64.7,258249.0,399172
130,T129,T129,Nicholas Thompson,90,64.7,208805.8,322739
131,132,132,Jason Dufner,76,64.66,142399.9,220235
132,133,133,John Merrick,78,64.64,172116.5,266256
133,134,134,Spencer Levin,99,64.62,249086.5,385483
134,135,135,Greg Chalmers,58,64.61,105204.5,162835
135,136,136,Troy Merritt,91,64.54,241315.0,373900
136,137,137,Danny Lee,120,64.48,297326.4,461103
137,138,138,Roberto Castro,54,64.46,109953.6,170581
138,139,139,Luke Guthrie,84,64.43,201883.4,313338
139,140,140,Whee Kim,71,64.4,167969.6,260839
140,T141,T141,Pat Perez,96,64.38,244066.0,379078
141,T141,T141,Jim Renner,68,64.38,168063.7,261055
142,143,143,Jason Bohn,95,64.36,255902.0,397641
143,144,144,Ian Poulter,68,64.28,141434.2,220024
144,145,145,William McGirt,103,64.26,288595.5,449123
145,T146,T146,Alex Cejka,94,64.11,231000.0,360330
146,T146,T146,Mark Hubbard,79,64.11,181398.1,282964
147,T148,T148,Jonathan Byrd,69,64.09,151463.9,236316
148,T148,T148,Ken Duke,93,64.09,231352.3,360966
149,150,150,Tyrone Van Aswegen,58,64.07,124932.3,194980
150,151,151,Ryan Moore,81,64.05,177817.2,277633
151,152,152,Chris Stroud,84,64.02,200552.8,313269
152,153,153,Chad Campbell,97,64.01,271372.8,423974
153,154,154,Brendon Todd,96,64.0,226572.7,354013
154,155,155,David Hearn,97,63.99,246818.4,385735
155,156,156,Jim Furyk,71,63.96,148798.9,232634
156,157,157,Mark Wilson,89,63.93,239635.7,374815
157,158,158,Jerry Kelly,79,63.92,194664.4,304536
158,159,159,Scott Langley,94,63.9,233666.6,365682
159,160,160,Robert Allenby,63,63.89,152577.5,238804
160,161,161,Tim Wilkinson,73,63.88,171430.8,268355
161,162,162,Steven Alker,62,63.85,149230.1,233723
162,163,163,Cameron Tringale,96,63.82,228762.0,358432
163,164,164,Kevin Na,98,63.8,210213.8,329495
164,165,165,Francesco Molinari,56,63.73,125087.9,196269
165,166,166,George McNeill,93,63.66,263365.8,413675
166,167,167,Ricky Barnes,82,63.6,184674.5,290372
167,168,168,Chad Collins,79,63.45,185629.8,292566
168,T169,T169,Brian Davis,86,63.41,208689.2,329103
169,T169,T169,Colt Knost,90,63.41,217190.6,342544
170,T169,T169,Heath Slocum,57,63.41,114185.1,180067
171,172,172,Brian Stuard,97,63.37,231407.8,365184
172,173,173,Bryce Molder,91,63.28,225392.5,356178
173,174,174,Andrew Putnam,68,63.17,155154.2,245619
174,175,175,D.A. Points,72,63.05,165505.0,262515
175,176,176,Zac Blair,108,62.98,258335.1,410201
176,177,177,John Huh,102,62.96,256416.7,407261
177,178,178,Luke Donald,71,62.93,159238.3,253045
178,179,179,Jon Curran,83,62.82,189219.1,301204
179,180,180,K.J. Choi,66,62.78,162424.5,258705
180,181,181,David Toms,62,62.69,157671.0,251495
181,182,182,Ben Crane,62,62.66,150999.1,240965
182,183,183,Billy Hurley III,83,62.49,181118.6,289840
183,184,184,Justin Leonard,61,62.18,157562.6,253399
