,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Bubba Watson,71,307.4,242243,788
1,2,2,Dustin Johnson,75,303.3,229332,756
2,3,3,Jason Day,75,301.7,241964,802
3,4,4,J.B. Holmes,89,300.6,278935,928
4,5,5,Patrick Rodgers,57,298.0,191305,642
5,6,6,Brooks Koepka,84,296.5,269770,910
6,7,7,Adam Scott,51,294.6,131392,446
7,8,8,Tony Finau,106,294.2,377715,1284
8,9,9,Ryan Palmer,80,292.9,220858,754
9,10,10,Charles Howell III,105,292.4,403509,1380
10,11,11,Jason Kokrak,88,292.3,325644,1114
11,12,12,Gary Woodland,81,291.5,219770,754
12,T13,T13,Charlie Beljan,76,291.3,231554,795
13,T13,T13,Justin Rose,69,291.3,199269,684
14,T13,T13,Justin Thomas,106,291.3,389786,1338
15,16,16,Charley Hoffman,97,291.2,309885,1064
16,17,17,Steven Bowditch,103,290.3,357927,1233
17,18,18,Keegan Bradley,87,289.9,259174,894
18,T19,T19,Robert Garrigus,70,289.8,221379,764
19,T19,T19,Carlos Ortiz,100,289.8,335342,1157
20,T19,T19,Jimmy Walker,89,289.8,260852,900
21,22,22,Sergio Garcia,59,289.6,145960,504
22,23,23,Charl Schwartzel,67,289.1,165929,574
23,T24,T24,Ángel Cabrera,53,289.0,171073,592
24,T24,T24,Phil Mickelson,70,289.0,221915,768
25,26,26,Hunter Mahan,88,288.9,264083,914
26,27,27,Brendan Steele,88,288.8,306717,1062
27,28,28,Russell Henley,87,288.3,271583,942
28,29,29,Rickie Fowler,76,288.2,230001,798
29,30,30,Morgan Hoffmann,85,288.1,277681,964
30,31,31,Martin Flores,95,287.7,317023,1102
31,T32,T32,Hideki Matsuyama,95,287.4,282787,984
32,T32,T32,Louis Oosthuizen,68,287.4,188519,656
33,T32,T32,Scott Piercy,90,287.4,333382,1160
34,T35,T35,Derek Ernst,75,287.3,252238,878
35,T35,T35,Robert Streb,110,287.3,387246,1348
36,37,37,Billy Horschel,99,287.2,294058,1024
37,38,38,Daniel Berger,97,287.0,332677,1159
38,T39,T39,Lucas Glover,79,286.7,287275,1002
39,T39,T39,Matt Jones,89,286.7,269491,940
40,T39,T39,Jhonattan Vegas,90,286.7,288118,1005
41,42,42,Shawn Stefani,94,286.6,351389,1226
42,T43,T43,Roger Sloan,56,286.3,160043,559
43,T43,T43,Jordan Spieth,91,286.3,263387,920
44,T43,T43,Nick Taylor,91,286.3,332362,1161
45,T46,T46,Harris English,105,286.2,350882,1226
46,T46,T46,Martin Laird,77,286.2,290804,1016
47,T48,T48,Max Homa,78,286.1,247467,865
48,T48,T48,Patrick Reed,103,286.1,303838,1062
49,T48,T48,Lee Westwood,56,286.1,127012,444
50,T51,T51,Greg Owen,58,285.8,159743,559
51,T51,T51,Cameron Percy,72,285.8,231814,811
52,53,53,Scott Stallings,60,285.7,195999,686
53,T54,T54,Tom Hoge,83,285.3,259342,909
54,T54,T54,Geoff Ogilvy,50,285.3,140949,494
55,56,56,Paul Casey,87,285.2,251305,881
56,57,57,Boo Weekley,79,285.0,266175,934
57,T58,T58,James Hahn,94,284.8,310439,1090
58,T58,T58,Andres Romero,69,284.8,214135,752
59,T60,T60,Jamie Donaldson,50,284.7,126987,446
60,T60,T60,Seung-Yul Noh,65,284.7,216395,760
61,T60,T60,Nick Watney,91,284.7,321157,1128
62,63,63,Alex Prugh,84,284.5,285624,1004
63,64,64,Kevin Streelman,95,284.3,290006,1020
64,65,65,Kevin Chappell,86,284.2,297822,1048
65,T66,T66,Ernie Els,57,284.1,154560,544
66,T66,T66,Oscar Fraustro,58,284.1,158260,557
67,T66,T66,Retief Goosen,81,284.1,236966,834
68,T66,T66,Carl Pettersson,106,284.1,380402,1339
69,70,70,Matt Kuchar,97,284.0,305557,1076
70,T71,T71,Brian Harman,90,283.9,310573,1094
