,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Daniel Berger,97,-.077
1,2,2,Charles Howell III,105,-.069
2,3,3,Martin Laird,77,-.067
3,4,4,Brooks Koepka,84,-.059
4,T5,T5,Phil Mickelson,70,-.057
5,T5,T5,Ryan Palmer,80,-.057
6,7,7,Bubba Watson,71,-.050
7,8,8,Eric Axley,57,-.046
8,9,9,Martin Flores,95,-.045
9,10,10,Rickie Fowler,76,-.043
10,11,11,Justin Thomas,106,-.032
11,12,12,James Hahn,94,-.030
12,13,13,Aaron Baddeley,76,-.028
13,14,14,Tom Hoge,83,-.026
14,T15,T15,Vijay Singh,78,-.025
15,T15,T15,Camilo Villegas,83,-.025
16,17,17,Willy Wilcox,58,-.017
17,18,18,Justin Rose,69,-.013
18,T19,T19,Jason Kokrak,88,-.011
19,T19,T19,Gary Woodland,81,-.011
20,T21,T21,Louis Oosthuizen,68,-.010
21,T21,T21,Sam Saunders,83,-.010
22,23,23,Kevin Streelman,95,-.009
23,T24,T24,Matt Every,73,E
24,T24,T24,Tony Finau,106,E
25,T24,T24,Hunter Mahan,88,E
26,T24,T24,Kevin Na,98,E
27,T24,T24,Pat Perez,96,E
28,T24,T24,Andres Romero,69,E
29,30,30,Danny Lee,120,+.005
30,31,31,Jason Day,75,+.007
31,32,32,Luke Donald,71,+.008
32,33,33,Scott Piercy,90,+.009
33,T34,T34,Harris English,105,+.011
34,T34,T34,Jim Furyk,71,+.011
35,36,36,Shawn Stefani,94,+.012
36,37,37,J.B. Holmes,89,+.013
37,T38,T38,Matt Jones,89,+.015
38,T38,T38,Kyle Reifers,96,+.015
39,40,40,George McNeill,93,+.016
40,41,41,Chez Reavie,56,+.017
41,T42,T42,Brendon de Jonge,106,+.018
42,T42,T42,Derek Ernst,75,+.018
43,T44,T44,Paul Casey,87,+.019
44,T44,T44,Jerry Kelly,79,+.019
45,46,46,Ryo Ishikawa,90,+.021
46,T47,T47,Gonzalo Fernandez-Castaño,81,+.022
47,T47,T47,Henrik Stenson,63,+.022
48,T49,T49,Ricky Barnes,82,+.023
49,T49,T49,Jason Dufner,76,+.023
50,T51,T51,Retief Goosen,81,+.024
51,T51,T51,Marc Leishman,74,+.024
52,53,53,Hideki Matsuyama,95,+.025
53,T54,T54,Billy Horschel,99,+.026
54,T54,T54,Jhonattan Vegas,90,+.026
55,56,56,Sung Joon Park,79,+.029
56,57,57,Nick Watney,91,+.033
57,T58,T58,Morgan Hoffmann,85,+.035
58,T58,T58,Matt Kuchar,97,+.035
59,60,60,Steven Bowditch,103,+.037
60,61,61,Charley Hoffman,97,+.038
61,T62,T62,Jeff Overton,94,+.039
62,T62,T62,Daniel Summerhays,101,+.039
63,64,64,Sangmoon Bae,98,+.040
64,65,65,Greg Owen,58,+.042
65,T66,T66,Derek Fathauer,81,+.047
66,T66,T66,Jonathan Randolph,72,+.047
67,T68,T68,Ben Crane,62,+.049
68,T68,T68,David Hearn,97,+.049
69,70,70,Ian Poulter,68,+.051
70,71,71,Jamie Donaldson,50,+.054
71,72,72,Carlos Ortiz,100,+.055
72,T73,T73,Kevin Chappell,86,+.057
73,T73,T73,Carl Pettersson,106,+.057
74,T73,T73,Rory Sabbatini,81,+.057
75,T73,T73,Cameron Tringale,96,+.057
76,77,77,Alex Cejka,94,+.058
77,78,78,Whee Kim,71,+.060
78,79,79,Jordan Spieth,91,+.061
79,T80,T80,Keegan Bradley,87,+.062
80,T80,T80,Max Homa,78,+.062
81,82,82,Adam Hadwin,95,+.063
