,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Dustin Johnson,75,317.7,45109,142
1,2,2,Bubba Watson,71,315.2,40351,128
2,3,3,Jason Day,75,313.7,45166,144
3,4,4,Adam Scott,51,311.6,27425,88
4,5,5,J.B. Holmes,89,309.9,47731,154
5,6,6,Charlie Beljan,76,309.8,41516,134
6,7,7,Tony Finau,106,309.0,64897,210
7,8,8,Brooks Koepka,84,308.2,49312,160
8,9,9,Patrick Rodgers,57,307.7,31997,104
9,10,10,Keegan Bradley,87,306.1,48362,158
10,11,11,Jason Kokrak,88,305.6,53789,176
11,12,12,Gary Woodland,81,305.5,39709,130
12,13,13,Ryan Palmer,80,305.2,43955,144
13,14,14,Justin Rose,69,303.5,37636,124
14,15,15,Justin Thomas,106,303.2,63667,210
15,16,16,Brendan Steele,88,302.9,50277,166
16,17,17,Charles Howell III,105,302.7,62968,208
17,T18,T18,Daniel Berger,97,302.1,58001,192
18,T18,T18,Steven Bowditch,103,302.1,59213,196
19,20,20,Robert Garrigus,70,301.7,39218,130
20,21,21,Jimmy Walker,89,301.6,48854,162
21,T22,T22,Martin Laird,77,300.5,45672,152
22,T22,T22,Phil Mickelson,70,300.5,42068,140
23,24,24,Charl Schwartzel,67,300.4,32438,108
24,T25,T25,Sergio Garcia,59,300.0,28802,96
25,T25,T25,Lee Westwood,56,300.0,26404,88
26,27,27,Jhonattan Vegas,90,299.9,48585,162
27,28,28,Ángel Cabrera,53,299.7,31763,106
28,T29,T29,Charley Hoffman,97,298.9,55596,186
29,T29,T29,Hudson Swafford,97,298.9,56192,188
30,31,31,Louis Oosthuizen,68,298.8,35261,118
31,32,32,Graham DeLaet,65,298.7,38236,128
32,T33,T33,Harris English,105,298.4,60286,202
33,T33,T33,Carlos Ortiz,100,298.4,54309,182
34,35,35,Paul Casey,87,297.8,46450,156
35,T36,T36,Russell Henley,87,297.1,46941,158
36,T36,T36,Robert Streb,110,297.1,65357,220
37,38,38,Lucas Glover,79,296.9,46911,158
38,T39,T39,Martin Flores,95,296.8,53430,180
39,T39,T39,Rickie Fowler,76,296.8,40367,136
40,41,41,Scott Piercy,90,296.7,53410,180
41,42,42,Willy Wilcox,58,296.6,29064,98
42,43,43,Henrik Stenson,63,296.4,33202,112
43,44,44,Shawn Stefani,94,296.3,55704,188
44,45,45,Morgan Hoffmann,85,296.1,47382,160
45,46,46,Matt Jones,89,296.0,45585,154
46,T47,T47,Sean O'Hair,86,295.3,50792,172
47,T47,T47,Andres Romero,69,295.3,38683,131
48,49,49,Alex Prugh,84,295.2,46642,158
49,T50,T50,Derek Ernst,75,295.1,41308,140
50,T50,T50,James Hahn,94,295.1,52523,178
51,T50,T50,Hunter Mahan,88,295.1,46626,158
52,53,53,Billy Horschel,99,295.0,51924,176
53,54,54,Jamie Donaldson,50,294.9,25363,86
54,55,55,Marc Leishman,74,294.8,35962,122
55,56,56,Davis Love III,51,294.7,27703,94
56,T57,T57,Andres Gonzales,90,294.5,50069,170
57,T57,T57,Hideki Matsuyama,95,294.5,48885,166
58,59,59,Max Homa,78,294.2,42957,146
59,60,60,Aaron Baddeley,76,294.1,42941,146
60,61,61,Nick Watney,91,294.0,52919,180
61,T62,T62,Jim Herman,88,293.8,51121,174
62,T62,T62,Greg Owen,58,293.8,33492,114
63,64,64,Geoff Ogilvy,50,293.7,27608,94
64,T65,T65,Stewart Cink,77,293.6,42869,146
65,T65,T65,Roger Sloan,56,293.6,29946,102
66,67,67,Kevin Chappell,86,293.5,48133,164
67,68,68,Sam Saunders,83,293.2,47492,162
68,69,69,Patrick Reed,103,292.9,53893,184
69,70,70,Seung-Yul Noh,65,292.7,35705,122
70,71,71,Retief Goosen,81,292.6,42725,146
71,T72,T72,J.J. Henry,94,292.3,52035,178
72,T72,T72,Nick Taylor,91,292.3,53198,182
73,T74,T74,Tom Hoge,83,292.2,45576,156
74,T74,T74,Camilo Villegas,83,292.2,48512,166
75,76,76,Boo Weekley,79,292.0,43223,148
76,77,77,Byron Smith,59,291.9,31521,108
77,T78,T78,Jordan Spieth,91,291.8,48431,166
78,T78,T78,Scott Stallings,60,291.8,30351,104
79,80,80,Ernie Els,57,291.7,30925,106
80,81,81,Carl Pettersson,106,291.6,61245,210
81,T82,T82,Bill Haas,89,290.7,47675,164
82,T82,T82,Chesson Hadley,101,290.7,56398,194
83,T82,T82,Johnson Wagner,68,290.7,38958,134
84,85,85,Vijay Singh,78,290.6,44760,154
85,86,86,Padraig Harrington,60,290.5,34857,120
86,87,87,Jason Gore,76,290.4,41522,143
87,88,88,Scott Pinckney,88,290.3,50510,174
88,89,89,John Senden,80,290.2,38303,132
89,T90,T90,Cameron Percy,72,290.0,40016,138
90,T90,T90,Rory Sabbatini,81,290.0,44074,152
91,92,92,Sangmoon Bae,98,289.8,53911,186
92,T93,T93,Oscar Fraustro,58,289.5,30691,106
93,T93,T93,David Lingmerth,90,289.5,49223,170
94,T93,T93,Kevin Streelman,95,289.5,48052,166
95,T93,T93,Bo Van Pelt,81,289.5,45159,156
96,97,97,Webb Simpson,81,289.4,45146,156
97,T98,T98,Gonzalo Fernandez-Castaño,81,289.3,43974,152
98,T98,T98,Michael Thompson,83,289.3,46280,160
99,100,100,Ryo Ishikawa,90,289.2,48578,168
100,T101,T101,Derek Fathauer,81,288.8,43903,152
101,T101,T101,Michael Putnam,87,288.8,46210,160
102,103,103,Blayne Barber,76,288.6,42718,148
103,104,104,Matt Kuchar,97,288.5,53658,186
104,T105,T105,Erik Compton,86,288.4,49020,170
105,T105,T105,Brandt Snedeker,98,288.4,51920,180
106,107,107,Steve Wheatcroft,87,288.3,47276,164
107,T108,T108,Scott Brown,97,288.2,55336,192
108,T108,T108,Adam Hadwin,95,288.2,53029,184
109,T110,T110,Ben Martin,93,288.1,51851,180
110,T110,T110,John Peterson,84,288.1,48402,168
111,112,112,Kyle Reifers,96,288.0,52407,182
112,113,113,Brian Harman,90,287.9,51255,178
113,114,114,Kevin Kisner,104,287.8,59862,208
114,115,115,Bill Lunde,50,287.7,25893,90
115,116,116,Jonas Blixt,78,287.6,37389,130
116,117,117,Jonathan Byrd,69,287.5,34782,121
117,118,118,Jonathan Randolph,72,287.2,40203,140
118,T119,T119,Brice Garnett,81,287.1,43070,150
119,T119,T119,Andrew Svoboda,80,287.1,44207,154
120,T121,T121,Jason Dufner,76,286.7,36692,128
121,T121,T121,Ian Poulter,68,286.7,34978,122
122,123,123,Matt Every,73,286.6,35534,124
123,124,124,Eric Axley,57,286.4,30932,108
124,125,125,Chez Reavie,56,286.3,31494,110
125,126,126,George McNeill,93,286.2,53225,186
126,127,127,Nicholas Thompson,90,286.0,46912,164
127,128,128,Chris Kirk,76,285.8,39439,138
128,129,129,Tyrone Van Aswegen,58,285.6,30277,106
