,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Henrik Stenson,63,2,1,1
1,2,2,Willy Wilcox,58,6,2,4
2,3,3,Jim Herman,88,11,9,2
3,T4,T4,Paul Casey,87,13,8,5
4,T4,T4,Justin Rose,69,13,4,9
5,6,6,Lucas Glover,79,21,11,10
6,7,7,Graham DeLaet,65,27,5,22
7,8,8,Adam Scott,51,31,15,16
8,9,9,Hideki Matsuyama,95,33,12,21
9,10,10,Billy Horschel,99,36,18,18
10,T11,T11,Alex Prugh,84,40,29,11
11,T11,T11,Chez Reavie,56,40,25,15
12,13,13,Kevin Streelman,95,41,16,25
13,14,14,Daniel Berger,97,48,18,30
14,T15,T15,Francesco Molinari,56,49,43,6
15,T15,T15,Hudson Swafford,97,49,10,39
16,17,17,Brendan Steele,88,56,16,40
17,18,18,Jason Dufner,76,58,34,24
18,T19,T19,Brooks Koepka,84,59,42,17
19,T19,T19,Shawn Stefani,94,59,27,32
20,T21,T21,Keegan Bradley,87,63,3,60
21,T21,T21,Bubba Watson,71,63,44,19
22,23,23,Russell Knox,96,65,58,7
23,24,24,Jason Day,75,67,60,7
24,25,25,Justin Thomas,106,68,41,27
25,26,26,Nicholas Thompson,90,69,33,36
26,27,27,John Peterson,84,72,31,41
27,28,28,Webb Simpson,81,73,20,53
28,29,29,Bill Haas,89,75,44,31
29,T30,T30,Russell Henley,87,76,7,69
30,T30,T30,Robert Streb,110,76,53,23
31,32,32,Louis Oosthuizen,68,77,34,43
32,33,33,Davis Love III,51,78,14,64
33,34,34,Jim Furyk,71,80,66,14
34,35,35,Jason Gore,76,81,20,61
35,36,36,Zach Johnson,90,86,49,37
36,37,37,Spencer Levin,99,89,44,45
37,T38,T38,Ben Martin,93,90,56,34
38,T38,T38,John Senden,80,90,22,68
39,40,40,Johnson Wagner,68,92,66,26
40,41,41,Sergio Garcia,59,93,34,59
41,42,42,Boo Weekley,79,94,39,55
42,T43,T43,Derek Ernst,75,100,12,88
43,T43,T43,John Merrick,78,100,44,56
44,45,45,Jordan Spieth,91,101,52,49
45,46,46,J.J. Henry,94,102,89,13
46,47,47,Jason Bohn,95,108,80,28
47,T48,T48,Chad Campbell,97,109,74,35
48,T48,T48,Greg Owen,58,109,89,20
49,50,50,Carlos Ortiz,100,112,38,74
50,51,51,Nick Watney,91,119,53,66
51,T52,T52,Patrick Rodgers,57,121,44,77
52,T52,T52,Lee Westwood,56,121,32,89
53,54,54,Jonathan Byrd,69,122,57,65
54,55,55,Charlie Beljan,76,123,6,117
55,56,56,Michael Putnam,87,124,112,12
56,57,57,Bill Lunde,50,126,93,33
57,58,58,Rickie Fowler,76,128,22,106
58,T59,T59,Kevin Kisner,104,129,34,95
59,T59,T59,Jason Kokrak,88,129,62,67
60,T59,T59,Pat Perez,96,129,81,48
61,62,62,Kevin Chappell,86,130,27,103
62,63,63,Dustin Johnson,75,132,62,70
63,64,64,Ryan Palmer,80,133,58,75
64,65,65,Adam Hadwin,95,134,49,85
65,66,66,Stewart Cink,77,135,132,3
66,T67,T67,Harris English,105,139,69,70
67,T67,T67,Tony Finau,106,139,82,57
68,T67,T67,William McGirt,103,139,89,50
69,70,70,Brendon de Jonge,106,140,78,62
70,71,71,Martin Flores,95,142,101,41
71,72,72,Martin Laird,77,145,51,94
72,T73,T73,Brian Harman,90,147,66,81
73,T73,T73,Colt Knost,90,147,84,63
74,75,75,Scott Piercy,90,149,69,80
75,T76,T76,Charles Howell III,105,150,112,38
76,T76,T76,Gary Woodland,81,150,71,79
77,78,78,Sam Saunders,83,151,26,125
78,79,79,Charl Schwartzel,67,152,24,128
79,80,80,Steven Alker,62,159,75,84
80,T81,T81,James Hahn,94,160,62,98
81,T81,T81,David Lingmerth,90,160,30,130
82,T81,T81,Scott Pinckney,88,160,103,57
83,84,84,Blayne Barber,76,165,75,90
84,85,85,Charley Hoffman,97,168,71,97
85,86,86,Matt Kuchar,97,169,84,85
86,87,87,Cameron Percy,72,170,116,54
87,T88,T88,Rory Sabbatini,81,171,119,52
88,T88,T88,Byron Smith,59,171,143,28
89,90,90,Ryan Moore,81,176,53,123
90,91,91,Geoff Ogilvy,50,178,93,85
91,T92,T92,Brice Garnett,81,183,140,43
92,T92,T92,Sean O'Hair,86,183,39,144
93,94,94,George McNeill,93,184,93,91
94,95,95,David Hearn,97,185,138,47
95,96,96,Jerry Kelly,79,186,82,104
96,97,97,Bo Van Pelt,81,189,116,73
97,98,98,Mark Wilson,89,191,140,51
98,99,99,Hunter Mahan,88,194,87,107
99,100,100,Andres Gonzales,90,195,114,81
100,101,101,Mark Hubbard,79,197,122,75
101,102,102,Kyle Reifers,96,199,127,72
102,103,103,Matt Jones,89,207,60,147
103,104,104,John Huh,102,210,78,132
104,T105,T105,Vijay Singh,78,211,116,95
105,T105,T105,Brendon Todd,96,211,93,118
106,107,107,Cameron Tringale,96,212,75,137
107,108,108,Jamie Donaldson,50,215,65,150
108,109,109,Whee Kim,71,217,171,46
109,T110,T110,Roberto Castro,54,218,119,99
110,T110,T110,Ian Poulter,68,218,110,108
111,112,112,Robert Garrigus,70,219,71,148
112,113,113,Sung Joon Park,79,220,87,133
113,114,114,Jhonattan Vegas,90,221,101,120
114,115,115,Jimmy Walker,89,222,121,101
115,116,116,Jon Curran,83,227,134,93
116,117,117,David Toms,62,228,93,135
117,118,118,Steve Wheatcroft,87,229,93,136
118,119,119,Robert Allenby,63,230,149,81
119,120,120,Scott Brown,97,231,105,126
120,121,121,Tom Hoge,83,232,130,102
121,122,122,Chris Stroud,84,234,122,112
122,T123,T123,Zac Blair,108,238,122,116
123,T123,T123,J.B. Holmes,89,238,84,154
124,125,125,Ángel Cabrera,53,239,108,131
125,T126,T126,Alex Cejka,94,241,132,109
126,T126,T126,Danny Lee,120,241,130,111
127,128,128,Bryce Molder,91,244,125,119
128,T129,T129,Ken Duke,93,254,108,146
129,T129,T129,Brandt Snedeker,98,254,125,129
130,T131,T131,Chad Collins,79,256,156,100
131,T131,T131,Oscar Fraustro,58,256,93,163
132,133,133,Tyrone Van Aswegen,58,257,180,77
133,134,134,Marc Leishman,74,260,147,113
134,135,135,Ryo Ishikawa,90,262,170,92
135,T136,T136,Gonzalo Fernandez-Castaño,81,264,115,149
136,T136,T136,Justin Leonard,61,264,93,171
137,T136,T136,Brian Stuard,97,264,103,161
138,T139,T139,Seung-Yul Noh,65,265,160,105
139,T139,T139,Daniel Summerhays,101,265,152,113
140,141,141,Phil Mickelson,70,266,89,177
141,142,142,Billy Hurley III,83,267,145,122
142,T143,T143,Steven Bowditch,103,269,111,158
143,T143,T143,Roger Sloan,56,269,105,164
144,145,145,Scott Stallings,60,272,145,127
145,146,146,Heath Slocum,57,274,105,169
146,147,147,Michael Thompson,83,279,158,121
147,148,148,Jeff Overton,94,281,172,109
148,149,149,Chris Kirk,76,283,144,139
149,150,150,Ernie Els,57,292,152,140
150,151,151,Luke Donald,71,294,179,115
151,152,152,Troy Merritt,91,295,136,159
152,153,153,Sangmoon Bae,98,296,128,168
153,154,154,Nick Taylor,91,297,155,142
154,155,155,Ben Crane,62,298,138,160
155,156,156,Jim Renner,68,299,176,123
156,157,157,Carl Pettersson,106,300,134,166
157,T158,T158,Brian Davis,86,302,128,174
158,T158,T158,Kevin Na,98,302,164,138
159,T160,T160,Scott Langley,94,303,169,134
160,T160,T160,Patrick Reed,103,303,162,141
161,162,162,Max Homa,78,304,137,167
162,163,163,Chesson Hadley,101,308,152,156
163,164,164,K.J. Choi,66,309,158,151
164,165,165,Greg Chalmers,58,312,160,152
165,166,166,Erik Compton,86,318,156,162
166,167,167,Jonathan Randolph,72,319,176,143
167,168,168,Morgan Hoffmann,85,320,140,180
168,T169,T169,Jonas Blixt,78,321,151,170
169,T169,T169,Andrew Svoboda,80,321,166,155
170,171,171,Retief Goosen,81,322,147,175
171,172,172,Fabián Gómez,83,324,167,157
172,173,173,Andres Romero,69,325,149,176
173,T174,T174,Luke Guthrie,84,327,174,153
174,T174,T174,D.A. Points,72,327,182,145
175,176,176,Camilo Villegas,83,333,168,165
176,177,177,Tim Wilkinson,73,335,162,173
177,178,178,Aaron Baddeley,76,337,165,172
178,179,179,Derek Fathauer,81,353,175,178
179,180,180,Padraig Harrington,60,354,173,181
180,181,181,Eric Axley,57,357,178,179
181,182,182,Matt Every,73,364,180,184
182,183,183,Ricky Barnes,82,365,183,182
183,184,184,Andrew Putnam,68,367,184,183
