,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
110,T111,T111,Marc Leishman,74,0.91,1.0,110,+2.00
111,T111,T111,Gary Woodland,81,0.91,1.0,110,E
112,113,113,Jonas Blixt,78,0.88,1.0,114,E
113,T114,T114,Jonathan Byrd,69,0.86,1.0,116,E
114,T114,T114,Phil Mickelson,70,0.86,1.0,116,-1.00
115,T116,T116,Chris Kirk,76,0.82,1.0,122,E
116,T116,T116,Andres Romero,69,0.82,1.0,122,+1.00
117,118,118,Robert Garrigus,70,0.78,1.0,128,E
118,T119,T119,Paul Casey,87,0.76,1.0,132,E
119,T119,T119,Webb Simpson,81,0.76,1.0,132,E
120,T121,T121,Keegan Bradley,87,0.75,1.0,134,+2.00
121,T121,T121,Hunter Mahan,88,0.75,1.0,134,+1.00
122,T121,T121,Jonathan Randolph,72,0.75,1.0,134,E
123,T121,T121,Johnson Wagner,68,0.75,1.0,134,+1.00
124,T121,T121,Jimmy Walker,89,0.75,1.0,134,+2.00
125,126,126,Stewart Cink,77,0.72,1.0,138,+1.00
126,127,127,Hideki Matsuyama,95,0.7,1.0,142,+1.00
127,128,128,Blayne Barber,76,0.69,1.0,144,+1.00
128,T129,T129,Aaron Baddeley,76,0.68,1.0,146,-1.00
129,T129,T129,Gonzalo Fernandez-Castaño,81,0.68,1.0,148,-1.00
130,T129,T129,Max Homa,78,0.68,1.0,146,E
131,132,132,Brice Garnett,81,0.67,1.0,150,+2.00
132,T133,T133,Derek Fathauer,81,0.66,1.0,152,+2.00
133,T133,T133,Martin Laird,77,0.66,1.0,152,+2.00
134,T135,T135,Ben Martin,93,0.63,1.0,160,E
135,T135,T135,Alex Prugh,84,0.63,1.0,158,+1.00
136,137,137,Brian Harman,90,0.62,1.0,162,+1.00
137,T138,T138,James Hahn,94,0.6,1.0,166,-1.00
138,T138,T138,John Peterson,84,0.6,1.0,168,E
139,T138,T138,Cameron Tringale,96,0.6,1.0,168,E
140,T141,T141,Jim Herman,88,0.58,1.0,172,+1.00
141,T141,T141,Sean O'Hair,86,0.58,1.0,172,E
142,143,143,Troy Merritt,91,0.57,1.0,174,E
143,T144,T144,Sangmoon Bae,98,0.56,1.0,178,+1.00
144,T144,T144,Scott Piercy,90,0.56,1.0,180,+1.00
145,146,146,Chesson Hadley,101,0.52,1.0,194,+1.00
146,147,147,Brendon de Jonge,106,0.51,1.0,198,+2.00
147,148,148,Robert Streb,110,0.5,1.0,200,+1.00
148,T149,T149,Scott Brown,97,0.0,,188,E
149,T149,T149,Jason Day,75,0.0,,120,E
150,T149,T149,Graham DeLaet,65,0.0,,116,E
151,T149,T149,Ernie Els,57,0.0,,82,E
152,T149,T149,Derek Ernst,75,0.0,,136,E
153,T149,T149,Rickie Fowler,76,0.0,,116,E
154,T149,T149,Jason Gore,76,0.0,,142,E
155,T149,T149,Bill Haas,89,0.0,,148,E
156,T149,T149,Russell Henley,87,0.0,,134,E
157,T149,T149,J.J. Henry,94,0.0,,178,E
158,T149,T149,Charley Hoffman,97,0.0,,166,E
159,T149,T149,Billy Horschel,99,0.0,,156,E
160,T149,T149,Dustin Johnson,75,0.0,,114,E
161,T149,T149,Brooks Koepka,84,0.0,,132,E
162,T149,T149,Davis Love III,51,0.0,,94,E
163,T149,T149,Louis Oosthuizen,68,0.0,,94,E
164,T149,T149,Carlos Ortiz,100,0.0,,180,E
165,T149,T149,Jeff Overton,94,0.0,,170,E
166,T149,T149,Ryan Palmer,80,0.0,,116,E
167,T149,T149,Patrick Rodgers,57,0.0,,104,E
168,T149,T149,Justin Rose,69,0.0,,100,E
169,T149,T149,Rory Sabbatini,81,0.0,,148,E
170,T149,T149,Sam Saunders,83,0.0,,148,E
171,T149,T149,Charl Schwartzel,67,0.0,,82,E
172,T149,T149,Adam Scott,51,0.0,,64,E
173,T149,T149,John Senden,80,0.0,,104,E
174,T149,T149,Vijay Singh,78,0.0,,142,E
175,T149,T149,Jordan Spieth,91,0.0,,138,E
176,T149,T149,Brendan Steele,88,0.0,,166,E
177,T149,T149,Shawn Stefani,94,0.0,,188,E
178,T149,T149,Henrik Stenson,63,0.0,,88,E
179,T149,T149,Kevin Streelman,95,0.0,,154,E
180,T149,T149,Jhonattan Vegas,90,0.0,,158,E
181,T149,T149,Boo Weekley,79,0.0,,146,E
182,T149,T149,Lee Westwood,56,0.0,,64,E
183,T149,T149,Willy Wilcox,58,0.0,,94,E
