,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Willy Wilcox,58,2.8,16,568,+0.250
1,2,2,Steven Alker,62,4.0,28,696,+0.107
2,3,3,David Toms,62,4.1,31,765,+0.065
3,T4,T4,Jerry Kelly,79,4.2,39,920,+0.256
4,T4,T4,Kevin Streelman,95,4.2,43,1016,+0.372
5,T6,T6,Ken Duke,93,4.3,46,1080,+0.130
6,T6,T6,Justin Leonard,61,4.3,32,751,+0.031
7,8,8,Jon Curran,83,4.4,40,901,+0.300
8,9,9,Ryan Moore,81,4.5,38,850,+0.132
9,T10,T10,Charlie Beljan,76,4.6,36,788,+0.250
10,T10,T10,Ben Crane,62,4.6,33,721,+0.182
11,T10,T10,Adam Hadwin,95,4.6,51,1119,+0.255
12,13,13,Zac Blair,108,4.7,57,1225,+0.158
13,T14,T14,Chad Campbell,97,4.8,61,1264,+0.230
14,T14,T14,Alex Cejka,94,4.8,52,1093,+0.269
15,T14,T14,Chad Collins,79,4.8,42,875,E
16,T14,T14,David Hearn,97,4.8,56,1178,+0.179
17,T14,T14,Davis Love III,51,4.8,28,585,+0.500
18,T14,T14,Ben Martin,93,4.8,52,1075,+0.231
19,T14,T14,Bo Van Pelt,81,4.8,43,897,+0.395
20,T14,T14,Mark Wilson,89,4.8,54,1123,+0.130
21,T22,T22,Jim Herman,88,4.9,53,1071,+0.151
22,T22,T22,Billy Hurley III,83,4.9,43,871,+0.116
23,T22,T22,Hudson Swafford,97,4.9,56,1151,+0.196
24,T25,T25,John Merrick,78,5.0,40,808,+0.400
25,T25,T25,Bryce Molder,91,5.0,54,1070,+0.167
26,T25,T25,Francesco Molinari,56,5.0,30,595,+0.067
27,T25,T25,Brendon Todd,96,5.0,53,1061,+0.283
28,T29,T29,Jonathan Byrd,69,5.1,36,707,+0.083
29,T29,T29,Jason Gore,76,5.1,41,810,+0.073
30,T31,T31,Kevin Chappell,86,5.2,54,1041,+0.204
31,T31,T31,Graham DeLaet,65,5.2,39,746,+0.308
32,T31,T31,Brice Garnett,81,5.2,46,888,+0.217
33,T31,T31,Chez Reavie,56,5.2,36,693,+0.333
34,T35,T35,Ricky Barnes,82,5.3,46,863,+0.109
35,T35,T35,Brian Davis,86,5.3,52,984,+0.250
36,T35,T35,Derek Ernst,75,5.3,46,872,+0.370
37,T35,T35,Mark Hubbard,79,5.3,45,850,+0.244
38,T35,T35,Zach Johnson,90,5.3,52,977,+0.442
39,T35,T35,Marc Leishman,74,5.3,40,748,+0.250
40,T35,T35,Henrik Stenson,63,5.3,32,609,E
41,T35,T35,Daniel Summerhays,101,5.3,66,1236,+0.076
42,T43,T43,Jim Furyk,71,5.4,39,721,+0.282
43,T43,T43,Robert Garrigus,70,5.4,41,754,+0.341
44,T43,T43,J.B. Holmes,89,5.4,48,897,+0.021
45,T43,T43,John Huh,102,5.4,67,1237,+0.104
46,T43,T43,Kevin Kisner,104,5.4,71,1304,+0.169
47,T43,T43,Colt Knost,90,5.4,56,1031,+0.250
48,T43,T43,Sean O'Hair,86,5.4,60,1117,+0.033
49,T43,T43,Louis Oosthuizen,68,5.4,35,651,+0.114
50,T43,T43,Patrick Rodgers,57,5.4,34,634,+0.294
51,T43,T43,Heath Slocum,57,5.4,29,542,+0.414
52,T43,T43,Bubba Watson,71,5.4,42,776,+0.262
53,T54,T54,Blayne Barber,76,5.5,48,873,+0.250
54,T54,T54,Jason Bohn,95,5.5,66,1211,+0.030
55,T54,T54,William McGirt,103,5.5,74,1352,+0.135
56,T54,T54,Pat Perez,96,5.5,63,1148,+0.222
57,T54,T54,Byron Smith,59,5.5,33,597,+0.333
58,T54,T54,Brendan Steele,88,5.5,58,1049,+0.103
59,T60,T60,Gonzalo Fernandez-Castaño,81,5.6,49,870,+0.408
60,T60,T60,Cameron Percy,72,5.6,45,800,+0.178
61,T60,T60,Brian Stuard,97,5.6,61,1097,+0.246
62,T60,T60,Tim Wilkinson,73,5.6,45,804,+0.111
63,T64,T64,Russell Henley,87,5.7,53,933,+0.283
64,T64,T64,Russell Knox,96,5.7,69,1209,+0.087
65,T64,T64,Spencer Levin,99,5.7,66,1155,+0.197
66,T64,T64,Webb Simpson,81,5.7,51,889,+0.275
67,T64,T64,Nick Watney,91,5.7,64,1124,+0.188
68,T69,T69,Keegan Bradley,87,5.8,51,886,+0.196
69,T69,T69,Paul Casey,87,5.8,51,875,+0.275
70,T69,T69,Tony Finau,106,5.8,73,1268,E
71,T69,T69,Max Homa,78,5.8,50,858,+0.140
72,T69,T69,Whee Kim,71,5.8,45,773,+0.222
73,T69,T69,Hideki Matsuyama,95,5.8,57,980,+0.263
74,T69,T69,George McNeill,93,5.8,72,1233,+0.194
75,T76,T76,Sangmoon Bae,98,5.9,72,1229,+0.319
76,T76,T76,Stewart Cink,77,5.9,53,905,+0.208
77,T76,T76,Brendon de Jonge,106,5.9,76,1279,+0.263
78,T76,T76,Dustin Johnson,75,5.9,44,747,+0.182
79,T76,T76,Seung-Yul Noh,65,5.9,44,746,+0.136
80,T76,T76,Carlos Ortiz,100,5.9,68,1148,+0.103
81,T76,T76,Kyle Reifers,96,5.9,65,1111,+0.077
82,T76,T76,John Senden,80,5.9,42,714,+0.310
83,T84,T84,Daniel Berger,97,6.0,69,1148,+0.159
84,T84,T84,Jonas Blixt,78,6.0,43,712,+0.209
85,T84,T84,Lucas Glover,79,6.0,60,1000,+0.350
86,T84,T84,Andres Gonzales,90,6.0,62,1041,+0.194
87,T84,T84,Matt Jones,89,6.0,56,929,+0.321
88,T84,T84,David Lingmerth,90,6.0,62,1030,+0.113
89,T84,T84,Scott Pinckney,88,6.0,62,1027,+0.226
90,T84,T84,Andrew Putnam,68,6.0,44,737,+0.227
91,T84,T84,Jim Renner,68,6.0,46,771,+0.174
92,T84,T84,Michael Thompson,83,6.0,63,1044,+0.238
93,T94,T94,Scott Brown,97,6.1,68,1123,+0.147
94,T94,T94,Oscar Fraustro,58,6.1,34,553,+0.382
95,T94,T94,Fabián Gómez,83,6.1,59,961,+0.153
96,T94,T94,Troy Merritt,91,6.1,69,1132,+0.145
97,T94,T94,Greg Owen,58,6.1,34,556,-0.059
98,T94,T94,Shawn Stefani,94,6.1,74,1213,+0.257
99,T94,T94,Justin Thomas,106,6.1,81,1319,+0.099
100,T94,T94,Nicholas Thompson,90,6.1,59,971,+0.322
101,T102,T102,Robert Allenby,63,6.2,44,707,+0.250
102,T102,T102,Jason Day,75,6.2,49,792,E
103,T102,T102,Sung Joon Park,79,6.2,54,873,+0.333
104,T102,T102,Sam Saunders,83,6.2,54,870,+0.296
105,T106,T106,Luke Donald,71,6.3,47,741,+0.085
106,T106,T106,Martin Flores,95,6.3,69,1091,+0.188
107,T106,T106,J.J. Henry,94,6.3,66,1052,+0.167
108,T106,T106,Scott Langley,94,6.3,69,1098,+0.014
109,T106,T106,Jonathan Randolph,72,6.3,49,778,+0.204
110,T106,T106,Rory Sabbatini,81,6.3,57,910,+0.018
111,T106,T106,Jordan Spieth,91,6.3,57,907,+0.035
112,T113,T113,Padraig Harrington,60,6.4,43,669,+0.209
113,T113,T113,Alex Prugh,84,6.4,64,994,+0.250
114,T113,T113,Roger Sloan,56,6.4,35,549,+0.400
115,T116,T116,Greg Chalmers,58,6.5,32,493,+0.156
116,T116,T116,Martin Laird,77,6.5,65,1005,+0.246
117,T116,T116,Kevin Na,98,6.5,64,981,+0.266
118,T116,T116,John Peterson,84,6.5,70,1069,+0.071
119,T116,T116,Charl Schwartzel,67,6.5,37,570,+0.378
120,T116,T116,Camilo Villegas,83,6.5,66,1022,+0.182
121,T122,T122,Roberto Castro,54,6.6,33,501,+0.091
122,T122,T122,Harris English,105,6.6,79,1205,+0.114
123,T122,T122,Retief Goosen,81,6.6,54,818,+0.315
124,T122,T122,Matt Kuchar,97,6.6,71,1069,+0.239
125,T122,T122,Bill Lunde,50,6.6,33,499,+0.303
126,T122,T122,Andrew Svoboda,80,6.6,64,972,+0.438
127,T122,T122,Johnson Wagner,68,6.6,52,793,+0.115
128,T129,T129,Michael Putnam,87,6.7,63,936,+0.159
129,T129,T129,Robert Streb,110,6.7,90,1341,+0.333
130,T131,T131,Rickie Fowler,76,6.8,54,789,+0.185
131,T131,T131,Brian Harman,90,6.8,74,1090,+0.095
132,T131,T131,Vijay Singh,78,6.8,65,955,+0.092
133,T131,T131,Jhonattan Vegas,90,6.8,67,992,-0.015
134,T131,T131,Boo Weekley,79,6.8,63,931,+0.222
135,T136,T136,Luke Guthrie,84,6.9,65,938,+0.338
136,T136,T136,Chris Stroud,84,6.9,65,942,+0.092
137,T138,T138,Derek Fathauer,81,7.0,63,904,+0.206
138,T138,T138,Jason Kokrak,88,7.0,77,1100,+0.286
139,T138,T138,Brandt Snedeker,98,7.0,73,1042,+0.192
140,T141,T141,Eric Axley,57,7.1,42,595,+0.405
141,T141,T141,Steven Bowditch,103,7.1,86,1219,+0.058
142,T141,T141,K.J. Choi,66,7.1,56,790,+0.250
143,T141,T141,Charley Hoffman,97,7.1,75,1057,+0.280
144,T141,T141,Ryo Ishikawa,90,7.1,73,1031,-0.068
145,T141,T141,Danny Lee,120,7.1,98,1385,+0.235
146,T141,T141,Jeff Overton,94,7.1,73,1032,+0.397
147,T141,T141,Cameron Tringale,96,7.1,78,1094,+0.154
148,T141,T141,Steve Wheatcroft,87,7.1,71,1002,+0.239
149,T150,T150,Jason Dufner,76,7.2,48,666,+0.229
150,T150,T150,Scott Stallings,60,7.2,49,676,+0.388
151,T152,T152,Matt Every,73,7.3,56,765,+0.125
152,T152,T152,Billy Horschel,99,7.3,74,1016,+0.203
153,T152,T152,Carl Pettersson,106,7.3,97,1327,E
154,T155,T155,Brooks Koepka,84,7.5,67,894,+0.119
155,T155,T155,Scott Piercy,90,7.5,86,1148,+0.256
156,T155,T155,Jimmy Walker,89,7.5,66,878,+0.030
157,T155,T155,Gary Woodland,81,7.5,56,747,+0.196
158,159,159,Hunter Mahan,88,7.6,69,902,+0.188
159,T160,T160,Sergio Garcia,59,7.7,38,495,+0.184
