,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Bubba Watson,71,67.28,242154.0,359933
1,2,2,Dustin Johnson,75,66.11,229239.5,346757
2,3,3,Jason Day,75,65.67,241950.7,368424
3,4,4,Patrick Rodgers,57,65.62,191276.7,291472
4,5,5,J.B. Holmes,89,65.36,278790.8,426557
5,6,6,Brooks Koepka,84,64.54,269711.2,417902
6,7,7,Tony Finau,106,64.39,377619.4,586469
7,8,8,Jason Kokrak,88,64.26,325624.7,506754
8,9,9,Ryan Palmer,80,64.18,220817.3,344075
9,10,10,Adam Scott,51,64.17,131390.6,204740
10,11,11,Charlie Beljan,76,63.88,231542.4,362485
11,12,12,Justin Thomas,106,63.86,389683.5,610233
12,13,13,Charles Howell III,105,63.85,403482.1,631945
13,14,14,Charley Hoffman,97,63.68,309812.6,486532
14,15,15,Steven Bowditch,103,63.67,357924.3,562157
15,16,16,Jimmy Walker,89,63.48,260824.3,410885
16,17,17,Robert Garrigus,70,63.44,221330.4,348894
17,18,18,Gary Woodland,81,63.33,219753.3,346980
18,19,19,Derek Ernst,75,63.32,252178.7,398289
19,20,20,Carlos Ortiz,100,63.29,335276.5,529786
20,T21,T21,Sergio Garcia,59,63.21,145885.9,230804
21,T21,T21,Russell Henley,87,63.21,271512.1,429532
22,23,23,Martin Flores,95,63.17,316995.9,501797
23,24,24,Justin Rose,69,63.16,199220.7,315424
24,25,25,Morgan Hoffmann,85,63.07,277670.4,440235
25,26,26,Charl Schwartzel,67,63.03,165867.3,263171
26,T27,T27,Keegan Bradley,87,63.02,259123.3,411208
27,T27,T27,Robert Streb,110,63.02,387221.3,614399
28,29,29,Scott Piercy,90,63.01,333319.5,528959
29,30,30,Hunter Mahan,88,62.97,264002.8,419273
30,31,31,Ángel Cabrera,53,62.95,171038.8,271695
31,32,32,Billy Horschel,99,62.9,294021.9,467475
32,33,33,Daniel Berger,97,62.89,332603.4,528831
33,34,34,Cameron Percy,72,62.85,231800.0,368841
34,35,35,Brendan Steele,88,62.84,306610.6,487918
35,36,36,Paul Casey,87,62.81,251232.1,400019
36,37,37,Nick Taylor,91,62.79,332346.0,529306
37,T38,T38,Lucas Glover,79,62.77,287221.4,457552
38,T38,T38,Roger Sloan,56,62.77,160042.8,254974
39,40,40,Louis Oosthuizen,68,62.74,188501.5,300453
40,41,41,Phil Mickelson,70,62.73,221885.1,353715
41,T42,T42,Tom Hoge,83,62.72,259288.9,413400
42,T42,T42,Max Homa,78,62.72,247432.6,394483
43,T42,T42,Shawn Stefani,94,62.72,351352.8,560181
44,T42,T42,Jhonattan Vegas,90,62.72,288091.6,459299
45,46,46,Martin Laird,77,62.71,290764.8,463635
46,47,47,Harris English,105,62.7,350860.3,559615
47,48,48,Matt Jones,89,62.69,269462.1,429866
48,T49,T49,Brian Harman,90,62.64,310570.4,495824
49,T49,T49,Willy Wilcox,58,62.64,161786.4,258273
50,51,51,Hideki Matsuyama,95,62.61,282748.6,451612
51,52,52,Boo Weekley,79,62.58,266159.0,425322
52,53,53,Patrick Reed,103,62.55,303761.4,485620
53,54,54,Davis Love III,51,62.49,166373.7,266261
54,55,55,Seung-Yul Noh,65,62.41,216388.5,346726
55,56,56,Hudson Swafford,97,62.39,328564.6,526625
56,57,57,Oscar Fraustro,58,62.37,158252.3,253734
57,T58,T58,Rickie Fowler,76,62.36,229958.6,368785
58,T58,T58,James Hahn,94,62.36,310349.6,497655
59,T58,T58,Jordan Spieth,91,62.36,263365.3,422355
60,61,61,Greg Owen,58,62.35,159730.8,256175
61,62,62,Bill Lunde,50,62.34,141351.7,226742
