,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Francesco Molinari,56,89.65,667,744
1,2,2,Willy Wilcox,58,88.77,664,748
2,3,3,David Toms,62,88.24,713,808
3,4,4,Nicholas Thompson,90,88.12,1053,1195
4,5,5,Henrik Stenson,63,88.03,743,844
5,6,6,John Peterson,84,87.86,1028,1170
6,7,7,Chez Reavie,56,87.55,682,779
7,8,8,Jason Bohn,95,87.0,1151,1323
8,9,9,Kevin Streelman,95,86.9,1108,1275
9,10,10,William McGirt,103,86.58,1245,1438
10,11,11,Derek Ernst,75,86.51,853,986
11,12,12,Jerry Kelly,79,86.36,950,1100
12,13,13,Bill Haas,89,86.15,1039,1206
13,14,14,Spencer Levin,99,86.14,1162,1349
14,15,15,Zach Johnson,90,86.13,1056,1226
15,16,16,Jim Herman,88,86.07,1057,1228
16,17,17,Colt Knost,90,85.95,1028,1196
17,18,18,Brendon de Jonge,106,85.9,1267,1475
18,19,19,Steven Alker,62,85.77,717,836
19,T20,T20,Zac Blair,108,85.71,1242,1449
20,T20,T20,Bryce Molder,91,85.71,1038,1211
21,T22,T22,Blayne Barber,76,85.65,883,1031
22,T22,T22,Jim Furyk,71,85.65,770,899
23,24,24,John Senden,80,85.62,905,1057
24,25,25,Webb Simpson,81,85.52,939,1098
25,T26,T26,Jason Gore,76,85.47,859,1005
26,T26,T26,John Huh,102,85.47,1200,1404
27,28,28,Stewart Cink,77,85.38,923,1081
28,29,29,Cameron Tringale,96,85.22,1147,1346
29,30,30,Brian Stuard,97,85.2,1105,1297
30,31,31,Brendon Todd,96,85.16,1113,1307
31,32,32,Pat Perez,96,85.09,1141,1341
32,33,33,Jonathan Byrd,69,85.07,769,904
33,34,34,George McNeill,93,84.98,1103,1298
34,T35,T35,Justin Leonard,61,84.91,726,855
35,T35,T35,Boo Weekley,79,84.91,934,1100
36,37,37,Jason Day,75,84.89,865,1019
37,T38,T38,Russell Knox,96,84.81,1139,1343
38,T38,T38,Hudson Swafford,97,84.81,1122,1323
39,T40,T40,John Merrick,78,84.74,872,1029
40,T40,T40,Brendan Steele,88,84.74,994,1173
41,42,42,Chad Campbell,97,84.69,1145,1352
42,43,43,Kevin Kisner,104,84.66,1231,1454
43,44,44,Geoff Ogilvy,50,84.63,578,683
44,45,45,Billy Hurley III,83,84.59,928,1097
45,46,46,Jason Dufner,76,84.54,864,1022
46,T47,T47,Paul Casey,87,84.42,975,1155
47,T47,T47,Johnson Wagner,68,84.42,802,950
48,49,49,Jon Curran,83,84.41,926,1097
