,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Francesco Molinari,56,18.49,110,595,+0.82
1,2,2,David Toms,62,19.61,150,765,+1.33
2,3,3,Chez Reavie,56,20.49,142,693,+1.41
3,4,4,Jason Bohn,95,20.81,252,1211,+1.07
4,5,5,Jerry Kelly,79,22.39,206,920,+0.44
5,6,6,Justin Leonard,61,22.5,169,751,+2.07
6,7,7,Zach Johnson,90,22.52,220,977,+0.59
7,8,8,Spencer Levin,99,23.03,266,1155,+1.80
8,9,9,Brian Stuard,97,23.15,254,1097,+1.22
9,10,10,Colt Knost,90,23.18,239,1031,+1.76
10,11,11,Cameron Tringale,96,23.22,254,1094,+1.38
11,12,12,Steven Alker,62,23.28,162,696,+2.16
12,13,13,John Peterson,84,23.29,249,1069,+1.04
13,14,14,Justin Rose,69,23.3,158,678,+0.19
14,15,15,Roberto Castro,54,23.35,117,501,+1.28
15,16,16,John Merrick,78,23.39,189,808,+1.43
16,17,17,Kevin Streelman,95,23.43,238,1016,+0.50
17,18,18,Brendon Todd,96,23.56,250,1061,+0.84
18,19,19,John Huh,102,23.61,292,1237,+1.85
19,20,20,Ryan Moore,81,23.65,201,850,+1.54
20,21,21,Nicholas Thompson,90,23.89,232,971,+1.38
21,22,22,Russell Knox,96,24.07,291,1209,+1.44
22,23,23,Sung Joon Park,79,24.17,211,873,+0.81
23,24,24,Webb Simpson,81,24.18,215,889,+0.79
24,25,25,Jason Gore,76,24.44,198,810,+1.16
25,26,26,William McGirt,103,24.63,333,1352,+0.99
26,27,27,Chris Stroud,84,24.84,234,942,+1.75
27,T28,T28,Brian Harman,90,24.95,272,1090,+0.63
28,T28,T28,Bryce Molder,91,24.95,267,1070,+0.86
29,30,30,Zac Blair,108,24.98,306,1225,+1.14
30,31,31,Brian Davis,86,25.0,246,984,+1.26
31,32,32,Danny Lee,120,25.05,347,1385,+0.35
32,33,33,Pat Perez,96,25.09,288,1148,+0.03
33,34,34,Jim Furyk,71,25.1,181,721,+0.28
34,35,35,Jon Curran,83,25.31,228,901,+1.45
35,36,36,Robert Allenby,63,25.32,179,707,+1.84
36,37,37,Adam Hadwin,95,25.38,284,1119,+1.30
37,38,38,Kevin Kisner,104,25.46,332,1304,+0.84
38,39,39,George McNeill,93,25.55,315,1233,+0.16
39,40,40,Henrik Stenson,63,25.62,156,609,+0.13
40,41,41,Ben Crane,62,25.66,185,721,+0.81
41,42,42,Sam Saunders,83,25.75,224,870,+0.67
42,T43,T43,Ken Duke,93,25.83,279,1080,+1.18
43,T43,T43,Ian Poulter,68,25.83,171,662,+0.70
44,45,45,Keegan Bradley,87,25.85,229,886,+0.39
45,46,46,Jim Herman,88,25.86,277,1071,+1.01
46,47,47,John Senden,80,25.91,185,714,+1.62
47,48,48,David Lingmerth,90,25.92,267,1030,+1.05
48,49,49,Jordan Spieth,91,26.13,237,907,-0.13
49,50,50,Jonathan Byrd,69,26.17,185,707,+0.81
50,51,51,Brendon de Jonge,106,26.19,335,1279,+0.54
51,52,52,Willy Wilcox,58,26.23,149,568,+0.20
52,53,53,Heath Slocum,57,26.38,143,542,+2.31
53,54,54,Jason Dufner,76,26.43,176,666,+0.45
54,55,55,Gonzalo Fernandez-Castaño,81,26.44,230,870,+1.22
55,T56,T56,Russell Henley,87,26.47,247,933,+1.21
56,T56,T56,Chris Kirk,76,26.47,207,782,+0.58
57,58,58,Graham DeLaet,65,26.68,199,746,+1.36
58,59,59,Billy Horschel,99,26.77,272,1016,+0.44
59,60,60,Boo Weekley,79,26.85,250,931,E
60,61,61,Tim Wilkinson,73,26.87,216,804,+1.48
61,62,62,Bill Haas,89,26.88,265,986,+0.57
62,63,63,Mark Hubbard,79,26.94,229,850,+1.66
63,64,64,Derek Ernst,75,26.95,235,872,+0.38
64,65,65,Steve Wheatcroft,87,27.05,271,1002,+1.22
65,66,66,Chad Campbell,97,27.06,342,1264,+1.14
66,67,67,Rickie Fowler,76,27.12,214,789,+0.56
67,68,68,Hideki Matsuyama,95,27.14,266,980,+0.45
68,T69,T69,K.J. Choi,66,27.22,215,790,+1.16
69,T69,T69,Scott Stallings,60,27.22,184,676,+0.43
70,71,71,Shawn Stefani,94,27.29,331,1213,+0.27
71,72,72,Lucas Glover,79,27.3,273,1000,+1.50
72,73,73,Hudson Swafford,97,27.45,316,1151,+0.82
73,74,74,Troy Merritt,91,27.47,311,1132,+1.54
74,75,75,Johnson Wagner,68,27.49,218,793,+1.01
75,76,76,Ben Martin,93,27.53,296,1075,+1.82
76,77,77,Chad Collins,79,27.66,242,875,+1.24
77,78,78,Matt Kuchar,97,27.69,296,1069,-0.17
78,79,79,Blayne Barber,76,27.84,243,873,+0.53
79,80,80,Kevin Chappell,86,27.86,290,1041,+0.66
80,81,81,Daniel Berger,97,27.87,320,1148,+0.56
81,82,82,Lee Westwood,56,27.95,123,440,+1.14
82,83,83,Alex Prugh,84,27.97,278,994,+0.86
83,84,84,Davis Love III,51,28.03,164,585,+1.04
84,85,85,Erik Compton,86,28.04,270,963,+0.89
85,86,86,Billy Hurley III,83,28.13,245,871,+1.51
86,87,87,Bill Lunde,50,28.26,141,499,+2.13
87,88,88,Sean O'Hair,86,28.29,316,1117,+0.92
88,89,89,Mark Wilson,89,28.32,318,1123,+1.26
89,90,90,Scott Langley,94,28.42,312,1098,+1.09
90,91,91,Scott Brown,97,28.5,320,1123,+1.03
91,92,92,Alex Cejka,94,28.55,312,1093,+0.87
92,93,93,James Hahn,94,28.56,309,1082,E
93,94,94,David Hearn,97,28.61,337,1178,+1.25
94,95,95,Justin Thomas,106,28.66,378,1319,+0.08
95,96,96,Michael Putnam,87,28.74,269,936,+1.45
96,97,97,Scott Piercy,90,28.83,331,1148,+0.82
97,98,98,Jamie Donaldson,50,28.89,128,443,+0.63
98,99,99,Brendan Steele,88,29.08,305,1049,+0.36
99,100,100,Carl Pettersson,106,29.09,386,1327,+0.47
100,101,101,Nick Watney,91,29.18,328,1124,+0.98
101,102,102,Roger Sloan,56,29.33,161,549,+1.74
102,103,103,Martin Laird,77,29.35,295,1005,+0.54
103,104,104,Brandt Snedeker,98,29.37,306,1042,+0.85
104,105,105,Fabián Gómez,83,29.45,283,961,+2.16
105,106,106,Scott Pinckney,88,29.6,304,1027,+1.02
106,107,107,Cameron Percy,72,29.63,237,800,+0.76
107,T108,T108,Tom Hoge,83,29.65,268,904,+0.26
108,T108,T108,Charl Schwartzel,67,29.65,169,570,+0.59
109,110,110,Oscar Fraustro,58,29.66,164,553,+1.04
110,111,111,Rory Sabbatini,81,29.78,271,910,+0.37
111,112,112,Kyle Reifers,96,29.79,331,1111,+1.00
112,113,113,Luke Guthrie,84,29.85,280,938,+0.93
113,114,114,Louis Oosthuizen,68,29.95,195,651,+0.41
114,115,115,Kevin Na,98,29.97,294,981,+0.71
115,116,116,Geoff Ogilvy,50,30.0,147,490,+1.43
116,117,117,Daniel Summerhays,101,30.02,371,1236,+0.67
117,118,118,Ryo Ishikawa,90,30.16,311,1031,+0.35
118,119,119,Michael Thompson,83,30.27,316,1044,+0.82
119,120,120,Charlie Beljan,76,30.46,240,788,+1.67
120,121,121,Jim Renner,68,30.48,235,771,+2.21
121,122,122,Carlos Ortiz,100,30.49,350,1148,+0.69
122,123,123,Paul Casey,87,30.51,267,875,+0.19
123,124,124,Jeff Overton,94,30.52,315,1032,+0.98
124,125,125,Andres Romero,69,30.6,228,745,-0.18
125,126,126,Brice Garnett,81,30.63,272,888,+1.69
126,127,127,Matt Jones,89,30.68,285,929,+0.39
127,128,128,Brooks Koepka,84,30.76,275,894,E
128,129,129,Gary Woodland,81,30.79,230,747,+0.43
129,130,130,Tyrone Van Aswegen,58,30.8,178,578,+0.67
130,131,131,Greg Chalmers,58,30.83,152,493,+1.05
131,132,132,Sergio Garcia,59,30.91,153,495,+0.85
