,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Jon Curran,83,10.28,93,905,+0.172
1,2,2,Andres Gonzales,90,9.54,101,1059,+0.109
2,3,3,Scott Langley,94,9.36,103,1101,+0.097
3,4,4,Ian Poulter,68,9.28,62,668,E
4,5,5,John Huh,102,9.11,113,1240,+0.088
5,6,6,Bryce Molder,91,9.02,97,1075,-0.010
6,7,7,Billy Hurley III,83,8.79,77,876,+0.169
7,8,8,Andrew Putnam,68,8.61,65,755,+0.262
8,9,9,Jim Furyk,71,8.56,62,724,-0.113
9,10,10,Johnson Wagner,68,8.52,68,798,+0.176
10,11,11,Justin Leonard,61,8.5,64,753,+0.188
11,12,12,Matt Jones,89,8.4,79,940,E
12,13,13,John Peterson,84,8.3,89,1072,+0.157
13,14,14,Ángel Cabrera,53,8.28,49,592,+0.041
14,15,15,Aaron Baddeley,76,8.23,76,924,+0.197
15,16,16,Blayne Barber,76,8.2,72,878,E
16,17,17,Jason Dufner,76,8.1,54,667,+0.130
17,18,18,Ben Crane,62,8.09,59,729,+0.136
18,19,19,Willy Wilcox,58,8.07,46,570,-0.043
19,20,20,D.A. Points,72,8.04,65,808,+0.215
20,21,21,Jerry Kelly,79,8.03,74,921,+0.095
21,T22,T22,Robert Allenby,63,8.01,57,712,+0.228
22,T22,T22,Tyrone Van Aswegen,58,8.01,47,587,+0.149
23,24,24,Ricky Barnes,82,7.98,70,877,+0.171
24,25,25,Bo Van Pelt,81,7.94,72,907,+0.139
25,26,26,Zac Blair,108,7.81,96,1229,+0.104
26,27,27,Chad Campbell,97,7.8,99,1269,+0.081
27,28,28,Jim Renner,68,7.79,61,783,+0.098
28,T29,T29,Jonathan Byrd,69,7.72,55,712,+0.091
29,T29,T29,Luke Donald,71,7.72,58,751,+0.121
30,31,31,Camilo Villegas,83,7.69,80,1040,+0.163
31,32,32,Ryan Moore,81,7.62,65,853,-0.092
32,33,33,Chris Stroud,84,7.57,72,951,+0.042
33,34,34,Retief Goosen,81,7.55,63,834,+0.127
34,35,35,Sean O'Hair,86,7.54,85,1128,-0.035
35,36,36,David Hearn,97,7.43,88,1185,+0.102
36,37,37,Whee Kim,71,7.41,58,783,-0.069
37,38,38,Chris Kirk,76,7.38,58,786,+0.103
38,39,39,Roberto Castro,54,7.37,37,502,+0.189
39,40,40,Troy Merritt,91,7.36,84,1142,+0.036
40,41,41,Ben Martin,93,7.3,79,1082,+0.127
41,42,42,Chad Collins,79,7.27,64,880,+0.094
42,43,43,Ryo Ishikawa,90,7.26,76,1047,+0.250
43,44,44,George McNeill,93,7.25,90,1242,+0.111
44,45,45,Pat Perez,96,7.24,84,1160,+0.155
45,46,46,Daniel Summerhays,101,7.09,88,1241,+0.057
46,47,47,Daniel Berger,97,7.08,82,1159,+0.122
47,T48,T48,Alex Cejka,94,7.0,77,1100,+0.208
48,T48,T48,Spencer Levin,99,7.0,81,1157,+0.136
49,50,50,Brian Stuard,97,6.98,77,1103,+0.169
50,51,51,Marc Leishman,74,6.9,52,754,E
51,52,52,Ken Duke,93,6.81,74,1087,+0.027
52,T53,T53,Charlie Beljan,76,6.79,54,795,+0.148
53,T53,T53,J.J. Henry,94,6.79,72,1060,+0.194
54,55,55,Colt Knost,90,6.78,70,1032,+0.143
55,T56,T56,Brice Garnett,81,6.73,60,892,+0.017
56,T56,T56,Adam Scott,51,6.73,30,446,+0.167
57,58,58,Henrik Stenson,63,6.7,41,612,-0.024
58,59,59,Kevin Na,98,6.68,66,988,+0.045
59,60,60,Michael Putnam,87,6.66,63,946,+0.095
60,61,61,Mark Wilson,89,6.65,75,1128,+0.187
61,62,62,Fabián Gómez,83,6.64,64,964,+0.141
62,T63,T63,Jonas Blixt,78,6.62,48,725,+0.167
63,T63,T63,Derek Fathauer,81,6.62,61,921,+0.213
64,65,65,Russell Knox,96,6.6,80,1213,+0.138
65,T66,T66,Byron Smith,59,6.49,39,601,+0.462
66,T66,T66,Michael Thompson,83,6.49,68,1048,+0.147
67,T66,T66,Brendon Todd,96,6.49,69,1063,-0.043
68,69,69,Martin Flores,95,6.44,71,1102,+0.169
69,70,70,Louis Oosthuizen,68,6.4,42,656,+0.119
