,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Robert Allenby,25,38.7,98,253,+2.86
1,2,2,Russell Henley,24,39.4,129,327,+1.47
2,3,3,Blayne Barber,26,40.5,126,311,-0.08
3,4,4,Andres Romero,24,40.7,140,344,+1.00
4,T5,T5,Eric Axley,21,40.8,102,250,+3.24
5,T5,T5,Matt Kuchar,25,40.8,160,392,+0.19
6,7,7,Steven Bowditch,32,41.7,230,551,+0.96
7,8,8,Justin Leonard,22,41.9,91,217,+3.08
8,9,9,Henrik Stenson,16,42.2,81,192,+0.37
9,10,10,J.J. Henry,30,42.5,175,412,+1.94
10,11,11,Davis Love III,18,42.7,85,199,+1.29
11,T12,T12,Billy Horschel,28,42.9,156,364,+1.47
12,T12,T12,Billy Hurley III,28,42.9,134,312,+1.49
13,T12,T12,Brandt Snedeker,27,42.9,173,403,+1.27
14,15,15,Ben Crane,22,43.8,102,233,+1.57
15,16,16,Michael Thompson,27,44.0,184,418,+1.41
16,17,17,Danny Lee,36,44.2,216,489,+1.76
17,18,18,Carl Pettersson,32,44.3,233,526,+1.16
18,19,19,Paul Casey,24,44.4,144,324,+1.04
19,20,20,Alex Cejka,30,44.6,179,401,+1.40
20,21,21,Erik Compton,28,44.8,172,384,+1.16
21,22,22,Carlos Ortiz,30,45.0,202,449,+1.53
22,23,23,Andrew Svoboda,30,45.2,178,394,+3.09
23,T24,T24,Chesson Hadley,30,45.3,236,521,+1.57
24,T24,T24,David Lingmerth,28,45.3,158,349,+1.08
25,T24,T24,Seung-Yul Noh,21,45.3,149,329,+2.08
26,T27,T27,Zach Johnson,25,45.4,128,282,+2.11
27,T27,T27,D.A. Points,26,45.4,161,355,+0.50
28,T27,T27,Tim Wilkinson,28,45.4,133,293,+2.11
29,T30,T30,Jon Curran,28,45.5,132,290,+1.74
30,T30,T30,Geoff Ogilvy,15,45.5,90,198,+2.89
31,T32,T32,Jason Day,20,45.7,155,339,+0.58
32,T32,T32,Phil Mickelson,19,45.7,154,337,+0.65
33,34,34,Luke Donald,20,45.8,138,301,+1.59
34,35,35,Rory Sabbatini,25,45.9,164,357,+0.85
35,36,36,Spencer Levin,31,46.0,156,339,+2.31
36,37,37,John Senden,24,46.2,109,236,+2.29
37,38,38,Jonathan Randolph,25,46.3,162,350,+1.54
38,T39,T39,William McGirt,30,46.6,197,423,+1.52
39,T39,T39,Cameron Percy,23,46.6,142,305,+0.92
40,41,41,Luke Guthrie,27,46.7,176,377,+1.88
41,T42,T42,Stewart Cink,23,47.0,174,370,+0.29
42,T42,T42,Sean O'Hair,26,47.0,194,413,+1.19
43,T44,T44,Kevin Kisner,30,47.1,200,425,+0.50
44,T44,T44,Sung Joon Park,27,47.1,136,289,+2.35
45,T44,T44,Vijay Singh,23,47.1,177,376,+1.53
46,T47,T47,Chad Campbell,30,47.2,201,426,+1.94
47,T47,T47,Lucas Glover,26,47.2,167,354,+2.04
48,49,49,Matt Every,26,47.7,173,363,+3.41
49,50,50,Johnson Wagner,23,47.8,140,293,+0.79
50,T51,T51,Brendon de Jonge,31,47.9,207,432,+1.26
51,T51,T51,Kevin Na,27,47.9,180,376,+2.00
52,53,53,Hunter Mahan,24,48.1,180,374,+1.56
53,T54,T54,Ernie Els,18,48.4,120,248,+2.42
54,T54,T54,Bubba Watson,19,48.4,152,314,-0.26
55,56,56,Andres Gonzales,28,48.5,207,427,+1.79
56,57,57,Nick Taylor,28,48.7,237,487,+2.07
57,58,58,Robert Garrigus,25,48.8,156,320,+2.44
58,T59,T59,J.B. Holmes,25,49.1,182,371,+0.88
59,T59,T59,Andrew Putnam,23,49.1,159,324,+1.82
60,T59,T59,Webb Simpson,22,49.1,141,287,+0.85
61,T62,T62,Brian Davis,31,49.2,156,317,+1.60
62,T62,T62,Jason Gore,26,49.2,129,262,+1.47
63,T62,T62,Tyrone Van Aswegen,20,49.2,127,258,+1.89
64,65,65,Patrick Reed,27,49.3,231,469,+0.04
65,T66,T66,Chris Kirk,21,49.5,145,293,+0.69
66,T66,T66,Boo Weekley,24,49.5,165,333,+0.24
67,T68,T68,Martin Flores,30,49.6,232,468,+1.16
68,T68,T68,Justin Thomas,30,49.6,253,510,+1.42
69,70,70,Adam Scott,15,49.7,95,191,+1.58
70,71,71,Jason Kokrak,28,49.9,236,473,+1.31
71,T72,T72,Scott Stallings,19,50.2,131,261,+1.30
72,T72,T72,Shawn Stefani,26,50.2,219,436,+1.42
73,T74,T74,Jordan Spieth,25,50.3,160,318,E
74,T74,T74,Brian Stuard,31,50.3,168,334,+1.96
75,T76,T76,Graham DeLaet,22,50.4,129,256,+2.56
76,T76,T76,Bill Haas,25,50.4,182,361,+1.15
77,T76,T76,Bo Van Pelt,28,50.4,176,349,+2.05
78,79,79,Kevin Chappell,26,50.5,189,374,+1.85
79,T80,T80,Ángel Cabrera,19,50.6,125,247,+2.32
80,T80,T80,Louis Oosthuizen,20,50.6,127,251,+1.34
81,T82,T82,Jason Dufner,21,50.8,121,238,+1.90
82,T82,T82,Ben Martin,27,50.8,186,366,+2.04
83,T84,T84,Roberto Castro,16,50.9,82,161,+1.22
84,T84,T84,Brendon Todd,27,50.9,162,318,+0.99
85,T86,T86,Padraig Harrington,21,51.0,158,310,+1.58
