,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
106,T106,T106,Matt Every,73,51.73,51187.4,98959
107,T106,T106,Jeff Overton,94,51.73,65139.8,125911
108,109,109,Jordan Spieth,91,51.68,61919.1,119812
109,110,110,Brice Garnett,81,51.67,56554.4,109459
110,111,111,Nicholas Thompson,90,51.57,62750.4,121676
111,T112,T112,Chez Reavie,56,51.56,43845.6,85039
112,T112,T112,John Senden,80,51.56,49752.8,96502
113,T114,T114,Scott Brown,97,51.55,71815.4,139317
114,T114,T114,Bill Haas,89,51.55,63573.8,123318
115,T114,T114,Lee Westwood,56,51.55,30579.7,59326
116,117,117,Bo Van Pelt,81,51.54,61295.1,118928
117,118,118,Kyle Reifers,96,51.46,71235.9,138440
118,119,119,Ben Martin,93,51.43,65903.4,128140
119,120,120,John Peterson,84,51.42,70994.0,138061
120,121,121,John Merrick,78,51.4,53126.1,103352
121,122,122,Jonathan Byrd,69,51.39,45413.2,88363
122,123,123,Webb Simpson,81,51.38,54985.2,107026
123,124,124,Roberto Castro,54,51.37,28921.7,56300
124,T125,T125,Jonas Blixt,78,51.31,46608.4,90836
125,T125,T125,Chris Kirk,76,51.31,52051.2,101447
126,127,127,Matt Kuchar,97,51.3,72419.7,141173
127,128,128,George McNeill,93,51.26,77755.2,151692
128,T129,T129,Chad Campbell,97,51.23,79372.5,154938
129,T129,T129,Spencer Levin,99,51.23,72066.1,140672
130,131,131,David Lingmerth,90,51.17,64980.1,126998
131,132,132,Luke Guthrie,84,51.16,61095.2,119421
132,133,133,Pat Perez,96,51.15,77590.2,151700
133,134,134,Jim Renner,68,51.14,48032.1,93931
134,135,135,Kevin Kisner,104,51.08,83410.3,163280
135,136,136,Brandt Snedeker,98,51.07,66185.5,129591
136,137,137,Brendon de Jonge,106,51.02,83169.0,162997
137,138,138,Chris Stroud,84,51.0,60790.6,119193
138,139,139,Scott Langley,94,50.96,68759.3,134936
139,T140,T140,Robert Allenby,63,50.92,42970.7,84393
140,T140,T140,Troy Merritt,91,50.92,75789.9,148849
141,142,142,Alex Cejka,94,50.82,71702.1,141092
142,143,143,Sung Joon Park,79,50.81,55627.6,109481
143,144,144,Daniel Summerhays,101,50.79,77273.1,152145
144,145,145,Steven Alker,62,50.77,42147.7,83021
145,146,146,Russell Knox,96,50.68,77758.7,153418
146,147,147,Fabián Gómez,83,50.65,58095.6,114695
147,T148,T148,Mark Hubbard,79,50.62,53125.7,104949
148,T148,T148,Andrew Putnam,68,50.62,50454.4,99675
149,150,150,D.A. Points,72,50.55,54320.3,107463
150,151,151,Jim Furyk,71,50.54,50892.8,100708
151,152,152,Whee Kim,71,50.53,48373.1,95734
152,153,153,Jason Dufner,76,50.49,42137.1,83463
153,154,154,Danny Lee,120,50.46,88420.3,175217
154,T155,T155,Ryan Moore,81,50.43,58230.1,115471
155,T155,T155,Ian Poulter,68,50.43,43136.5,85530
156,157,157,Tim Wilkinson,73,50.42,50607.6,100370
157,158,158,Chad Collins,79,50.4,54525.1,108174
158,159,159,Brian Stuard,97,50.39,69617.1,138157
159,160,160,Heath Slocum,57,50.38,33915.8,67321
160,161,161,Greg Chalmers,58,50.35,33369.4,66270
161,162,162,Zach Johnson,90,50.34,57938.7,115088
162,163,163,Ken Duke,93,50.24,66903.6,133163
163,164,164,John Huh,102,50.19,79795.9,158979
164,165,165,David Hearn,97,50.13,77584.8,154769
165,166,166,William McGirt,103,50.09,83322.2,166348
166,167,167,Francesco Molinari,56,50.08,39170.6,78209
167,168,168,Mark Wilson,89,49.99,69302.7,138633
168,169,169,Cameron Tringale,96,49.92,72164.0,144557
169,T170,T170,Luke Donald,71,49.87,43930.8,88091
170,T170,T170,Colt Knost,90,49.87,63759.7,127842
171,172,172,Jerry Kelly,79,49.79,55194.0,110848
172,173,173,K.J. Choi,66,49.76,54281.5,109081
173,174,174,Kevin Na,98,49.65,60870.4,122595
174,175,175,Jason Bohn,95,49.52,76644.3,154782
175,176,176,Brian Davis,86,49.45,60229.2,121798
176,177,177,Bryce Molder,91,49.35,64518.3,130725
177,178,178,Zac Blair,108,49.28,72810.2,147760
178,179,179,Brendon Todd,96,49.26,62703.0,127294
179,180,180,Ben Crane,62,49.13,44903.0,91396
180,181,181,Billy Hurley III,83,48.9,53969.1,110358
181,T182,T182,Justin Leonard,61,48.72,44035.3,90378
182,T182,T182,David Toms,62,48.72,47981.7,98479
183,184,184,Jon Curran,83,48.5,53013.5,109312
