,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Justin Thomas,106,"132' 8""",3534',102,"301' 2""","68' 9"""
1,2,2,Patrick Rodgers,57,"130' 9""","6012' 9""",46,"169' 11""","88' 0"""
2,3,3,Keegan Bradley,87,"125' 3""","270' 11""",82,"155' 2""","90' 4"""
3,4,4,J.B. Holmes,89,"125' 2""","8636' 5""",69,"169' 2""","73' 6"""
4,5,5,Phil Mickelson,70,"122' 1""","6224' 6""",51,"166' 8""","52' 1"""
5,6,6,Charley Hoffman,97,"121' 4""","70' 1""",83,"154' 3""","80' 5"""
6,7,7,Padraig Harrington,60,"119' 6""","6811' 0""",57,"179' 0""","85' 6"""
7,8,8,Alex Prugh,84,"119' 3""",9537',80,"157' 2""","77' 4"""
8,9,9,James Hahn,94,"118' 5""",9001',76,"152' 3""","79' 11"""
9,10,10,Rickie Fowler,76,"118' 4""",7693',65,"157' 6""","70' 8"""
10,11,11,Dustin Johnson,75,"118' 0""","5780' 6""",49,"159' 10""","82' 6"""
11,12,12,Brooks Koepka,84,"117' 9""","9891' 3""",84,"156' 10""","80' 6"""
12,13,13,Jason Day,75,"117' 8""","7175' 6""",61,"149' 10""","81' 4"""
13,14,14,Michael Thompson,83,"117' 6""","9751' 6""",83,"144' 7""","69' 9"""
14,15,15,Graham DeLaet,65,"117' 3""",6098',52,"146' 1""","91' 0"""
15,16,16,Hudson Swafford,97,"116' 11""","52' 8""",86,"143' 2""","87' 7"""
16,17,17,Morgan Hoffmann,85,"116' 5""","9079' 3""",78,"164' 6""","71' 11"""
17,18,18,Tony Finau,106,"116' 2""","807' 3""",93,"171' 4""","63' 5"""
18,19,19,Scott Piercy,90,"115' 11""","9969' 5""",86,"158' 1""","78' 1"""
19,20,20,Ryan Palmer,80,"113' 9""",7506',66,"149' 6""","85' 11"""
20,21,21,Jordan Spieth,91,"113' 3""","7698' 7""",68,"144' 10""","81' 9"""
21,22,22,Russell Henley,87,"112' 9""","9471' 0""",84,"137' 11""","74' 10"""
22,T23,T23,Seung-Yul Noh,65,"112' 5""","6518' 7""",58,"143' 1""","79' 1"""
23,T23,T23,Roger Sloan,56,"112' 5""","4721' 7""",42,"144' 5""","86' 2"""
24,T23,T23,Nicholas Thompson,90,"112' 5""",9219',82,"149' 3""","88' 2"""
25,26,26,Kevin Chappell,86,"111' 6""","6914' 3""",62,"144' 9""","83' 0"""
26,27,27,Sam Saunders,83,"111' 5""","7907' 9""",71,"147' 0""","76' 1"""
27,28,28,Carlos Ortiz,100,"111' 3""","795' 1""",97,"149' 10""","64' 0"""
28,29,29,Nick Taylor,91,"110' 9""","9857' 4""",89,"136' 8""","69' 9"""
29,30,30,Danny Lee,120,"110' 5""","2148' 2""",110,"144' 2""","65' 11"""
30,T31,T31,Davis Love III,51,"110' 1""","4734' 0""",43,"139' 3""","82' 2"""
31,T31,T31,Sean O'Hair,86,"110' 1""","7923' 5""",72,"148' 6""","60' 1"""
32,33,33,Retief Goosen,81,"110' 0""",7808',71,"171' 7""","34' 4"""
33,34,34,Brendan Steele,88,"109' 6""","9967' 6""",91,"145' 7""","63' 7"""
34,35,35,Justin Rose,69,"109' 4""",5794',53,"142' 4""","68' 4"""
35,36,36,Matt Every,73,"109' 1""","7415' 5""",68,"135' 4""","72' 5"""
36,37,37,Troy Merritt,91,"108' 9""","8697' 5""",80,"136' 5""","61' 0"""
37,38,38,Chesson Hadley,101,"108' 4""","9205' 0""",85,"147' 6""","58' 10"""
38,T39,T39,Sergio Garcia,59,"108' 3""","4438' 7""",41,"158' 4""","73' 8"""
