,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Francesco Molinari,56,9.08,54,595,E
1,T2,T2,Robert Allenby,63,9.19,65,707,+0.09
2,T2,T2,Justin Leonard,61,9.19,69,751,+0.22
3,4,4,Zach Johnson,90,9.93,97,977,+0.02
4,5,5,Henrik Stenson,63,10.51,64,609,E
5,6,6,Russell Henley,87,10.72,100,933,+0.01
6,7,7,Spencer Levin,99,10.74,124,1155,+0.23
7,8,8,Jerry Kelly,79,11.2,103,920,+0.07
8,9,9,Danny Lee,120,11.26,156,1385,+0.07
9,10,10,William McGirt,103,11.39,154,1352,+0.13
10,11,11,Ben Crane,62,11.51,83,721,+0.12
11,12,12,Roberto Castro,54,11.58,58,501,+0.10
12,13,13,Matt Kuchar,97,11.6,124,1069,-0.09
13,14,14,Jon Curran,83,11.65,105,901,+0.08
14,15,15,Tim Wilkinson,73,11.69,94,804,+0.15
15,16,16,Webb Simpson,81,11.7,104,889,+0.03
16,17,17,Chez Reavie,56,11.83,82,693,+0.23
17,18,18,Billy Horschel,99,11.91,121,1016,+0.07
18,19,19,Brian Stuard,97,11.94,131,1097,+0.15
19,20,20,Jason Bohn,95,11.97,145,1211,+0.11
20,21,21,Kevin Streelman,95,12.01,122,1016,+0.11
21,22,22,Blayne Barber,76,12.03,105,873,-0.03
22,23,23,Brendon Todd,96,12.06,128,1061,+0.09
23,24,24,Jason Gore,76,12.1,98,810,+0.11
24,25,25,Ryan Moore,81,12.12,103,850,+0.17
25,26,26,Brandt Snedeker,98,12.19,127,1042,+0.10
26,27,27,Justin Rose,69,12.24,83,678,+0.05
27,28,28,John Merrick,78,12.25,99,808,+0.14
28,29,29,Sung Joon Park,79,12.26,107,873,+0.13
29,30,30,Kevin Kisner,104,12.27,160,1304,+0.03
30,31,31,Billy Hurley III,83,12.28,107,871,+0.12
31,32,32,David Lingmerth,90,12.33,127,1030,+0.09
32,T33,T33,Graham DeLaet,65,12.6,94,746,+0.15
33,T33,T33,Adam Hadwin,95,12.6,141,1119,+0.20
34,35,35,Jim Furyk,71,12.62,91,721,+0.04
35,36,36,John Peterson,84,12.63,135,1069,+0.10
36,37,37,Davis Love III,51,12.65,74,585,+0.07
37,38,38,Russell Knox,96,12.66,153,1209,+0.16
38,39,39,Brian Davis,86,12.7,125,984,+0.10
39,40,40,Chad Campbell,97,12.74,161,1264,+0.14
40,41,41,Paul Casey,87,12.8,112,875,+0.02
41,42,42,Chris Stroud,84,12.85,121,942,+0.22
42,43,43,John Senden,80,12.89,92,714,+0.14
43,T44,T44,Alex Cejka,94,12.9,141,1093,+0.12
44,T44,T44,Brendon de Jonge,106,12.9,165,1279,+0.09
45,46,46,John Huh,102,12.93,160,1237,+0.18
46,47,47,Lucas Glover,79,13.0,130,1000,+0.18
47,48,48,J.J. Henry,94,13.02,137,1052,+0.12
48,49,49,Brian Harman,90,13.03,142,1090,+0.01
49,50,50,Steven Alker,62,13.07,91,696,+0.15
50,51,51,Keegan Bradley,87,13.09,116,886,+0.02
51,52,52,Johnson Wagner,68,13.24,105,793,+0.02
52,53,53,Erik Compton,86,13.29,128,963,+0.09
53,54,54,Carl Pettersson,106,13.34,177,1327,+0.03
54,T55,T55,Jason Dufner,76,13.36,89,666,+0.07
55,T55,T55,Shawn Stefani,94,13.36,162,1213,+0.04
56,57,57,Eric Axley,57,13.45,80,595,+0.15
57,58,58,Chris Kirk,76,13.55,106,782,+0.02
58,T59,T59,Andres Romero,69,13.56,101,745,-0.04
59,T59,T59,Jordan Spieth,91,13.56,123,907,-0.08
60,61,61,Cameron Tringale,96,13.62,149,1094,+0.19
61,62,62,Bill Haas,89,13.69,135,986,+0.04
62,63,63,Chesson Hadley,101,13.85,171,1235,+0.12
63,64,64,Kevin Na,98,13.86,136,981,+0.15
64,T65,T65,Andrew Svoboda,80,13.89,135,972,+0.22
65,T65,T65,Michael Thompson,83,13.89,145,1044,+0.10
66,T67,T67,Luke Donald,71,13.9,103,741,+0.10
67,T67,T67,Ian Poulter,68,13.9,92,662,+0.09
68,69,69,Sean O'Hair,86,13.97,156,1117,+0.10
69,T70,T70,Hudson Swafford,97,13.99,161,1151,+0.08
70,T70,T70,David Toms,62,13.99,107,765,+0.12
71,72,72,Jim Herman,88,14.01,150,1071,+0.07
72,73,73,Boo Weekley,79,14.18,132,931,-0.07
73,74,74,Derek Ernst,75,14.22,124,872,+0.06
74,75,75,Colt Knost,90,14.26,147,1031,+0.14
75,T76,T76,Louis Oosthuizen,68,14.29,93,651,+0.10
76,T76,T76,Pat Perez,96,14.29,164,1148,+0.01
77,78,78,Lee Westwood,56,14.32,63,440,+0.10
78,79,79,Justin Thomas,106,14.33,189,1319,+0.05
79,80,80,Sam Saunders,83,14.37,125,870,+0.13
80,81,81,Charl Schwartzel,67,14.39,82,570,+0.05
81,82,82,Rory Sabbatini,81,14.4,131,910,+0.02
82,83,83,Kevin Chappell,86,14.41,150,1041,+0.07
83,T84,T84,Ben Martin,93,14.42,155,1075,+0.19
84,T84,T84,Nicholas Thompson,90,14.42,140,971,+0.15
85,T86,T86,Luke Guthrie,84,14.5,136,938,+0.08
86,T86,T86,Scott Stallings,60,14.5,98,676,E
87,T88,T88,Jonathan Byrd,69,14.57,103,707,+0.08
88,T88,T88,Steve Wheatcroft,87,14.57,146,1002,+0.13
89,90,90,Carlos Ortiz,100,14.63,168,1148,+0.08
90,91,91,Vijay Singh,78,14.66,140,955,+0.13
91,T92,T92,Geoff Ogilvy,50,14.69,72,490,+0.18
