,Driving_Pct._300_All_Drives_RANK THIS WEEK,Driving_Pct._300_All_Drives_RANK LAST WEEK,Driving_Pct._300_All_Drives_PLAYER NAME,Driving_Pct._300_All_Drives_ROUNDS,Driving_Pct._300_All_Drives_%,Driving_Pct._300_All_Drives_TOTAL DRIVES FOR 300+,Driving_Pct._300_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._300_All_Drives_RELATIVE TO PAR
0,1,1,Bubba Watson,71,60.03,473,788,-0.268
1,2,2,Dustin Johnson,75,58.07,439,756,-0.18899999999999997
2,3,3,Jason Day,75,55.24,443,802,-0.244
3,4,4,J.B. Holmes,89,54.74,508,928,-0.193
4,5,5,Patrick Rodgers,57,53.58,344,642,-0.145
5,6,6,Adam Scott,51,47.76,213,446,-0.19699999999999998
6,7,7,Tony Finau,106,47.35,608,1284,-0.19399999999999998
7,8,8,Charlie Beljan,76,47.17,375,795,-0.091
8,9,9,Brooks Koepka,84,46.15,420,910,-0.221
9,10,10,Jason Kokrak,88,44.97,501,1114,-0.174
10,11,11,Charles Howell III,105,43.48,600,1380,-0.162
11,12,12,Justin Thomas,106,41.33,553,1338,-0.26899999999999996
12,13,13,Gary Woodland,81,40.72,307,754,-0.166
13,14,14,Steven Bowditch,103,40.23,496,1233,-0.175
14,15,15,Brendan Steele,88,39.64,421,1062,-0.192
15,16,16,Ryan Palmer,80,39.12,295,754,-0.18
16,17,17,Robert Garrigus,70,38.35,293,764,-0.031
17,18,18,Justin Rose,69,38.3,262,684,-0.233
18,19,19,Carlos Ortiz,100,38.29,443,1157,-0.233
19,20,20,Ángel Cabrera,53,37.67,223,592,-0.126
20,21,21,Keegan Bradley,87,36.58,327,894,-0.20800000000000002
21,22,22,Charley Hoffman,97,36.56,389,1064,-0.131
22,23,23,Jimmy Walker,89,35.56,320,900,-0.131
23,24,24,Jhonattan Vegas,90,35.42,356,1005,-0.191
24,25,25,Daniel Berger,97,35.38,410,1159,-0.185
25,26,26,Charl Schwartzel,67,34.84,200,574,-0.165
26,27,27,Martin Flores,95,33.94,374,1102,-0.131
27,28,28,Sergio Garcia,59,33.93,171,504,-0.16399999999999998
28,29,29,Hunter Mahan,88,33.81,309,914,-0.207
29,30,30,Scott Piercy,90,33.71,391,1160,-0.16399999999999998
30,31,31,Phil Mickelson,70,33.07,254,768,-0.16899999999999998
31,32,32,Russell Henley,87,32.59,307,942,-0.11699999999999999
32,33,33,Matt Jones,89,32.55,306,940,-0.209
33,T34,T34,Morgan Hoffmann,85,32.47,313,964,-0.185
34,T34,T34,Louis Oosthuizen,68,32.47,213,656,-0.136
35,36,36,Harris English,105,32.22,395,1226,-0.213
36,37,37,Rickie Fowler,76,32.08,256,798,-0.145
37,38,38,Robert Streb,110,32.05,432,1348,-0.19
38,T39,T39,Derek Ernst,75,31.78,279,878,-0.11800000000000001
39,T39,T39,Scott Stallings,60,31.78,218,686,-0.151
40,41,41,Roger Sloan,56,31.48,176,559,-0.085
41,42,42,Hideki Matsuyama,95,31.4,309,984,-0.23
42,43,43,Lee Westwood,56,31.08,138,444,-0.196
43,44,44,Lucas Glover,79,30.44,305,1002,-0.184
44,45,45,Seung-Yul Noh,65,30.39,231,760,-0.16899999999999998
45,46,46,Shawn Stefani,94,30.18,370,1226,-0.243
46,47,47,Max Homa,78,29.83,258,865,-0.105
47,48,48,Martin Laird,77,29.72,302,1016,-0.179
48,49,49,Aaron Baddeley,76,29.55,273,924,-0.21600000000000003
49,50,50,Retief Goosen,81,29.26,244,834,-0.111
50,51,51,Billy Horschel,99,29.2,299,1024,-0.151
51,52,52,Nick Watney,91,28.99,327,1128,-0.162
52,53,53,Paul Casey,87,28.6,252,881,-0.187
53,54,54,Andres Romero,69,28.46,214,752,-0.215
54,55,55,Greg Owen,58,28.44,159,559,-0.107
55,56,56,Hudson Swafford,97,28.3,328,1159,-0.213
56,57,57,Sean O'Hair,86,28.28,319,1128,-0.138
57,58,58,Willy Wilcox,58,28.25,161,570,-0.14300000000000002
58,T59,T59,Andres Gonzales,90,28.14,298,1059,-0.20800000000000002
59,T59,T59,Geoff Ogilvy,50,28.14,139,494,-0.10099999999999999
60,61,61,Nick Taylor,91,28.08,326,1161,-0.14400000000000002
61,62,62,Tom Hoge,83,28.05,255,909,-0.20800000000000002
62,T63,T63,James Hahn,94,27.98,305,1090,-0.17
63,T63,T63,Marc Leishman,74,27.98,211,754,-0.166
64,65,65,Kevin Chappell,86,27.86,292,1048,-0.185
65,66,66,Patrick Reed,103,27.68,294,1062,-0.17
66,67,67,Graham DeLaet,65,27.59,208,754,-0.21600000000000003
67,68,68,Alex Prugh,84,27.49,276,1004,-0.21
68,69,69,Sam Saunders,83,26.91,236,877,-0.203
69,70,70,Jordan Spieth,91,26.52,244,920,-0.213
70,71,71,Cameron Percy,72,26.26,213,811,-0.235
71,72,72,Camilo Villegas,83,26.25,273,1040,-0.22
72,73,73,Carl Pettersson,106,25.84,346,1339,-0.191
73,74,74,Boo Weekley,79,25.59,239,934,-0.28
