,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Craig Perks,78,3,3,100.0
1,T2,T2,Tom Pernice Jr.,106,2,2,100.0
2,T2,T2,Scott Simpson,73,2,2,100.0
3,T4,T4,Robert Allenby,108,1,1,100.0
4,T4,T4,Stuart Appleby,105,1,2,50.0
5,T4,T4,Paul Azinger,79,1,1,100.0
6,T4,T4,Stewart Cink,102,1,1,100.0
7,T4,T4,José Coceres,60,1,1,100.0
8,T4,T4,Scott Dunlap,80,1,1,100.0
9,T4,T4,Bob Estes,91,1,1,100.0
10,T4,T4,Ben Ferguson,76,1,1,100.0
11,T4,T4,Steve Flesch,112,1,1,100.0
12,T4,T4,Fred Funk,118,1,1,100.0
13,T4,T4,Gabriel Hjertstedt,76,1,1,100.0
14,T4,T4,Brandt Jobe,96,1,1,100.0
15,T4,T4,Per-Ulrik Johansson,82,1,1,100.0
16,T4,T4,Ian Leggatt,84,1,1,100.0
17,T4,T4,J.L. Lewis,108,1,1,100.0
18,T4,T4,Michael Muehr,94,1,1,100.0
19,T4,T4,Gary Nicklaus,96,1,2,50.0
20,T4,T4,Kenny Perry,94,1,1,100.0
21,T4,T4,Lee Porter,93,1,1,100.0
22,T4,T4,Nick Price,74,1,1,100.0
23,T4,T4,Tom Scherrer,69,1,1,100.0
24,T4,T4,Mike Sposa,96,1,1,100.0
25,T4,T4,Kaname Yokoo,81,1,1,100.0
