,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Stuart Appleby,105,"643' 4""",643.3330000000001,1,643,643
1,2,2,Tom Byrum,85,"104' 0""",104.0,1,104,104
2,3,3,Kirk Triplett,88,"67' 9""",67.75,1,68,68
3,4,4,Chris Smith,101,"56' 2""",56.167,1,56,56
4,5,5,Greg Chalmers,92,"39' 4""",39.333,1,39,39
5,6,6,Neal Lancaster,107,"32' 0""",32.0,1,32,32
6,7,7,David Toms,100,"16' 5""",16.417,1,16,16
7,8,8,Billy Mayfair,102,"14' 10""",14.833,1,15,15
8,9,9,Bob Burns,92,"12' 9""",12.75,1,13,13
9,10,10,Bob Tway,109,"10' 4""",10.333,1,10,10
10,11,11,Per-Ulrik Johansson,82,"4' 6""",4.5,1,5,5
11,12,12,J.L. Lewis,108,"3' 10""",3.833,1,4,4
12,13,13,Kevin Johnson,93,"3' 2""",3.167,1,3,3
13,14,14,Scott Simpson,73,"2' 7""",2.583,1,3,3
14,15,15,Craig Perks,78,"2' 3""",4.5,2,2,2
15,16,16,Bob May,86,"2' 2""",2.167,1,2,2
16,17,17,Paul Stankowski,91,"1' 9""",1.75,1,2,2
17,18,18,Ted Tryba,110,"11""",0.917,1,1,"11"""
18,19,19,Paul Azinger,79,"10""",0.833,1,1,"10"""
