,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Craig Kanada,80,44.86,218,486
1,2,2,Brett Quigley,67,43.86,150,342
2,3,3,Fulton Allem,56,43.61,157,360
3,4,4,Edward Fryatt,93,43.49,227,522
4,5,5,Scott Hoch,84,42.82,185,432
5,6,6,Willie Wood,52,42.71,123,288
6,7,7,Scott McCarron,98,42.59,184,432
7,8,8,Jim Carter,103,42.39,206,486
8,9,9,Jay Don Blake,100,42.34,221,522
9,10,10,Glen Day,89,42.31,198,468
10,11,11,David Frost,87,42.18,205,486
11,12,12,Brad Elder,111,42.16,258,612
12,13,13,Scott Simpson,73,41.92,166,396
13,14,14,Vijay Singh,98,41.9,181,432
14,T15,T15,Chris Riley,104,41.76,218,522
15,T15,T15,Jerry Smith,95,41.76,233,558
16,17,17,Jason Gore,82,41.67,210,504
17,18,18,Paul Stankowski,91,41.56,187,450
18,19,19,J.L. Lewis,108,41.48,224,540
19,20,20,Brian Gay,114,41.4,231,558
20,T21,T21,Cameron Beckman,103,41.27,208,504
21,T21,T21,K.J. Choi,95,41.27,208,504
22,23,23,Tom Pernice Jr.,106,41.15,237,576
23,T24,T24,Frank Lickliter II,102,41.0,214,522
24,T24,T24,Lee Porter,93,41.0,214,522
25,26,26,Sean Murphy,70,40.95,199,486
26,27,27,Spike McRoy,95,40.93,221,540
27,28,28,Scott Verplank,99,40.89,184,450
28,29,29,Olin Browne,99,40.8,213,522
29,30,30,David Morland IV,88,40.67,205,504
30,31,31,Pete Jordan,105,40.63,256,630
31,32,32,David Duval,78,40.35,138,342
32,33,33,Len Mattiace,98,40.28,203,504
33,34,34,Russ Cochran,76,40.15,159,396
34,35,35,Brian Henninger,81,40.08,202,504
35,T36,T36,Andrew Magee,97,40.0,216,540
36,T36,T36,Tommy Tolles,89,40.0,216,540
37,38,38,Justin Leonard,106,39.88,201,504
38,39,39,Larry Mize,76,39.86,165,414
39,T40,T40,Steve Allan,88,39.81,215,540
40,T40,T40,Bob Estes,91,39.81,172,432
41,42,42,Robert Damron,91,39.71,193,486
42,43,43,Michael Clark II,87,39.66,207,522
43,T44,T44,Brad Faxon,95,39.58,171,432
44,T44,T44,Harrison Frazar,88,39.58,171,432
45,T44,T44,Ted Tryba,110,39.58,228,576
46,47,47,Ben Bates,53,39.51,128,324
47,T48,T48,Jay Haas,75,39.44,142,360
48,T48,T48,Davis Love III,75,39.44,142,360
49,T50,T50,Robert Gamez,59,39.39,156,396
50,T50,T50,Shaun Micheel,103,39.39,234,594
51,T50,T50,Phil Mickelson,85,39.39,156,396
52,53,53,Jay Williamson,92,39.38,241,612
53,54,54,Greg Chalmers,92,39.33,177,450
54,T55,T55,Mark Brooks,88,39.3,191,486
55,T55,T55,Scott Dunlap,80,39.3,191,486
56,T57,T57,Gabriel Hjertstedt,76,39.27,205,522
57,T57,T57,Tripp Isenhour,92,39.27,205,522
58,59,59,Joe Ogilvie,110,39.23,233,594
59,60,60,Ronnie Black,51,39.22,120,306
60,61,61,Steve Elkington,64,39.18,134,342
61,T62,T62,Paul Azinger,79,39.17,141,360
62,T62,T62,Craig Parry,68,39.17,141,360
63,64,64,Mike Weir,86,39.13,162,414
64,65,65,Shigeki Maruyama,98,39.1,183,468
65,T66,T66,Kelly Grunewald,66,39.09,190,486
66,T66,T66,Mike Sposa,96,39.09,197,504
67,68,68,Rich Beem,91,39.07,211,540
68,T69,T69,Doug Dunakey,83,38.89,217,558
69,T69,T69,Ian Leggatt,84,38.89,196,504
70,T69,T69,Geoff Ogilvy,60,38.89,154,396
71,T69,T69,Nick Price,74,38.89,140,360
72,T69,T69,Loren Roberts,84,38.89,175,450
73,T69,T69,Kirk Triplett,88,38.89,168,432
74,75,75,Michael Muehr,94,38.71,216,558
75,T76,T76,Chris DiMarco,108,38.68,188,486
76,T76,T76,Chris Tidland,83,38.68,188,486
77,78,78,Kenny Perry,94,38.65,160,414
78,79,79,Craig Barlow,74,38.64,153,396
79,80,80,Esteban Toledo,116,38.57,243,630
80,81,81,Sergio Garcia,64,38.56,118,306
81,82,82,Greg Kraft,105,38.53,215,558
82,83,83,José María Olazábal,51,38.49,97,252
83,84,84,Stuart Appleby,105,38.48,187,486
84,85,85,Andrew McLardy,75,38.46,180,468
85,T86,T86,Tommy Armour III,93,38.33,207,540
86,T86,T86,Joel Edwards,99,38.33,207,540
87,T86,T86,Jerry Kelly,104,38.33,207,540
88,T86,T86,Rocco Mediate,69,38.33,138,360
89,90,90,Marco Dawson,57,38.3,131,342
90,91,91,Jesper Parnevik,91,38.19,165,432
91,92,92,Jonathan Kaye,116,38.17,213,558
92,93,93,Jeff Sluman,106,38.12,199,522
93,T94,T94,Mark Hensby,71,38.1,192,504
94,T94,T94,Kevin Sutherland,101,38.1,192,504
95,96,96,Danny Ellis,76,38.07,185,486
96,T97,T97,Franklin Langham,63,38.06,137,360
97,T97,T97,Jim McGovern,66,38.06,137,360
98,99,99,Gary Nicklaus,96,38.05,226,594
99,100,100,Brent Geiberger,84,37.92,157,414
100,101,101,Steve Pate,89,37.9,191,504
101,102,102,Jeff Maggert,84,37.86,184,486
102,103,103,Garrett Willis,88,37.85,218,576
103,T104,T104,Corey Pavin,72,37.83,143,378
104,T104,T104,"Dave Stockton, Jr.",61,37.83,143,378
105,106,106,Craig Perks,78,37.74,197,522
106,107,107,Jim Furyk,88,37.73,163,432
107,108,108,Blaine McCallister,80,37.7,190,504
108,109,109,Bob May,86,37.68,156,414
109,110,110,Fred Funk,118,37.67,217,576
110,T111,T111,Tom Byrum,85,37.65,183,486
111,T111,T111,Frank Nobilo,91,37.65,183,486
112,113,113,Skip Kendall,111,37.63,210,558
113,114,114,Billy Andrade,82,37.61,176,468
114,115,115,David Peoples,96,37.59,203,540
115,116,116,Hunter Haas,78,37.55,196,522
116,T117,T117,Bob Burns,92,37.5,189,504
117,T117,T117,John Daly,84,37.5,162,432
