,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
0,1,1,Brian Wilson,88,0.86,74,86
1,2,2,Ben Bates,53,0.81,43,53
2,3,3,Scott Dunlap,80,0.8,63,79
3,T4,T4,Doug Barron,62,0.77,48,62
4,T4,T4,Ben Ferguson,76,0.77,57,74
5,T6,T6,Brent Schwarzrock,63,0.76,48,63
6,T6,T6,Garrett Willis,88,0.76,65,86
7,8,8,Robert Gamez,59,0.75,44,59
8,9,9,Per-Ulrik Johansson,82,0.74,59,80
9,T10,T10,Mark Hensby,71,0.73,52,71
10,T10,T10,Jeff Julian,55,0.73,40,55
11,12,12,Marco Dawson,57,0.72,41,57
12,T13,T13,Brandt Jobe,96,0.71,67,94
13,T13,T13,Rocky Walcher,59,0.71,42,59
14,T15,T15,Craig Perks,78,0.7,53,76
15,T15,T15,Rory Sabbatini,73,0.7,48,69
16,T17,T17,Ronnie Black,51,0.69,35,51
17,T17,T17,Jason Gore,82,0.69,55,80
18,19,19,Mark O'Meara,69,0.68,44,65
19,20,20,Woody Austin,99,0.67,64,95
20,T21,T21,Bob Burns,92,0.66,59,89
21,T21,T21,Keith Clearwater,62,0.66,41,62
22,T21,T21,Cliff Kresge,84,0.66,54,82
23,T21,T21,J.L. Lewis,108,0.66,70,106
24,T21,T21,Tommy Tolles,89,0.66,57,86
25,T26,T26,Geoff Ogilvy,60,0.65,39,60
26,T26,T26,Carl Paulson,93,0.65,60,93
27,T26,T26,Chris Smith,101,0.65,63,97
28,T26,T26,Kaname Yokoo,81,0.65,53,81
29,T30,T30,Doug Dunakey,83,0.64,52,81
30,T30,T30,Gabriel Hjertstedt,76,0.64,49,76
31,T30,T30,Glen Hnatiuk,104,0.64,65,101
32,T30,T30,Bradley Hughes,96,0.64,60,94
33,T30,T30,Kent Jones,74,0.64,47,74
34,T35,T35,Steve Allan,88,0.63,54,86
35,T35,T35,David Duval,78,0.63,46,73
36,T35,T35,Ernie Els,70,0.63,38,60
37,T35,T35,Jeff Maggert,84,0.63,53,84
38,T39,T39,Robert Damron,91,0.62,56,91
39,T39,T39,Harrison Frazar,88,0.62,52,84
40,T39,T39,Paul Goydos,86,0.62,52,84
41,T39,T39,J.J. Henry,86,0.62,52,84
42,T39,T39,Neal Lancaster,107,0.62,65,105
43,T39,T39,"Dave Stockton, Jr.",61,0.62,38,61
44,T45,T45,Mathew Goggin,96,0.61,57,93
