,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,David Frost,87,1.7080000000000002,1628,953,3.42,180
1,2,2,Phil Mickelson,85,1.7169999999999999,1664,969,3.64,26
2,3,3,Brian Gay,114,1.722,2282,1325,3.29,80
3,4,4,Vijay Singh,98,1.723,1897,1101,3.39,30
4,5,5,Jeff Sluman,106,1.725,2268,1315,3.26,22
5,T6,T6,Bob Estes,91,1.726,1786,1035,3.26,45
6,T6,T6,Craig Kanada,80,1.726,1462,847,3.31,190
7,8,8,Bernhard Langer,62,1.729,1214,702,3.28,46
8,9,9,Skip Kendall,111,1.73,2253,1302,3.19,77
9,10,10,David Toms,100,1.732,2084,1203,3.36,7
10,11,11,Steve Stricker,73,1.733,1194,689,3.41,175
11,12,12,Chris DiMarco,108,1.734,2181,1258,3.35,15
12,13,13,Glen Day,89,1.735,1709,985,3.14,132
13,14,14,Stuart Appleby,105,1.736,1904,1097,3.41,143
14,T15,T15,Russ Cochran,76,1.7369999999999999,1546,890,3.12,T58
15,T15,T15,Frank Lickliter II,102,1.7369999999999999,2095,1206,3.35,48
16,T15,T15,Scott McCarron,98,1.7369999999999999,2057,1184,3.33,25
17,T18,T18,Jim Furyk,88,1.7380000000000002,1898,1092,3.2,17
18,T18,T18,Scott Simpson,73,1.7380000000000002,1474,848,3.14,151
19,T20,T20,Brad Faxon,95,1.739,1702,979,3.15,117
20,T20,T20,Scott Hoch,84,1.739,1720,989,3.36,75
21,T20,T20,David Morland IV,88,1.739,1678,965,3.16,179
22,23,23,Sergio Garcia,64,1.74,1192,685,3.39,55
23,24,24,Justin Leonard,106,1.742,2035,1168,3.26,81
24,25,25,Brian Watts,56,1.745,1155,662,3.23,106
25,T26,T26,Cameron Beckman,103,1.746,2140,1226,3.25,42
26,T26,T26,Joe Ogilvie,110,1.746,2029,1162,3.35,185
27,T26,T26,Corey Pavin,72,1.746,1329,761,3.0,183
28,T29,T29,Mark Calcavecchia,81,1.7469999999999999,1593,912,3.52,63
29,T29,T29,Tripp Isenhour,92,1.7469999999999999,1770,1013,3.12,T172
30,T29,T29,Lee Janzen,96,1.7469999999999999,1955,1119,3.15,62
31,T29,T29,José María Olazábal,51,1.7469999999999999,903,517,3.06,84
32,T29,T29,Scott Verplank,99,1.7469999999999999,2067,1183,3.23,14
33,T34,T34,Kenny Perry,94,1.7480000000000002,2000,1144,3.31,8
34,T34,T34,Kevin Sutherland,101,1.7480000000000002,2077,1188,2.98,23
35,T36,T36,Jay Don Blake,100,1.749,1982,1133,3.16,T114
36,T36,T36,Loren Roberts,84,1.749,1651,944,2.89,116
37,38,38,Shigeki Maruyama,98,1.75,1902,1087,3.16,107
38,T39,T39,Jay Haas,75,1.751,1564,893,3.14,39
39,T39,T39,Chris Riley,104,1.751,2052,1172,3.27,134
40,T41,T41,John Daly,84,1.7519999999999998,1698,969,3.35,70
