,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
0,1,1,Corey Pavin,26.93,377,14
1,2,2,Paul Goydos,27.21,381,14
2,3,3,Bernhard Langer,27.29,382,14
3,4,4,Scott Hoch,27.39,493,18
4,T5,T5,Craig Kanada,27.75,333,12
5,T5,T5,Loren Roberts,27.75,444,16
6,7,7,David Morland IV,27.87,418,15
7,8,8,David Frost,27.88,474,17
8,9,9,Jim Furyk,27.9,558,20
9,10,10,Len Mattiace,27.95,531,19
10,T11,T11,Bob Estes,28.0,504,18
11,T11,T11,José María Olazábal,28.0,224,8
12,T11,T11,Jeff Sluman,28.0,644,23
13,14,14,Jerry Kelly,28.05,561,20
14,T15,T15,Glen Day,28.07,421,15
15,T15,T15,Dudley Hart,28.07,421,15
16,T15,T15,Jeff Maggert,28.07,393,14
17,T18,T18,Billy Andrade,28.08,365,13
18,T18,T18,Sergio Garcia,28.08,337,12
19,20,20,Willie Wood,28.1,281,10
20,21,21,Mark Wiebe,28.11,253,9
21,22,22,Lee Janzen,28.18,479,17
22,23,23,"Dave Stockton, Jr.",28.2,282,10
23,T24,T24,Phil Mickelson,28.22,508,18
24,T24,T24,Geoff Ogilvy,28.22,254,9
25,T26,T26,Paul Gow,28.23,367,13
26,T26,T26,Steve Stricker,28.23,367,13
27,28,28,Andrew Magee,28.24,480,17
28,T29,T29,Stuart Appleby,28.25,565,20
29,T29,T29,Grant Waite,28.25,339,12
30,31,31,Brian Gay,28.28,707,25
31,32,32,Brian Wilson,28.31,368,13
32,33,33,José Coceres,28.36,312,11
33,T34,T34,Cameron Beckman,28.38,596,21
34,T34,T34,Justin Leonard,28.38,596,21
35,36,36,Skip Kendall,28.39,653,23
36,37,37,Tripp Isenhour,28.4,426,15
37,38,38,Steve Flesch,28.41,625,22
38,T39,T39,Doug Dunakey,28.45,313,11
39,T39,T39,Craig Parry,28.45,313,11
40,T41,T41,Chris DiMarco,28.48,655,23
41,T41,T41,Vijay Singh,28.48,598,21
42,T43,T43,Jonathan Kaye,28.5,684,24
43,T43,T43,Scott McCarron,28.5,627,22
44,T43,T43,Jesper Parnevik,28.5,570,20
45,T43,T43,Nick Price,28.5,456,16
46,47,47,Scott Simpson,28.53,428,15
47,T48,T48,Brad Faxon,28.56,514,18
48,T48,T48,Shaun Micheel,28.56,514,18
49,T50,T50,Shigeki Maruyama,28.57,600,21
50,T50,T50,Dennis Paulson,28.57,400,14
51,52,52,Mark Calcavecchia,28.59,486,17
52,53,53,J.J. Henry,28.6,429,15
53,54,54,Robert Damron,28.61,515,18
54,55,55,Scott Dunlap,28.62,372,13
55,56,56,Bob Burns,28.63,458,16
56,T57,T57,Larry Mize,28.64,401,14
57,T57,T57,Garrett Willis,28.64,315,11
58,T59,T59,Jeremy Anderson,28.67,258,9
59,T59,T59,"David Berganio, Jr.",28.67,430,15
60,T59,T59,Jay Don Blake,28.67,516,18
61,T59,T59,Mark Brooks,28.67,516,18
62,T59,T59,Danny Ellis,28.67,344,12
63,T59,T59,Cliff Kresge,28.67,344,12
64,65,65,Jerry Smith,28.71,488,17
65,66,66,Olin Browne,28.72,517,18
66,67,67,David Toms,28.73,632,22
67,T68,T68,Greg Chalmers,28.74,546,19
68,T68,T68,Mike Sposa,28.74,546,19
69,T70,T70,Tom Byrum,28.75,460,16
70,T70,T70,Jay Haas,28.75,460,16
71,T70,T70,Neal Lancaster,28.75,575,20
72,T70,T70,Davis Love III,28.75,460,16
73,T70,T70,Rocky Walcher,28.75,115,4
74,T70,T70,Brian Watts,28.75,345,12
75,T70,T70,Mike Weir,28.75,575,20
76,77,77,Steve Lowery,28.77,633,22
77,T78,T78,Stephen Ames,28.78,518,18
78,T78,T78,K.J. Choi,28.78,518,18
79,80,80,Kaname Yokoo,28.79,403,14
80,81,81,Russ Cochran,28.8,432,15
81,82,82,Frank Lickliter II,28.81,605,21
82,83,83,Harrison Frazar,28.83,519,18
83,84,84,Brad Elder,28.85,577,20
84,T85,T85,J.P. Hayes,28.86,404,14
85,T85,T85,Chris Tidland,28.86,404,14
86,T85,T85,Tommy Tolles,28.86,404,14
87,88,88,Dan Forsman,28.87,433,15
88,89,89,Fulton Allem,28.88,231,8
89,90,90,Tiger Woods,28.89,520,18
90,T91,T91,Ian Leggatt,28.93,405,14
91,T91,T91,Gary Nicklaus,28.93,434,15
92,93,93,J.L. Lewis,28.96,666,23
93,T94,T94,Rich Beem,29.0,435,15
94,T94,T94,Marco Dawson,29.0,290,10
95,T94,T94,Michael Muehr,29.0,435,15
96,T94,T94,Frank Nobilo,29.0,522,18
97,T94,T94,Craig Perks,29.0,290,10
98,T94,T94,Esteban Toledo,29.0,638,22
99,T100,T100,Charles Howell III,29.05,552,19
100,T100,T100,Scott Verplank,29.05,639,22
101,102,102,Pete Jordan,29.06,494,17
102,T103,T103,Woody Austin,29.07,407,14
103,T103,T103,Dicky Pride,29.07,407,14
104,105,105,John Huston,29.08,349,12
105,T106,T106,Stewart Cink,29.1,582,20
106,T106,T106,Hunter Haas,29.1,291,10
107,T106,T106,Joey Sindelar,29.1,291,10
108,T109,T109,Paul Azinger,29.11,553,19
109,T109,T109,Joe Ogilvie,29.11,553,19
110,T111,T111,Rocco Mediate,29.12,495,17
111,T111,T111,Lee Porter,29.12,495,17
112,T113,T113,Joe Durant,29.13,437,15
113,T113,T113,Robert Gamez,29.13,233,8
114,T113,T113,Jimmy Green,29.13,437,15
115,T113,T113,Spike McRoy,29.13,466,16
116,T113,T113,Jean Van de Velde,29.13,233,8
117,118,118,Kevin Sutherland,29.16,554,19
118,119,119,Jeff Julian,29.17,175,6
119,T120,T120,Rory Sabbatini,29.18,321,11
120,T120,T120,Duffy Waldorf,29.18,321,11
121,T122,T122,Joel Edwards,29.2,584,20
122,T122,T122,Greg Kraft,29.2,584,20
123,T124,T124,Ronnie Black,29.22,263,9
124,T124,T124,Ben Ferguson,29.22,263,9
125,126,126,Briny Baird,29.23,643,22
126,127,127,Chris Riley,29.24,614,21
127,T128,T128,Steve Elkington,29.25,351,12
